product_id,category,demand_class,total_demand,total_demand_fulfilled,total_lost_sales,stockout_days,average_inventory,minimum_inventory,maximum_inventory,average_inventory_position,purchase_quantity,purchase_orders,purchase_order_arrivals,delayed_orders,average_lead_time,maximum_lead_time,average_supplier_delay,maximum_supplier_delay,average_daily_demand,demand_std,base_daily_demand,reorder_point,safety_stock,order_quantity,min_lead_time_days,max_lead_time_days,average_lead_time_days,lead_time_std,fill_rate,stockout_rate,lost_sales_rate,coefficient_of_variation,inventory_days,target_inventory,excess_inventory,excess_inventory_rate,inventory_turnover,supplier_delay_rate,lead_time_variability,service_level_gap,stockout_risk,service_risk,volatility_risk,supplier_risk,excess_inventory_risk,inventory_risk_score,risk_class,primary_risk_driver,recommended_action,inventory_health
P01305,Office Supplies,Intermittent,68953,68292,661,3,2289.253424657534,0,4645,4230.3493150684935,70850,25,24,8,20.84,32,5.0,7,94.45616438356164,131.25081016020272,262.57,2804,1057,2834,12,25,18.5,3.25,0.9904137600974577,0.00410958904109589,0.009586239902542312,1.3895420274237231,24.236146360564444,5638.12397260274,0.0,0.0,30.120300032013787,0.32,2.34,0.0,1.3695828943638202,0.0,69.47710137118615,43.7,0.0,17.39,Critical,Demand Volatility,Review forecast and demand variability,Demand Risk
P01338,Office Supplies,Intermittent,36424,35665,759,6,1335.5945205479452,0,2536,2295.3150684931506,35928,24,23,7,19.666666666666668,26,3.7142857142857144,6,49.895890410958906,74.13490176264466,157.22,1511,588,1497,12,25,18.5,3.25,0.9791620909290578,0.00821917808219178,0.020837909070942236,1.4857917385990171,26.76762574126949,3007.9506849315067,0.0,0.0,27.27175010051447,0.2916666666666667,1.1666666666666679,0.0,2.905708715313402,0.0,74.28958692995086,35.00000000000001,0.0,17.27,Critical,Demand Volatility,Review forecast and demand variability,Demand Risk
P01916,Office Supplies,Intermittent,121175,117241,3934,11,4052.554794520548,0,8242,7272.5,119520,24,23,8,19.958333333333332,27,4.25,6,165.9931506849315,213.15756315324256,416.7,4821,1750,4980,12,25,18.5,3.25,0.9675345574582216,0.015068493150684932,0.03246544254177842,1.2841346903393198,24.413988033835366,9800.667808219177,0.0,0.0,29.90089120172798,0.3333333333333333,1.4583333333333321,0.0,4.753393569246335,0.0,64.206734516966,40.624999999999986,0.0,17.15,Critical,Demand Volatility,Review forecast and demand variability,Demand Risk
P00215,Office Supplies,Intermittent,98231,96878,1353,5,3041.9849315068495,0,6670,5856.824657534246,96888,24,24,7,21.208333333333332,29,4.285714285714286,6,134.56301369863013,181.42544713688912,360.89,3960,1471,4037,12,25,18.5,3.25,0.9862263440258167,0.00684931506849315,0.013773655974183303,1.3482564201721357,22.606397165864138,7997.306164383561,0.0,0.0,32.291744440476634,0.2916666666666667,2.708333333333332,0.0,2.0622971042676452,0.0,67.41282100860678,42.70833333333333,0.0,17.14,Critical,Demand Volatility,Review forecast and demand variability,Demand Risk
P01884,Office Supplies,Intermittent,107372,104793,2579,7,3828.0849315068494,0,7853,6747.919178082192,105912,24,24,6,20.125,26,5.0,6,147.0849315068493,217.82773656698677,443.35,4451,1730,4413,12,25,18.5,3.25,0.9759807026040308,0.009589041095890411,0.024019297395969155,1.4809656865281484,26.02635696457177,8863.61917808219,0.0,0.0,28.04848949830775,0.25,1.625,0.0,3.3608338491859566,0.0,74.04828432640743,33.125,0.0,17.08,Critical,Demand Volatility,Review forecast and demand variability,Demand Risk
P00463,Office Supplies,Intermittent,80007,78956,1051,5,2611.272602739726,0,5944,4845.31095890411,78912,24,24,7,20.666666666666668,29,5.428571428571429,7,109.5986301369863,147.1824516448717,295.36,3223,1195,3288,12,25,18.5,3.25,0.9868636494306748,0.00684931506849315,0.013136350569325184,1.3429223655524682,23.82577774444736,6510.533561643835,0.0,0.0,30.639083761709635,0.2916666666666667,2.166666666666668,0.0,1.9985665637818335,0.0,67.14611827762342,40.00000000000001,0.0,16.67,Critical,Demand Volatility,Review forecast and demand variability,Demand Risk
P00389,Office Supplies,Intermittent,80532,78930,1602,7,2649.6438356164385,0,5332,4844.219178082192,79440,24,24,7,20.166666666666668,29,5.142857142857143,7,110.31780821917808,147.3387345549871,286.84,3239,1198,3310,12,25,18.5,3.25,0.9801072865444792,0.009589041095890411,0.019892713455520787,1.3355843171055057,24.018278448318682,6548.413698630136,0.0,0.0,30.393518901480682,0.2916666666666667,1.6666666666666679,0.0,2.94817545514112,0.0,66.77921585527528,37.50000000000001,0.0,16.53,Critical,Demand Volatility,Review forecast and demand variability,Demand Risk
P00648,Office Supplies,Intermittent,113427,111576,1851,5,3907.241095890411,0,8422,7118.861643835617,111864,24,24,5,20.958333333333332,28,4.0,6,155.3794520547945,224.23332538606093,460.88,4666,1791,4661,12,25,18.5,3.25,0.9836811341215055,0.00684931506849315,0.01631886587849454,1.4431337118307324,25.146446613240236,9326.903424657534,0.0,0.0,29.02994650606566,0.20833333333333334,2.458333333333332,0.0,2.316818094698769,0.0,72.15668559153661,33.125,0.0,16.49,Critical,Demand Volatility,Review forecast and demand variability,Demand Risk
P00071,Office Supplies,Intermittent,49570,48529,1041,7,1664.5068493150684,0,3770,2976.0,48888,24,23,7,19.583333333333332,26,4.857142857142857,7,67.9041095890411,93.82992002849156,187.83,2013,757,2037,12,25,18.5,3.25,0.978999394795239,0.009589041095890411,0.021000605204760943,1.3818003151260607,24.512608432519666,4050.3493150684935,0.0,0.0,29.780592384103237,0.2916666666666667,1.0833333333333321,0.0,3.0589646300651356,0.0,69.09001575630303,34.58333333333333,0.0,16.47,Critical,Demand Volatility,Review forecast and demand variability,Demand Risk
P01081,Office Supplies,Intermittent,86680,85835,845,4,2866.023287671233,0,5878,5335.02602739726,89050,25,24,7,20.6,30,5.714285714285714,7,118.73972602739725,161.7733115138866,320.51,3506,1309,3562,12,25,18.5,3.25,0.9902514997692663,0.005479452054794521,0.009748500230733733,1.3624194439909694,24.137021227503464,7067.876712328767,0.0,0.0,30.243997099699502,0.28,2.1000000000000014,0.0,1.5227952285528255,0.0,68.12097219954848,38.500000000000014,0.0,16.45,Critical,Demand Volatility,Review forecast and demand variability,Demand Risk
P01219,Office Supplies,Intermittent,13638,13347,291,8,437.3,0,995,821.6287671232876,13440,24,24,6,20.875,28,5.166666666666667,7,18.682191780821917,24.724331120847754,49.31,547,201,560,12,25,18.5,3.25,0.9786625604927409,0.010958904109589041,0.02133743950725913,1.323417049290135,23.407317788532044,1107.0863013698631,0.0,0.0,31.186828264349415,0.25,2.375,0.0,3.229634361684817,0.0,66.17085246450675,36.875,0.0,16.43,Critical,Demand Volatility,Review forecast and demand variability,Demand Risk
P01054,Office Supplies,Intermittent,49535,48979,556,5,1600.3219178082193,0,3437,2986.4753424657533,50900,25,24,7,20.68,29,4.571428571428571,6,67.85616438356165,90.92848225463075,180.27,1994,739,2036,12,25,18.5,3.25,0.988775613202786,0.00684931506849315,0.011224386797214091,1.3400180083956887,23.58403149288382,4030.02397260274,0.0,0.0,30.953147269171012,0.28,2.1799999999999997,0.0,1.8073701865707243,0.0,67.00090041978444,38.900000000000006,0.0,16.43,Critical,Demand Volatility,Review forecast and demand variability,Demand Risk
P01434,Office Supplies,Intermittent,15231,14904,327,7,492.0835616438356,0,1023,901.1273972602739,15024,24,23,6,19.875,29,5.5,7,20.864383561643837,29.2159917775421,59.73,621,235,626,12,25,18.5,3.25,0.9785306283238133,0.009589041095890411,0.021469371676186726,1.4002806117527236,23.58485982535618,1246.9226027397262,0.0,0.0,30.9520601523853,0.25,1.375,0.0,3.1058412772077135,0.0,70.01403058763617,31.875,0.0,16.22,Critical,Demand Volatility,Review forecast and demand variability,Demand Risk
P01533,Office Supplies,Intermittent,88838,87649,1189,6,2944.8931506849317,0,6359,5330.546575342466,87624,24,24,7,19.875,30,4.142857142857143,7,121.69589041095891,164.5423569354908,328.97,3585,1334,3651,12,25,18.5,3.25,0.9866160877102141,0.00821917808219178,0.013383912289785903,1.3520781710856646,24.198788806591775,7236.250684931507,0.0,0.0,30.166799083809817,0.2916666666666667,1.375,0.0,2.1603090371977682,0.0,67.60390855428324,36.04166666666667,0.0,16.19,Critical,Demand Volatility,Review forecast and demand variability,Demand Risk
P01718,Office Supplies,Intermittent,85279,82137,3142,12,3140.2876712328766,0,6183,5353.719178082192,84120,24,24,5,19.208333333333332,27,3.4,6,116.82054794520548,169.8453241779237,348.33,3515,1354,3505,12,25,18.5,3.25,0.9631562283797886,0.01643835616438356,0.0368437716202113,1.4538993966848144,26.881295512377022,7019.796575342466,0.0,0.0,27.156429260036383,0.20833333333333334,0.7083333333333321,0.0,5.328212778459486,0.0,72.69496983424072,24.374999999999996,0.0,16.16,Critical,Demand Volatility,Review forecast and demand variability,Demand Risk
P01860,Office Supplies,Intermittent,111861,109587,2274,8,3744.1931506849314,0,8162,6798.364383561644,110328,24,24,5,20.208333333333332,32,6.0,7,153.23424657534247,218.0976956806939,448.18,4582,1747,4597,12,25,18.5,3.25,0.9796711990774265,0.010958904109589041,0.02032880092257355,1.4232960356773723,24.43444095797463,9178.86095890411,0.0,0.0,29.87586256855822,0.20833333333333334,1.7083333333333321,0.0,3.128770503216259,0.0,71.16480178386861,29.374999999999996,0.0,16.02,Critical,Demand Volatility,Review forecast and demand variability,Demand Risk
P00799,Office Supplies,Intermittent,21703,21645,58,2,738.7671232876712,0,1525,1330.1753424657534,22300,25,24,7,19.56,32,5.571428571428571,7,29.73013698630137,42.91651123846243,89.6,893,343,892,12,25,18.5,3.25,0.9973275584020642,0.0027397260273972603,0.0026724415979357693,1.443535603560686,24.849099202875177,1784.9116438356164,0.0,0.0,29.377322455034303,0.28,1.0599999999999987,0.0,0.5412167625333029,0.0,72.1767801780343,33.3,0.0,15.98,High,Demand Volatility,Review forecast and demand variability,Demand Risk
P01862,Office Supplies,Intermittent,31982,31714,268,3,1115.3150684931506,0,2233,1977.5150684931507,32850,25,24,7,19.72,28,4.571428571428571,7,43.81095890410959,60.985818949439725,124.66,1302,491,1314,12,25,18.5,3.25,0.9916202864111062,0.00410958904109589,0.008379713588893752,1.3920220071631229,25.457444812707145,2615.831506849315,0.0,0.0,28.67530521506301,0.28,1.2199999999999989,0.0,1.2489302629989643,0.0,69.60110035815615,34.099999999999994,0.0,15.93,High,Demand Volatility,Review forecast and demand variability,Demand Risk
P01177,Office Supplies,Intermittent,58026,56807,1219,7,1787.4424657534246,0,3814,3407.935616438356,57240,24,23,5,20.833333333333332,31,5.0,7,79.4876712328767,106.81928632085838,211.21,2338,867,2385,12,25,18.5,3.25,0.9789921759211389,0.009589041095890411,0.0210078240788612,1.3438472239035368,22.48704029228277,4722.15205479452,0.0,0.0,32.46314279298577,0.20833333333333334,2.333333333333332,0.0,3.0596865174751615,0.0,67.19236119517684,32.5,0.0,15.87,High,Demand Volatility,Review forecast and demand variability,Demand Risk
P01156,Office Supplies,Intermittent,41007,40735,272,2,1439.2767123287672,0,3055,2512.5986301369862,42125,25,24,7,19.4,26,4.285714285714286,7,56.173972602739724,79.67858017813596,160.61,1678,639,1685,12,25,18.5,3.25,0.9933669861243203,0.0027397260273972603,0.006633013875679762,1.4184252330099556,25.621771892603704,3363.4376712328767,0.0,0.0,28.49139407921787,0.28,0.8999999999999986,0.0,0.9372739903077022,0.0,70.92126165049778,32.5,0.0,15.79,High,Demand Volatility,Review forecast and demand variability,Demand Risk
P00505,Office Supplies,Intermittent,25279,24860,419,5,888.4931506849315,0,1720,1585.9041095890411,24936,24,24,4,20.416666666666668,31,5.5,7,34.62876712328767,51.436169719422416,106.9,1049,408,1039,12,25,18.5,3.25,0.983424977253847,0.00684931506849315,0.016575022746152933,1.4853595433038633,25.657660508722653,2087.495205479452,0.0,0.0,28.45154178230034,0.16666666666666666,1.9166666666666679,0.0,2.3424337814646083,0.0,74.26797716519317,26.250000000000004,0.0,15.78,High,Demand Volatility,Review forecast and demand variability,Demand Risk
P01802,Office Supplies,Intermittent,50385,49626,759,4,1858.890410958904,0,3696,3180.9260273972604,49704,24,24,5,19.416666666666668,27,4.4,7,69.02054794520548,104.21328959443899,215.56,2101,824,2071,12,25,18.5,3.25,0.9849359928550164,0.005479452054794521,0.015064007144983627,1.5098878913156786,26.932420363203335,4171.496575342466,0.0,0.0,27.104879181128823,0.20833333333333334,0.9166666666666679,0.0,2.0543459199778145,0.0,75.49439456578394,25.416666666666675,0.0,15.75,High,Demand Volatility,Review forecast and demand variability,Demand Risk
P00760,Office Supplies,Intermittent,26371,25956,415,6,903.3712328767124,0,1861,1604.2589041095891,26016,24,23,6,19.666666666666668,28,3.5,5,36.12465753424657,49.97828960983216,100.21,1071,403,1084,12,25,18.5,3.25,0.9842630161920292,0.00821917808219178,0.015736983807970877,1.3834951808872427,25.007053202381407,2155.045890410959,0.0,0.0,29.191764183173834,0.25,1.1666666666666679,0.0,2.3956161890162657,0.0,69.17475904436213,30.83333333333334,0.0,15.72,High,Demand Volatility,Review forecast and demand variability,Demand Risk
P01925,Office Supplies,Intermittent,98151,97506,645,3,3320.4342465753425,0,6288,5995.0315068493155,100850,25,24,7,19.48,25,4.714285714285714,6,134.45342465753424,184.6092113842075,364.23,3978,1491,4034,12,25,18.5,3.25,0.9934284928324724,0.00410958904109589,0.006571507167527585,1.3730346538544842,24.695795254251102,8011.991095890411,0.0,0.0,29.559687893603616,0.28,0.9800000000000004,0.0,1.0681096208623475,0.0,68.65173269272421,32.900000000000006,0.0,15.55,High,Demand Volatility,Review forecast and demand variability,Demand Risk
P01057,Office Supplies,Intermittent,45070,43943,1127,7,1630.195890410959,0,3441,2853.023287671233,44448,24,24,3,20.083333333333332,31,5.0,7,61.73972602739726,93.62639577708526,194.59,1882,740,1852,12,25,18.5,3.25,0.9749944530729976,0.009589041095890411,0.02500554692700244,1.516469246001159,26.404326603061904,3734.376712328767,0.0,0.0,27.646984184605092,0.125,1.5833333333333321,0.0,3.4594588022892854,0.0,75.82346230005795,20.41666666666666,0.0,15.47,High,Demand Volatility,Review forecast and demand variability,Demand Risk
P00280,Office Supplies,Intermittent,82258,82258,0,0,2927.682191780822,176,5742,5094.586301369863,84500,25,24,7,18.96,30,4.571428571428571,7,112.68219178082192,163.33239383492776,332.64,3388,1303,3380,12,25,18.5,3.25,1.0,0.0,0.0,1.4494960672457056,25.98176469158015,6768.086301369864,0.0,0.0,28.09662887280976,0.28,0.46000000000000085,0.0,0.0,0.0,72.47480336228527,30.300000000000008,0.0,15.42,High,Demand Volatility,Review forecast and demand variability,Demand Risk
P00010,Office Supplies,Intermittent,60603,60223,380,3,2261.480821917808,0,4644,3827.7397260273974,62275,25,24,6,18.92,28,4.166666666666667,6,83.01780821917808,122.9993295647534,253.3,2513,977,2491,12,25,18.5,3.25,0.9937296833490091,0.00410958904109589,0.006270316650990875,1.4816017454956023,27.240912166064387,5003.363698630137,0.0,0.0,26.797927894257676,0.24,0.4200000000000017,0.0,1.0379905692086764,0.0,74.08008727478011,26.10000000000001,0.0,15.34,High,Demand Volatility,Review forecast and demand variability,Demand Risk
P00326,Office Supplies,Intermittent,10982,10809,173,6,357.6013698630137,0,706,667.741095890411,10824,24,23,4,20.916666666666668,30,5.25,7,15.043835616438356,20.623165330056107,41.58,445,167,451,12,25,18.5,3.25,0.9842469495538153,0.00821917808219178,0.015753050446184667,1.3708714888855362,23.770624658532142,896.6260273972603,0.0,0.0,30.710173185876982,0.16666666666666666,2.416666666666668,0.0,2.3972228528376447,0.0,68.54357444427681,28.750000000000004,0.0,15.31,High,Demand Volatility,Review forecast and demand variability,Demand Risk
P01995,Office Supplies,Intermittent,47904,46268,1636,9,1734.3328767123287,0,3338,2940.008219178082,47256,24,24,5,18.625,25,3.4,4,65.62191780821918,93.38687213188797,189.12,1962,748,1969,12,25,18.5,3.25,0.9658483633934536,0.012328767123287671,0.03415163660654642,1.4231048901193681,26.429170841683366,3930.6630136986305,0.0,0.0,27.620995163747775,0.20833333333333334,0.125,0.0,4.648040372983409,0.0,71.15524450596841,21.458333333333336,0.0,15.29,High,Demand Volatility,Review forecast and demand variability,Demand Risk
P00992,Office Supplies,Intermittent,116570,113802,2768,8,3974.6054794520546,0,8140,6973.902739726027,114984,24,24,5,19.041666666666668,28,4.6,7,159.68493150684932,226.3635153068326,458.33,4769,1815,4791,12,25,18.5,3.25,0.9762546109633696,0.010958904109589041,0.02374538903663035,1.4175634054558444,24.890297675216605,9559.719178082192,0.0,0.0,29.328697049969982,0.20833333333333334,0.5416666666666679,0.0,3.470429314621939,0.0,70.87817027279222,23.541666666666675,0.0,15.2,High,Demand Volatility,Review forecast and demand variability,Demand Risk
P01387,Office Supplies,Intermittent,106813,106060,753,3,3695.1602739726027,0,7422,6581.735616438356,109750,25,24,6,19.6,27,4.833333333333333,7,146.31917808219177,203.6101085704754,409.68,4346,1639,4390,12,25,18.5,3.25,0.9929502963122466,0.00410958904109589,0.007049703687753363,1.3915476510953448,25.254107646073045,8735.480136986302,0.0,0.0,28.90618865772964,0.24,1.1000000000000014,0.0,1.1159292728849253,0.0,69.57738255476724,29.500000000000007,0.0,15.2,High,Demand Volatility,Review forecast and demand variability,Demand Risk
P00943,Office Supplies,Intermittent,22166,21736,430,7,768.4698630136986,0,1490,1353.7561643835616,21864,24,24,5,19.541666666666668,25,3.2,5,30.364383561643837,41.82157334700516,84.68,899,337,911,12,25,18.5,3.25,0.9806009203284309,0.009589041095890411,0.01939907967156907,1.3773233124295663,25.308264910222864,1809.6726027397262,0.0,0.0,28.844332181189092,0.20833333333333334,1.0416666666666679,0.0,2.898812076745948,0.0,68.86616562147832,26.041666666666675,0.0,15.11,High,Demand Volatility,Review forecast and demand variability,Demand Risk
P01078,Office Supplies,Intermittent,81029,78896,2133,8,2840.4712328767123,0,5308,4897.772602739726,79920,24,23,6,18.791666666666668,30,4.5,6,110.9986301369863,148.01517642978126,301.28,3257,1204,3330,12,25,18.5,3.25,0.9736760912759629,0.010958904109589041,0.026323908724037073,1.3334865146273596,25.590146737587776,6587.433561643836,0.0,0.0,28.52660469225635,0.25,0.29166666666666785,0.0,3.7282812833626116,0.0,66.67432573136797,26.45833333333334,0.0,15.09,High,Demand Volatility,Review forecast and demand variability,Demand Risk
P00075,Office Supplies,Intermittent,70344,70270,74,2,2472.1698630136984,0,4896,4357.260273972603,72275,25,25,7,19.04,26,3.5714285714285716,7,96.36164383561643,133.24149371021065,269.21,2857,1074,2891,12,25,18.5,3.25,0.9989480268395314,0.0027397260273972603,0.0010519731604685546,1.3827233368653158,25.65512339360855,5747.539726027397,0.0,0.0,28.45435544394476,0.28,0.5399999999999991,0.0,0.37916991878658146,0.0,69.13616684326578,30.7,0.0,15.09,High,Demand Volatility,Review forecast and demand variability,Demand Risk
P01007,Office Supplies,Intermittent,25835,25761,74,2,933.7821917808219,0,1805,1601.5328767123287,26550,25,24,6,18.72,29,4.5,7,35.39041095890411,52.27824330196047,108.39,1070,415,1062,12,25,18.5,3.25,0.9971356686665377,0.0027397260273972603,0.0028643313334623575,1.4771866696509055,26.38517514999032,2131.4349315068494,0.0,0.0,27.667051510941658,0.24,0.21999999999999886,0.0,0.5604057360859618,0.0,73.85933348254528,25.099999999999994,0.0,15.01,High,Demand Volatility,Review forecast and demand variability,Demand Risk
P00400,Office Supplies,Intermittent,15350,15044,306,7,509.65890410958906,0,1112,922.8342465753425,15144,24,24,5,19.916666666666668,28,3.6,5,21.027397260273972,27.31198232783528,53.03,613,224,631,12,25,18.5,3.25,0.9800651465798046,0.009589041095890411,0.01993485342019544,1.2988760325289743,24.23785016286645,1243.8287671232877,0.0,0.0,30.118182722261196,0.20833333333333334,1.4166666666666679,0.0,2.9523894516085853,0.0,64.94380162644872,27.916666666666675,0.0,14.81,High,Demand Volatility,Review forecast and demand variability,Demand Risk
P01631,Office Supplies,Intermittent,71361,70458,903,6,2292.6602739726027,0,5197,4273.439726027397,73325,25,24,4,20.56,25,2.25,3,97.75479452054795,132.41415216294075,266.44,2881,1073,2933,12,25,18.5,3.25,0.9873460293437591,0.00821917808219178,0.012653970656240804,1.3545540432301502,23.45317470326929,5814.107534246576,0.0,0.0,31.12585009219415,0.16,2.0599999999999987,0.0,2.0873148738432583,0.0,67.72770216150751,26.299999999999994,0.0,14.73,High,Demand Volatility,Review forecast and demand variability,Demand Risk
P00087,Office Supplies,Intermittent,18067,17814,253,5,633.8164383561644,0,1212,1101.3780821917808,17808,24,24,5,19.166666666666668,27,3.6,5,24.74931506849315,34.23070130363575,68.81,734,276,742,12,25,18.5,3.25,0.9859965683289976,0.00684931506849315,0.01400343167100238,1.383096914355128,25.609453700116237,1476.3417808219178,0.0,0.0,28.505098490120726,0.20833333333333334,0.6666666666666679,0.0,2.085274673949553,0.0,69.1548457177564,24.166666666666675,0.0,14.62,High,Demand Volatility,Review forecast and demand variability,Demand Risk
P00218,Office Supplies,Intermittent,57305,56497,808,4,2015.013698630137,0,3862,3457.0479452054797,56520,24,24,6,18.625,26,3.3333333333333335,7,78.5,106.42528307650842,213.73,2314,862,2355,12,25,18.5,3.25,0.9859000087252421,0.005479452054794521,0.014099991274757875,1.355736090146604,25.66896431375971,4669.25,0.0,0.0,28.439012617610267,0.25,0.125,0.0,1.9579443329552395,0.0,67.7868045073302,25.625,0.0,14.6,High,Demand Volatility,Review forecast and demand variability,Demand Risk
P01164,Office Supplies,Intermittent,103006,102188,818,2,3804.2835616438356,0,7999,6407.868493150685,105825,25,24,5,18.48,26,3.4,6,141.1041095890411,212.15738809173826,440.48,4290,1680,4233,12,25,18.5,3.25,0.9920587150263092,0.0027397260273972603,0.007941284973690853,1.503552155281915,26.960827524610217,8523.549315068492,0.0,0.0,27.0763202403059,0.2,-0.019999999999999574,0.0,1.0681011001088114,0.0,75.17760776409575,20.0,0.0,14.6,High,Demand Volatility,Review forecast and demand variability,Demand Risk
