product_id,category,demand_class,risk_class,primary_risk_driver,baseline_service_level,baseline_order_coverage_days,baseline_safety_stock,baseline_reorder_point,baseline_order_quantity,baseline_fill_rate,baseline_stockout_rate,baseline_lost_sales,baseline_inventory_days,baseline_total_cost,optimized_service_level,optimized_safety_stock,optimized_reorder_point,optimized_order_quantity,optimized_order_coverage_days,optimized_fill_rate,optimized_stockout_rate,optimized_lost_sales,optimized_inventory_days,optimized_total_cost,optimized_purchase_orders,optimized_purchase_quantity,optimized_supplier_delay_rate,optimized_average_supplier_delay,lost_sales_reduction,cost_change,cost_savings,inventory_days_change,fill_rate_change,safety_stock_change,recommended_action,service_level_improvement,lost_sales_reduction_pct,inventory_days_change_pct,order_quantity_change,order_quantity_change_pct,safety_stock_change_pct,inventory_efficiency,service_risk,financial_exposure,supplier_risk_score,risk_explanation,decision_impact_score,priority,management_decision,business_impact,policy_change_flag,urgency_score,recommendation_confidence,decision_rationale,expected_outcome,executive_recommendation,priority_rank,scenario,contingency_severity,contingency_impact_score,lost_sales_exposure,cost_change_vs_optimized,fill_rate_change_vs_optimized,additional_safety_stock_required,contingency_reorder_point,contingency_order_quantity,contingency_order_coverage_days,contingency_action,contingency_confidence,primary_risk_driver_contingency,action_type,action_priority,action_owner,action_horizon,executive_action_score,executive_action,expected_business_outcome,executive_rationale,executive_confidence,scenario_response,policy_change_required
P00904,Personal Care,Trending,Low,Demand Volatility,0.95,30,980,3769,9842,0.9972,0.0041,660,17.77,18862.46,0.9,764.0,3553.0,14763.0,45.0,0.9947,0.0055,1265.0,23.96,28770.15,16.0,236208.0,0.0,0.0,-605.0,9907.69,-9907.69,6.18,-0.0025,-216.0,Increase order quantity to reduce ordering frequency,-0.0025,-0.9167,0.3478,4921.0,0.5,-0.2204,Inventory increase,Service deterioration,Limited financial benefit,0.0,Low risk driven primarily by demand variability and forecast uncertainty.,0.025,P4 - Monitor,Increase order quantity,Limited benefit,1,0.1222,Low,Increase order quantity to reduce ordering frequency. The modeled economics do not indicate a strong requirement for immediate intervention.,Limited modeled improvement,MONITOR: Maintain current policy unless operating conditions materially change.,2,Combined Stress,High,0.4769,488.0,4300.54,-0.031,355,3908,20669,63.0,Increase safety stock for demand stress,High,Demand Volatility,Demand risk mitigation,P2 - High,Demand Planning,7-30 days,0.3775,Prepare demand contingency and increase safety stock by approximately 355 units.,Protect service under adverse scenario,P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 488 units. Recommended contingency buffer is 355 units.,Medium,Prepare demand response,1
P01579,Personal Care,Trending,Low,Supplier,0.95,30,966,3715,9702,0.9945,0.0055,1288,17.85,25024.6,0.9,753.0,3502.0,9702.0,30.0,0.994,0.0096,1417.0,17.45,26060.15,24.0,232848.0,0.125,0.12,-129.0,1035.55,-1035.55,-0.39,-0.0005,-213.0,Maintain current inventory policy,-0.0005,-0.1002,-0.0218,0.0,0.0,-0.2205,Inventory reduction,Service deterioration,Limited financial benefit,0.0115,Low risk driven primarily by supplier reliability and lead-time uncertainty.,0.0261,P4 - Monitor,Maintain policy,Limited benefit,0,0.1056,Low,Maintain current inventory policy. The policy reduces inventory exposure by 0.39 inventory days while maintaining the modeled service outcome.,Limited modeled improvement,MONITOR: Maintain current policy unless operating conditions materially change.,2,Combined Stress,High,0.4831,547.0,3895.45,-0.031,356,3858,13583,42.0,Prepare alternate supplier and increase inventory buffer,High,Supplier,Supplier risk mitigation,P2 - High,Procurement,7-30 days,0.3772,Prepare alternate supplier coverage and increase inventory buffer by approximately 356 units.,Protect service under adverse scenario,P2 - High scenario exposure under Combined Stress. Primary driver: Supplier. Potential lost-sales exposure is 547 units. Recommended contingency buffer is 356 units.,Medium,Prepare alternate supplier,1
P01853,Accessories,Volatile,Low,Supplier,0.95,30,889,3932,6086,0.9926,0.0096,1089,19.31,19323.05,0.9,693.0,3736.0,9129.0,45.0,0.9912,0.0096,1306.0,25.7,23887.12,16.0,146064.0,0.125,0.62,-217.0,4564.06,-4564.06,6.39,-0.0015,-196.0,Increase order quantity to reduce ordering frequency,-0.0015,-0.1993,0.3309,3043.0,0.5,-0.2205,Inventory increase,Service deterioration,Limited financial benefit,0.0593,Low risk driven primarily by supplier reliability and lead-time uncertainty.,0.0309,P4 - Monitor,Increase order quantity,Limited benefit,1,0.1193,Low,Increase order quantity to reduce ordering frequency. The modeled economics do not indicate a strong requirement for immediate intervention.,Limited modeled improvement,MONITOR: Maintain current policy unless operating conditions materially change.,2,Combined Stress,High,0.4628,504.0,3570.63,-0.031,328,4064,12781,63.0,Prepare alternate supplier and increase inventory buffer,High,Supplier,Supplier risk mitigation,P2 - High,Procurement,7-30 days,0.3771,Prepare alternate supplier coverage and increase inventory buffer by approximately 328 units.,Protect service under adverse scenario,P2 - High scenario exposure under Combined Stress. Primary driver: Supplier. Potential lost-sales exposure is 504 units. Recommended contingency buffer is 328 units.,Medium,Prepare alternate supplier,1
P01500,Accessories,Volatile,Low,Demand Volatility,0.95,30,1203,5322,8238,0.995,0.0055,1004,19.57,21387.1,0.9,938.0,5057.0,12357.0,45.0,0.9935,0.0082,1313.0,26.81,28254.6,16.0,197712.0,0.0625,0.19,-309.0,6867.5,-6867.5,7.24,-0.0015,-265.0,Increase order quantity to reduce ordering frequency,-0.0015,-0.3078,0.37,4119.0,0.5,-0.2203,Inventory increase,Service deterioration,Limited financial benefit,0.0091,Low risk driven primarily by demand variability and forecast uncertainty.,0.0259,P4 - Monitor,Increase order quantity,Limited benefit,1,0.1142,Low,Increase order quantity to reduce ordering frequency. The modeled economics do not indicate a strong requirement for immediate intervention.,Limited modeled improvement,MONITOR: Maintain current policy unless operating conditions materially change.,2,Combined Stress,High,0.4804,507.0,4223.47,-0.031,426,5483,17300,63.0,Increase safety stock for demand stress,High,Demand Volatility,Demand risk mitigation,P2 - High,Demand Planning,7-30 days,0.377,Prepare demand contingency and increase safety stock by approximately 426 units.,Protect service under adverse scenario,P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 507 units. Recommended contingency buffer is 426 units.,Medium,Prepare demand response,1
P01125,Office Supplies,Trending,Low,Demand Volatility,0.95,30,908,3489,9109,0.9936,0.0082,1425,18.21,25908.24,0.9,708.0,3289.0,9109.0,30.0,0.9936,0.0068,1416.0,17.62,25462.01,24.0,218616.0,0.0,0.0,9.0,-446.22,446.22,-0.59,0.0,-200.0,Maintain current inventory policy,0.0,0.0063,-0.0324,0.0,0.0,-0.2203,Inventory reduction,Service unchanged,Positive economic + service impact,0.0,Low risk driven primarily by demand variability and forecast uncertainty.,0.0283,P3 - Low Impact,Maintain policy,Cost saving + service improvement,0,0.1006,Low,Maintain current inventory policy. The optimization is expected to reduce lost sales by 9 units while reducing modeled cost by ₹446. Fill rate changes by +0.00%.,Lower cost with improved service,LOW PRIORITY: Maintain policy. Monitor performance before intervention.,2,Combined Stress,High,0.4805,547.0,3806.04,-0.031,338,3627,12753,42.0,Increase safety stock for demand stress,High,Demand Volatility,Demand risk mitigation,P2 - High,Demand Planning,7-30 days,0.3759,Prepare demand contingency and increase safety stock by approximately 338 units.,Protect service under adverse scenario,P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 547 units. Recommended contingency buffer is 338 units.,Medium,Prepare demand response,1
P00991,Office Supplies,Trending,Low,Supplier,0.95,30,1157,4435,11569,0.983,0.0178,4791,17.94,62342.89,0.9,901.0,4179.0,11569.0,30.0,0.9961,0.0068,1104.0,17.91,25455.15,24.0,277656.0,0.0417,0.08,3687.0,-36887.75,36887.75,-0.02,0.0131,-256.0,Maintain current inventory policy,0.0131,0.7696,-0.0011,0.0,0.0,-0.2213,Inventory reduction,Moderate service improvement,Positive economic + service impact,0.0026,Low risk driven primarily by supplier reliability and lead-time uncertainty.,0.5767,P1 - High Impact,Immediate intervention,Cost saving + service improvement,0,0.3312,Medium,"Maintain current inventory policy. The optimization is expected to reduce lost sales by 3,687 units while reducing modeled cost by ₹36,888. Fill rate changes by +1.31%.",Lower cost with improved service,HIGH PRIORITY: Immediate intervention. Intervention is expected to materially improve portfolio performance.,3,Combined Stress,Moderate,0.4459,426.0,3805.01,-0.031,358,4537,15619,40.5,Monitor supplier exposure and maintain contingency buffer,Low,Supplier,Inventory buffer planning,P3 - Planned,Inventory Planning,30-90 days,0.535,Execute optimization recommendation: Immediate intervention.,Protect service under adverse scenario,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹36,887.75, with lost-sales change of 3,687 units.",Low,Monitor scenario exposure,1
P00246,Accessories,Volatile,Medium,Supplier,0.95,30,1269,5625,8711,0.983,0.0178,3614,18.4,47427.34,0.95,1269.0,5625.0,8711.0,30.0,0.9974,0.0055,545.0,19.05,17111.14,24.0,209064.0,0.0417,0.21,3069.0,-30316.2,30316.2,0.64,0.0145,0.0,Maintain current inventory policy,0.0145,0.8492,0.0348,0.0,0.0,0.0,Inventory increase,Moderate service improvement,Positive economic + service impact,0.0067,Medium risk driven primarily by supplier reliability and lead-time uncertainty.,0.5245,P1 - High Impact,Immediate intervention,Cost saving + service improvement,0,0.3929,Medium,"Maintain current inventory policy. The optimization is expected to reduce lost sales by 3,069 units while reducing modeled cost by ₹30,316. Fill rate changes by +1.45%.",Lower cost with improved service,HIGH PRIORITY: Immediate intervention. Intervention is expected to materially improve portfolio performance.,3,Combined Stress,Moderate,0.3575,210.0,2557.76,-0.031,529,6154,12196,42.0,Monitor supplier exposure and maintain contingency buffer,Low,Supplier,Inventory buffer planning,P3 - Planned,Inventory Planning,30-90 days,0.5102,Execute optimization recommendation: Immediate intervention.,Protect service under adverse scenario,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹30,316.20, with lost-sales change of 3,069 units.",Low,Monitor scenario exposure,1
P01445,Accessories,Volatile,Medium,Supplier,0.95,30,904,4008,6208,0.9799,0.0233,3032,17.72,38252.07,0.95,904.0,4008.0,3104.0,15.0,0.9993,0.0014,99.0,12.71,7450.12,48.0,148992.0,0.125,0.48,2933.0,-30801.96,30801.96,-5.01,0.0194,0.0,Reduce order quantity and increase ordering frequency,0.0194,0.9673,-0.2827,-3104.0,-0.5,0.0,Inventory reduction,Moderate service improvement,Positive economic + service impact,0.0459,Medium risk driven primarily by supplier reliability and lead-time uncertainty.,0.5449,P1 - High Impact,Immediate intervention,Cost saving + service improvement,1,0.3883,High,"Reduce order quantity and increase ordering frequency. The optimization is expected to reduce lost sales by 2,933 units while reducing modeled cost by ₹30,802. Fill rate changes by +1.94%.",Lower cost with improved service,HIGH PRIORITY: Immediate intervention. Intervention is expected to materially improve portfolio performance.,3,Combined Stress,Moderate,0.2701,38.0,1113.64,-0.031,366,4374,4346,21.0,Monitor supplier exposure and maintain contingency buffer,Low,Supplier,Inventory buffer planning,P3 - Planned,Inventory Planning,30-90 days,0.4909,Execute optimization recommendation: Immediate intervention.,Protect service under adverse scenario,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹30,801.96, with lost-sales change of 2,933 units.",Medium,Monitor scenario exposure,1
P00250,Accessories,Trending,Low,Demand Volatility,0.95,30,905,3450,8983,0.9825,0.0178,3815,17.61,49293.76,0.9,705.0,3250.0,8983.0,30.0,0.9987,0.0014,276.0,18.1,14200.12,24.0,215592.0,0.0833,0.17,3539.0,-35093.64,35093.64,0.49,0.0162,-200.0,Maintain current inventory policy,0.0162,0.9277,0.0278,0.0,0.0,-0.221,Inventory increase,Moderate service improvement,Positive economic + service impact,0.0108,Low risk driven primarily by demand variability and forecast uncertainty.,0.5708,P1 - High Impact,Immediate intervention,Cost saving + service improvement,0,0.3228,Medium,"Maintain current inventory policy. The optimization is expected to reduce lost sales by 3,539 units while reducing modeled cost by ₹35,094. Fill rate changes by +1.62%.",Lower cost with improved service,HIGH PRIORITY: Immediate intervention. Intervention is expected to materially improve portfolio performance.,3,Combined Stress,Moderate,0.3096,107.0,2122.62,-0.031,258,3508,12128,40.5,Monitor demand volatility and maintain inventory buffer,Low,Demand Volatility,Inventory buffer planning,P3 - Planned,Inventory Planning,30-90 days,0.4894,Execute optimization recommendation: Immediate intervention.,Protect service under adverse scenario,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹35,093.64, with lost-sales change of 3,539 units.",Low,Monitor scenario exposure,1
P01302,Accessories,Trending,Low,Demand Volatility,0.95,30,809,3085,8032,0.9807,0.0178,3769,17.43,47626.07,0.9,631.0,2907.0,12048.0,45.0,0.9992,0.0014,151.0,25.23,15422.85,16.0,192768.0,0.0,0.0,3618.0,-32203.22,32203.22,7.8,0.0185,-178.0,Increase order quantity to reduce ordering frequency,0.0185,0.9599,0.4475,4016.0,0.5,-0.22,Inventory increase,Moderate service improvement,Positive economic + service impact,0.0,Low risk driven primarily by demand variability and forecast uncertainty.,0.5694,P1 - High Impact,Immediate intervention,Cost saving + service improvement,1,0.3266,Medium,"Increase order quantity to reduce ordering frequency. The optimization is expected to reduce lost sales by 3,618 units while reducing modeled cost by ₹32,203. Fill rate changes by +1.85%.",Lower cost with improved service,HIGH PRIORITY: Immediate intervention. Intervention is expected to materially improve portfolio performance.,3,Combined Stress,Moderate,0.3003,58.0,2305.39,-0.031,227,3134,16265,60.75,Monitor demand volatility and maintain inventory buffer,Low,Demand Volatility,Inventory buffer planning,P3 - Planned,Inventory Planning,30-90 days,0.4857,Execute optimization recommendation: Immediate intervention.,Protect service under adverse scenario,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹32,203.22, with lost-sales change of 3,618 units.",Low,Monitor scenario exposure,1
P00508,Accessories,Volatile,Low,Demand Volatility,0.95,30,1216,5393,8353,0.9823,0.0233,3595,17.81,46469.78,0.9,947.0,5124.0,12530.0,45.0,0.9995,0.0014,106.0,26.33,16122.97,16.0,200480.0,0.0,0.0,3489.0,-30346.81,30346.81,8.52,0.0172,-269.0,Increase order quantity to reduce ordering frequency,0.0172,0.9705,0.4784,4177.0,0.5001,-0.2212,Inventory increase,Moderate service improvement,Positive economic + service impact,0.0,Low risk driven primarily by demand variability and forecast uncertainty.,0.5427,P1 - High Impact,Immediate intervention,Cost saving + service improvement,1,0.3186,Medium,"Increase order quantity to reduce ordering frequency. The optimization is expected to reduce lost sales by 3,489 units while reducing modeled cost by ₹30,347. Fill rate changes by +1.72%.",Lower cost with improved service,HIGH PRIORITY: Immediate intervention. Intervention is expected to materially improve portfolio performance.,3,Combined Stress,Moderate,0.2982,41.0,2410.05,-0.031,336,5460,16916,60.75,Monitor demand volatility and maintain inventory buffer,Low,Demand Volatility,Inventory buffer planning,P3 - Planned,Inventory Planning,30-90 days,0.4733,Execute optimization recommendation: Immediate intervention.,Protect service under adverse scenario,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹30,346.81, with lost-sales change of 3,489 units.",Low,Monitor scenario exposure,1
P00734,Personal Care,Trending,Low,Demand Volatility,0.95,30,935,3601,9410,0.9857,0.0178,3281,16.88,43998.65,0.9,729.0,3395.0,9410.0,30.0,0.9996,0.0014,97.0,17.82,12750.29,24.0,225840.0,0.125,0.33,3184.0,-31248.36,31248.36,0.94,0.0139,-206.0,Maintain current inventory policy,0.0139,0.9704,0.0557,0.0,0.0,-0.2203,Inventory increase,Moderate service improvement,Positive economic + service impact,0.0315,Low risk driven primarily by demand variability and forecast uncertainty.,0.5131,P1 - High Impact,Immediate intervention,Cost saving + service improvement,0,0.3026,Medium,"Maintain current inventory policy. The optimization is expected to reduce lost sales by 3,184 units while reducing modeled cost by ₹31,248. Fill rate changes by +1.39%.",Lower cost with improved service,HIGH PRIORITY: Immediate intervention. Intervention is expected to materially improve portfolio performance.,3,Combined Stress,Moderate,0.2841,37.0,1905.9,-0.031,259,3654,12704,40.5,Monitor demand volatility and maintain inventory buffer,Low,Demand Volatility,Inventory buffer planning,P3 - Planned,Inventory Planning,30-90 days,0.4564,Execute optimization recommendation: Immediate intervention.,Protect service under adverse scenario,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹31,248.36, with lost-sales change of 3,184 units.",Low,Monitor scenario exposure,1
P00954,Accessories,Volatile,Medium,Supplier,0.95,30,1217,5371,8308,0.9873,0.0096,2558,19.85,37171.15,0.95,1217.0,5371.0,12462.0,45.0,0.9974,0.0027,525.0,26.4,20272.07,16.0,199392.0,0.1875,0.62,2033.0,-16899.08,16899.08,6.56,0.0101,0.0,Increase order quantity to reduce ordering frequency,0.0101,0.7948,0.3305,4154.0,0.5,0.0,Inventory increase,Moderate service improvement,Positive economic + service impact,0.0889,Medium risk driven primarily by supplier reliability and lead-time uncertainty.,0.3562,P1 - High Impact,Immediate intervention,Cost saving + service improvement,1,0.3362,High,"Increase order quantity to reduce ordering frequency. The optimization is expected to reduce lost sales by 2,033 units while reducing modeled cost by ₹16,899. Fill rate changes by +1.01%.",Lower cost with improved service,HIGH PRIORITY: Immediate intervention. Intervention is expected to materially improve portfolio performance.,3,Combined Stress,Moderate,0.3695,203.0,3030.25,-0.031,508,5879,17447,63.0,Monitor supplier exposure and maintain contingency buffer,Low,Supplier,Inventory buffer planning,P3 - Planned,Inventory Planning,30-90 days,0.4404,Execute optimization recommendation: Immediate intervention.,Protect service under adverse scenario,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹16,899.08, with lost-sales change of 2,033 units.",Medium,Monitor scenario exposure,1
P01394,Personal Care,Seasonal,Medium,Supplier,0.95,30,533,2359,5216,0.9826,0.0178,2205,17.26,28650.72,0.95,533.0,2359.0,7824.0,45.0,1.0,0.0,0.0,26.22,9517.15,16.0,125184.0,0.0,0.0,2205.0,-19133.57,19133.57,8.96,0.0174,0.0,Increase order quantity to reduce ordering frequency,0.0174,1.0,0.5191,2608.0,0.5,0.0,Inventory increase,Moderate service improvement,Positive economic + service impact,0.0,Medium risk driven primarily by supplier reliability and lead-time uncertainty.,0.4081,P1 - High Impact,Immediate intervention,Cost saving + service improvement,1,0.3381,High,"Increase order quantity to reduce ordering frequency. The optimization is expected to reduce lost sales by 2,205 units while reducing modeled cost by ₹19,134. Fill rate changes by +1.74%.",Lower cost with improved service,HIGH PRIORITY: Immediate intervention. Intervention is expected to materially improve portfolio performance.,3,Combined Stress,Moderate,0.2668,0.0,1422.62,-0.031,214,2573,10954,63.0,Monitor supplier exposure and maintain contingency buffer,Low,Supplier,Inventory policy action,P3 - Planned,Inventory Planning,30-90 days,0.4288,Execute optimization recommendation: Immediate intervention.,Lower cost and improved service,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹19,133.57, with lost-sales change of 2,205 units.",Medium,Monitor scenario exposure,1
P01657,Personal Care,Seasonal,Low,Supplier,0.95,30,788,3482,7697,0.9848,0.0178,2839,18.12,38285.96,0.9,614.0,3308.0,7697.0,30.0,0.9996,0.0014,81.0,18.14,10719.77,24.0,184728.0,0.0,0.0,2758.0,-27566.19,27566.19,0.03,0.0147,-174.0,Maintain current inventory policy,0.0147,0.9715,0.0017,0.0,0.0,-0.2208,Inventory increase,Moderate service improvement,Positive economic + service impact,0.0,Low risk driven primarily by supplier reliability and lead-time uncertainty.,0.4608,P1 - High Impact,Immediate intervention,Cost saving + service improvement,0,0.2728,Medium,"Maintain current inventory policy. The optimization is expected to reduce lost sales by 2,758 units while reducing modeled cost by ₹27,566. Fill rate changes by +1.47%.",Lower cost with improved service,HIGH PRIORITY: Immediate intervention. Intervention is expected to materially improve portfolio performance.,3,Combined Stress,Moderate,0.2737,31.0,1602.38,-0.031,219,3527,10391,40.5,Monitor supplier exposure and maintain contingency buffer,Low,Supplier,Inventory buffer planning,P3 - Planned,Inventory Planning,30-90 days,0.4284,Execute optimization recommendation: Immediate intervention.,Protect service under adverse scenario,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹27,566.19, with lost-sales change of 2,758 units.",Low,Monitor scenario exposure,1
P00272,Accessories,Trending,Low,Supplier,0.95,30,911,3475,9051,0.9871,0.0137,2840,17.94,39823.95,0.9,710.0,3274.0,13576.0,45.0,0.9997,0.0014,76.0,25.16,16340.81,16.0,217216.0,0.125,0.12,2764.0,-23483.13,23483.13,7.22,0.0126,-201.0,Increase order quantity to reduce ordering frequency,0.0126,0.9732,0.4025,4525.0,0.4999,-0.2206,Inventory increase,Moderate service improvement,Positive economic + service impact,0.0115,Low risk driven primarily by supplier reliability and lead-time uncertainty.,0.428,P1 - High Impact,Immediate intervention,Cost saving + service improvement,1,0.2743,Medium,"Increase order quantity to reduce ordering frequency. The optimization is expected to reduce lost sales by 2,764 units while reducing modeled cost by ₹23,483. Fill rate changes by +1.26%.",Lower cost with improved service,HIGH PRIORITY: Immediate intervention. Intervention is expected to materially improve portfolio performance.,3,Combined Stress,Moderate,0.2958,29.0,2442.61,-0.031,252,3526,18328,60.75,Monitor supplier exposure and maintain contingency buffer,Low,Supplier,Inventory buffer planning,P3 - Planned,Inventory Planning,30-90 days,0.4218,Execute optimization recommendation: Immediate intervention.,Protect service under adverse scenario,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹23,483.13, with lost-sales change of 2,764 units.",Low,Monitor scenario exposure,1
P00530,Accessories,Volatile,Low,Demand Volatility,0.95,30,1156,5120,7928,0.9845,0.0178,2987,18.61,40305.71,0.9,901.0,4865.0,11892.0,45.0,0.9957,0.0068,820.0,25.15,21890.51,16.0,190272.0,0.0625,0.31,2167.0,-18415.21,18415.21,6.54,0.0112,-255.0,Increase order quantity to reduce ordering frequency,0.0112,0.7255,0.3514,3964.0,0.5,-0.2206,Inventory increase,Moderate service improvement,Positive economic + service impact,0.0148,Low risk driven primarily by demand variability and forecast uncertainty.,0.3479,P1 - High Impact,Immediate intervention,Cost saving + service improvement,1,0.2372,Medium,"Increase order quantity to reduce ordering frequency. The optimization is expected to reduce lost sales by 2,167 units while reducing modeled cost by ₹18,415. Fill rate changes by +1.12%.",Lower cost with improved service,HIGH PRIORITY: Immediate intervention. Intervention is expected to materially improve portfolio performance.,3,Combined Stress,Moderate,0.4006,317.0,3272.18,-0.031,348,5213,16055,60.75,Monitor demand volatility and maintain inventory buffer,Low,Demand Volatility,Inventory buffer planning,P3 - Planned,Inventory Planning,30-90 days,0.4188,Execute optimization recommendation: Immediate intervention.,Protect service under adverse scenario,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹18,415.21, with lost-sales change of 2,167 units.",Low,Monitor scenario exposure,1
P00583,Personal Care,Seasonal,Low,Supplier,0.95,30,691,3056,6758,0.9822,0.0205,2925,17.35,37667.67,0.9,538.0,2903.0,10137.0,45.0,0.9935,0.0082,1075.0,24.58,22225.56,16.0,162192.0,0.0625,0.12,1850.0,-15442.11,15442.11,7.23,0.0112,-153.0,Increase order quantity to reduce ordering frequency,0.0112,0.6325,0.4167,3379.0,0.5,-0.2214,Inventory increase,Moderate service improvement,Positive economic + service impact,0.0057,Low risk driven primarily by supplier reliability and lead-time uncertainty.,0.3062,P1 - High Impact,Immediate intervention,Cost saving + service improvement,1,0.2165,Medium,"Increase order quantity to reduce ordering frequency. The optimization is expected to reduce lost sales by 1,850 units while reducing modeled cost by ₹15,442. Fill rate changes by +1.12%.",Lower cost with improved service,HIGH PRIORITY: Immediate intervention. Intervention is expected to materially improve portfolio performance.,3,Combined Stress,Moderate,0.4298,415.0,3322.26,-0.031,230,3133,13685,60.75,Monitor supplier exposure and maintain contingency buffer,Low,Supplier,Inventory buffer planning,P3 - Planned,Inventory Planning,30-90 days,0.4096,Execute optimization recommendation: Immediate intervention.,Protect service under adverse scenario,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹15,442.11, with lost-sales change of 1,850 units.",Low,Monitor scenario exposure,1
P01786,Accessories,Trending,Low,Supplier,0.95,30,506,1931,5031,0.9787,0.0219,2609,16.72,32298.64,0.9,394.0,1819.0,7546.0,45.0,0.9965,0.0068,432.0,25.16,13157.76,16.0,120736.0,0.0,0.0,2177.0,-19140.88,19140.88,8.44,0.0178,-112.0,Increase order quantity to reduce ordering frequency,0.0178,0.8344,0.5048,2515.0,0.4999,-0.2213,Inventory increase,Moderate service improvement,Positive economic + service impact,0.0,Low risk driven primarily by supplier reliability and lead-time uncertainty.,0.383,P1 - High Impact,Immediate intervention,Cost saving + service improvement,1,0.2364,Medium,"Increase order quantity to reduce ordering frequency. The optimization is expected to reduce lost sales by 2,177 units while reducing modeled cost by ₹19,141. Fill rate changes by +1.78%.",Lower cost with improved service,HIGH PRIORITY: Immediate intervention. Intervention is expected to materially improve portfolio performance.,3,Combined Stress,Moderate,0.3224,167.0,1966.81,-0.031,155,1974,10188,60.75,Monitor supplier exposure and maintain contingency buffer,Low,Supplier,Inventory buffer planning,P3 - Planned,Inventory Planning,30-90 days,0.4082,Execute optimization recommendation: Immediate intervention.,Protect service under adverse scenario,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹19,140.88, with lost-sales change of 2,177 units.",Low,Monitor scenario exposure,1
P00532,Accessories,Volatile,Medium,Supplier,0.95,30,963,4264,6602,0.9877,0.0137,1982,18.86,28722.62,0.95,963.0,4264.0,9903.0,45.0,1.0,0.0014,2.0,27.05,12326.89,16.0,158448.0,0.0,0.0,1980.0,-16395.73,16395.73,8.19,0.0123,0.0,Increase order quantity to reduce ordering frequency,0.0123,0.999,0.4343,3301.0,0.5,0.0,Inventory increase,Moderate service improvement,Positive economic + service impact,0.0,Medium risk driven primarily by supplier reliability and lead-time uncertainty.,0.351,P1 - High Impact,Immediate intervention,Cost saving + service improvement,1,0.324,High,"Increase order quantity to reduce ordering frequency. The optimization is expected to reduce lost sales by 1,980 units while reducing modeled cost by ₹16,396. Fill rate changes by +1.23%.",Lower cost with improved service,HIGH PRIORITY: Immediate intervention. Intervention is expected to materially improve portfolio performance.,3,Combined Stress,Moderate,0.2784,1.0,1842.61,-0.031,386,4650,13865,63.0,Monitor supplier exposure and maintain contingency buffer,Low,Supplier,Inventory buffer planning,P3 - Planned,Inventory Planning,30-90 days,0.4081,Execute optimization recommendation: Immediate intervention.,Protect service under adverse scenario,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹16,395.73, with lost-sales change of 1,980 units.",Medium,Monitor scenario exposure,1
P00339,Personal Care,Seasonal,Low,Demand Volatility,0.95,30,873,3862,8540,0.9864,0.0151,2829,17.75,38995.29,0.9,680.0,3669.0,12810.0,45.0,0.9958,0.0055,869.0,24.68,23142.78,16.0,204960.0,0.0625,0.25,1960.0,-15852.52,15852.52,6.93,0.0094,-193.0,Increase order quantity to reduce ordering frequency,0.0094,0.6928,0.3904,4270.0,0.5,-0.2211,Inventory increase,Moderate service improvement,Positive economic + service impact,0.0119,Low risk driven primarily by demand variability and forecast uncertainty.,0.3086,P1 - High Impact,Immediate intervention,Cost saving + service improvement,1,0.224,Medium,"Increase order quantity to reduce ordering frequency. The optimization is expected to reduce lost sales by 1,960 units while reducing modeled cost by ₹15,853. Fill rate changes by +0.94%.",Lower cost with improved service,HIGH PRIORITY: Immediate intervention. Intervention is expected to materially improve portfolio performance.,3,Combined Stress,Moderate,0.4107,335.0,3459.36,-0.031,272,3941,17294,60.75,Monitor demand volatility and maintain inventory buffer,Low,Demand Volatility,Inventory buffer planning,P3 - Planned,Inventory Planning,30-90 days,0.4049,Execute optimization recommendation: Immediate intervention.,Protect service under adverse scenario,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹15,852.52, with lost-sales change of 1,960 units.",Low,Monitor scenario exposure,1
