product_id,scenario,risk_class,primary_risk_driver,contingency_severity,contingency_impact_score,lost_sales_exposure,cost_change_vs_optimized,fill_rate_change_vs_optimized,additional_safety_stock_required,contingency_reorder_point,contingency_order_quantity,contingency_order_coverage_days,contingency_action,contingency_confidence
P01241,Combined Stress,Low,Demand Volatility,High,0.5648,805.0,4197.14,-0.031,269,2433,8377,42.0,Increase safety stock for demand stress,High
P01137,Combined Stress,Low,Demand Volatility,High,0.5641,747.0,4788.15,-0.031,306,2972,15475,63.0,Increase safety stock for demand stress,High
P01616,Combined Stress,Low,Demand Volatility,High,0.5615,750.0,4639.79,-0.031,289,2766,14406,63.0,Increase safety stock for demand stress,High
P00898,Combined Stress,Low,Demand Volatility,High,0.5588,746.0,4595.23,-0.031,364,3696,12904,42.0,Increase safety stock for demand stress,High
P00338,Combined Stress,Low,Supplier,High,0.5568,636.0,5697.08,-0.031,636,7270,25720,42.0,Prepare alternate supplier and increase inventory buffer,High
P00680,Combined Stress,Low,Demand Volatility,High,0.5553,801.0,3875.23,-0.031,266,2407,4144,21.0,Increase safety stock for demand stress,High
P01788,Combined Stress,Low,Supplier,High,0.555,712.0,4779.57,-0.031,412,4365,15326,42.0,Prepare alternate supplier and increase inventory buffer,High
P01329,Combined Stress,Low,Demand Volatility,High,0.5538,745.0,4406.74,-0.031,322,3185,11097,42.0,Increase safety stock for demand stress,High
P01656,Combined Stress,Low,Demand Volatility,High,0.5534,695.0,4941.86,-0.031,351,3591,18814,63.0,Increase safety stock for demand stress,High
P00944,Combined Stress,Low,Demand Volatility,High,0.5531,727.0,4553.57,-0.031,370,3782,13201,42.0,Increase safety stock for demand stress,High
P01755,Combined Stress,Low,Demand Volatility,High,0.5527,766.0,4142.64,-0.031,369,3721,6481,21.0,Increase safety stock for demand stress,High
P01944,Combined Stress,Low,Supplier,High,0.551,726.0,4522.19,-0.031,530,5844,10306,21.0,Prepare alternate supplier and increase inventory buffer,High
P00121,Combined Stress,Low,Supplier,High,0.548,781.0,3824.0,-0.031,267,2444,4216,21.0,Prepare alternate supplier and increase inventory buffer,High
P01260,Combined Stress,Low,Supplier,High,0.5435,731.0,4178.31,-0.031,312,3529,10486,42.0,Prepare alternate supplier and increase inventory buffer,High
P00198,Combined Stress,Low,Supplier,High,0.5435,686.0,4662.12,-0.031,408,4966,15589,63.0,Prepare alternate supplier and increase inventory buffer,High
P01155,Combined Stress,Low,Demand Volatility,High,0.5434,634.0,5204.24,-0.031,408,4407,23270,63.0,Increase safety stock for demand stress,High
P00350,Combined Stress,Low,Supplier,High,0.5416,725.0,4176.43,-0.031,303,2981,10387,42.0,Prepare alternate supplier and increase inventory buffer,High
P01441,Combined Stress,Low,Demand Volatility,High,0.5414,734.0,4074.11,-0.031,283,2687,9299,42.0,Increase safety stock for demand stress,High
P01140,Combined Stress,Low,Supplier,High,0.5413,642.0,5035.68,-0.031,373,3962,20888,63.0,Prepare alternate supplier and increase inventory buffer,High
P00858,Combined Stress,Low,Supplier,High,0.5397,674.0,4619.26,-0.031,323,3769,16844,63.0,Prepare alternate supplier and increase inventory buffer,High
P00531,Combined Stress,Low,Supplier,High,0.5375,728.0,4001.14,-0.031,272,2563,8868,42.0,Prepare alternate supplier and increase inventory buffer,High
P00474,Combined Stress,Low,Supplier,High,0.5374,650.0,4821.11,-0.031,450,5619,17673,63.0,Prepare alternate supplier and increase inventory buffer,High
P00004,Combined Stress,Low,Supplier,High,0.5365,655.0,4735.56,-0.031,340,4034,18063,63.0,Prepare alternate supplier and increase inventory buffer,High
P01154,Combined Stress,Low,Demand Volatility,High,0.5363,725.0,3987.63,-0.031,310,3601,7558,21.0,Increase safety stock for demand stress,High
P00659,Combined Stress,Low,Supplier,High,0.5342,667.0,4525.47,-0.031,399,4260,14979,42.0,Prepare alternate supplier and increase inventory buffer,High
P00793,Combined Stress,Medium,Supplier,High,0.5329,682.0,4047.65,-0.031,412,3793,10845,43.5,Prepare alternate supplier and increase inventory buffer,Medium
P01389,Combined Stress,Low,Supplier,High,0.5321,728.0,3797.65,-0.031,307,3454,7177,42.0,Prepare alternate supplier and increase inventory buffer,High
P01927,Combined Stress,Low,Demand Volatility,High,0.5304,643.0,4581.68,-0.031,326,3848,17213,63.0,Increase safety stock for demand stress,High
P01286,Combined Stress,Low,Demand Volatility,High,0.527,591.0,5068.98,-0.031,399,4348,22979,63.0,Increase safety stock for demand stress,High
P01833,Combined Stress,Low,Demand Volatility,High,0.526,700.0,3851.74,-0.031,264,2887,8554,42.0,Increase safety stock for demand stress,High
P01956,Combined Stress,Low,Demand Volatility,High,0.5245,686.0,3911.69,-0.031,295,3339,10408,63.0,Increase safety stock for demand stress,High
P01343,Combined Stress,Low,Demand Volatility,High,0.5227,643.0,4338.77,-0.031,295,2951,15426,63.0,Increase safety stock for demand stress,High
P00482,Combined Stress,Low,Supplier,High,0.5222,659.0,4147.13,-0.031,334,3447,12071,42.0,Prepare alternate supplier and increase inventory buffer,High
P01541,Combined Stress,Low,Demand Volatility,High,0.522,639.0,4360.99,-0.031,294,2954,15469,63.0,Increase safety stock for demand stress,High
P00200,Combined Stress,Low,Supplier,High,0.5216,672.0,3999.9,-0.031,353,4321,9112,21.0,Prepare alternate supplier and increase inventory buffer,High
P01161,Combined Stress,Low,Supplier,High,0.521,677.0,3929.08,-0.031,281,2732,9484,42.0,Prepare alternate supplier and increase inventory buffer,High
P01385,Combined Stress,Low,Demand Volatility,High,0.5205,577.0,4975.39,-0.031,538,6118,21647,42.0,Increase safety stock for demand stress,High
P00597,Combined Stress,Low,Supplier,High,0.5197,472.0,6063.35,-0.031,567,6593,35048,63.0,Prepare alternate supplier and increase inventory buffer,High
P00220,Combined Stress,Low,Demand Volatility,High,0.5178,647.0,4109.95,-0.031,440,5490,11514,42.0,Increase safety stock for demand stress,High
P00982,Combined Stress,Low,Supplier,High,0.5172,513.0,5531.38,-0.031,479,5434,28803,63.0,Prepare alternate supplier and increase inventory buffer,High
P01545,Combined Stress,Low,Demand Volatility,High,0.5148,684.0,3623.47,-0.031,300,2965,5157,21.0,Increase safety stock for demand stress,High
P01360,Combined Stress,Low,Demand Volatility,High,0.5126,661.0,3783.84,-0.031,276,2709,9435,42.0,Increase safety stock for demand stress,High
P00849,Combined Stress,Low,Supplier,High,0.5121,657.0,3811.33,-0.031,282,3193,9490,42.0,Prepare alternate supplier and increase inventory buffer,High
P01118,Combined Stress,Low,Demand Volatility,High,0.5118,684.0,3508.99,-0.031,217,1924,6606,42.0,Increase safety stock for demand stress,High
P00743,Combined Stress,Low,Supplier,High,0.5116,433.0,6181.16,-0.031,613,7209,38351,63.0,Prepare alternate supplier and increase inventory buffer,High
