product_id,risk_class,primary_risk_driver,scenario_demand_multiplier,scenario_supplier_delay,scenario_supplier_delay_rate,scenario_safety_stock,scenario_reorder_point,scenario_order_quantity,scenario_purchase_quantity,scenario_purchase_orders,scenario_inventory_days,scenario_fill_rate,scenario_stockout_rate,scenario_lost_sales,scenario_total_cost,cost_change_vs_optimized,cost_savings_vs_optimized,lost_sales_change_vs_optimized,lost_sales_increase_vs_optimized,fill_rate_change_vs_optimized,inventory_days_change_vs_optimized,scenario_severity,scenario_recommendation,scenario,decision_impact_score,urgency_score,recommendation_confidence,management_decision,scenario_cost,optimized_total_cost_base,optimized_lost_sales_base,optimized_fill_rate_base,optimized_safety_stock_base,optimized_order_quantity_base,optimized_inventory_days_base,lost_sales_increase_pct,cost_increase_pct,supplier_exposure,supplier_exposure_score,baseline_risk_score,scenario_exposure_score,exposure_class,economic_exposure,recommended_buffer_rate,stress_adjusted_safety_stock,additional_safety_stock_required,stress_adjusted_order_quantity,additional_order_quantity_required,action_priority,risk_scenario_relationship,scenario_rationale,decision_confidence,scenario_opportunity_score,final_decision_score,scenario_rank,category,demand_class,optimized_service_level,optimized_safety_stock,optimized_reorder_point,optimized_order_quantity,optimized_order_coverage_days,optimized_fill_rate,optimized_stockout_rate,optimized_lost_sales,optimized_inventory_days,optimized_total_cost,optimized_supplier_delay_rate,optimized_average_supplier_delay,contingency_severity,scenario_type,contingency_multiplier,lost_sales_exposure,calculated_additional_safety_stock,contingency_reorder_point,contingency_order_quantity,contingency_order_coverage_days,inventory_buffer_days,contingency_action,contingency_recommendation,decision_urgency,contingency_confidence,executive_contingency_decision,contingency_inventory_cost,contingency_impact_score,contingency_policy_change,severity_rank
P01507,Low,Supplier,1.2,0.325,0.2438,655.0,4414.8,11860.8,189772.8,20.0,29.1333,0.963,0.0392,1339.0,23841.9221,3100.42,-3100.4221,373.0,373.0,-0.031,4.8133,Severe,Review safety-stock buffer,Combined Stress,0.0286,0.1276,Low,Increase order quantity,23841.92,20741.5,966.0,0.994,524.0,9884.0,24.32,0.3861,0.1495,0.046875,0.03584762522388037,0.25,0.4153,Moderate exposure,3100.4221,0.1,576.4000000000001,221,10872.4,988.0,P3 - Planned,Scenario-sensitive,"Combined Stress creates moderate exposure for this product. lost sales increase by 373 units, while modeled cost increases by ₹3,100. Fill rate changes by -3.10%. The product is classified as 'Scenario-sensitive'. Recommended action: Review safety-stock buffer. Stress-adjusted safety stock requires approximately 52 additional units.",Medium,0.2526209063299917,0.3473,4,Personal Care,Seasonal,0.9,524.0,2830.0,9884.0,45.0,0.994,0.0082,966.0,24.32,20741.5,0.1875,0.25,Moderate,Combined stress,0.35000000000000003,373.0,221,3051,13344,60.75,15.75,Monitor supplier exposure and maintain contingency buffer,PLANNED: Monitor supplier exposure and maintain contingency buffer. Contingency buffer requirement is approximately 221 units.,Planned,Low,PLANNED CONTINGENCY DECISION: Monitor supplier exposure and maintain contingency buffer. Monitor the product as Combined Stress conditions develop.,463.76684540671795,0.4124,0,3
P00264,Low,Demand Volatility,1.2,0.0,0.0,488.75,3290.04,8834.4,141350.4,20.0,30.2714,0.9604,0.042,1422.0,21757.9969,2829.43,-2829.4269,396.0,396.0,-0.031,5.0014,Severe,Review safety-stock buffer,Combined Stress,0.1239,0.1404,Medium,Immediate intervention,21758.0,18928.57,1026.0,0.9914,391.0,7362.0,25.27,0.386,0.1495,0.0,0.0,0.25,0.4124,Moderate exposure,2829.4268999999986,0.1,430.1,177,8098.200000000001,736.0,P3 - Planned,Scenario-sensitive,"Combined Stress creates moderate exposure for this product. lost sales increase by 396 units, while modeled cost increases by ₹2,829. Fill rate changes by -3.10%. The product is classified as 'Scenario-sensitive'. Recommended action: Review safety-stock buffer. Stress-adjusted safety stock requires approximately 39 additional units.",Medium,0.2519099294804101,0.3417,4,Personal Care,Seasonal,0.9,391.0,2109.0,7362.0,45.0,0.9914,0.011,1026.0,25.27,18928.57,0.0,0.0,Moderate,Combined stress,0.35000000000000003,396.0,177,2286,9939,60.75,15.75,Monitor demand volatility and maintain inventory buffer,PLANNED: Monitor demand volatility and maintain inventory buffer. Contingency buffer requirement is approximately 177 units.,Planned,Low,PLANNED CONTINGENCY DECISION: Monitor demand volatility and maintain inventory buffer. Monitor the product as Combined Stress conditions develop.,455.0878687856561,0.4111,0,3
P00339,Low,Demand Volatility,1.2,0.325,0.0812,850.0,5723.64,15372.0,245952.0,20.0,29.5646,0.9648,0.0365,1204.0,26602.1435,3459.36,-3459.3635,335.0,335.0,-0.031,4.8846,Severe,Review safety-stock buffer,Combined Stress,0.3086,0.224,Medium,Immediate intervention,26602.14,23142.78,869.0,0.9958,680.0,12810.0,24.68,0.3855,0.1495,0.015625,0.011949208407960122,0.25,0.4105,Moderate exposure,3459.3634999999995,0.1,748.0000000000001,272,14091.000000000002,1281.0,P3 - Planned,Scenario-sensitive,"Combined Stress creates moderate exposure for this product. lost sales increase by 335 units, while modeled cost increases by ₹3,459. Fill rate changes by -3.10%. The product is classified as 'Scenario-sensitive'. Recommended action: Review safety-stock buffer. Stress-adjusted safety stock requires approximately 68 additional units.",Medium,0.2515548550666877,0.3417,4,Personal Care,Seasonal,0.9,680.0,3669.0,12810.0,45.0,0.9958,0.0055,869.0,24.68,23142.78,0.0625,0.25,Moderate,Combined stress,0.35000000000000003,335.0,272,3941,17294,60.75,15.75,Monitor demand volatility and maintain inventory buffer,PLANNED: Monitor demand volatility and maintain inventory buffer. Contingency buffer requirement is approximately 272 units.,Planned,Low,PLANNED CONTINGENCY DECISION: Monitor demand volatility and maintain inventory buffer. Monitor the product as Combined Stress conditions develop.,491.40016861826695,0.4107,0,3
P00696,Low,Demand Volatility,1.2,0.247,0.0812,701.25,4734.6,12723.6,203577.6,20.0,29.5286,0.9636,0.0365,1293.0,24533.9546,3190.41,-3190.4146,360.0,360.0,-0.031,4.8786,Severe,Review safety-stock buffer,Combined Stress,0.1066,0.1395,Medium,Immediate intervention,24533.95,21343.54,933.0,0.9946,561.0,10603.0,24.65,0.3859,0.1495,0.011875,0.009081398390049693,0.25,0.4113,Moderate exposure,3190.4146,0.1,617.1,233,11663.3,1060.0,P3 - Planned,Scenario-sensitive,"Combined Stress creates moderate exposure for this product. lost sales increase by 360 units, while modeled cost increases by ₹3,190. Fill rate changes by -3.10%. The product is classified as 'Scenario-sensitive'. Recommended action: Review safety-stock buffer. Stress-adjusted safety stock requires approximately 56 additional units.",Medium,0.2514283785379279,0.3419,4,Personal Care,Seasonal,0.9,561.0,3035.0,10603.0,45.0,0.9946,0.0055,933.0,24.65,21343.54,0.0625,0.19,Moderate,Combined stress,0.35000000000000003,360.0,233,3268,14315,60.75,15.75,Monitor demand volatility and maintain inventory buffer,PLANNED: Monitor demand volatility and maintain inventory buffer. Contingency buffer requirement is approximately 233 units.,Planned,Low,PLANNED CONTINGENCY DECISION: Monitor demand volatility and maintain inventory buffer. Monitor the product as Combined Stress conditions develop.,469.0224295010846,0.4106,0,3
P00179,Low,Supplier,1.2,0.104,0.0542,498.75,2865.72,6090.0,146160.0,29.0,20.9995,0.9603,0.0406,1495.0,19909.6344,2589.06,-2589.0644,416.0,416.0,-0.031,3.4695,Severe,Review safety-stock buffer,Combined Stress,0.0307,0.1019,Medium,Maintain policy,19909.63,17320.57,1079.0,0.9913,399.0,5075.0,17.53,0.3855,0.1495,0.003336,0.0025512037919331178,0.25,0.4132,Moderate exposure,2589.0643999999998,0.1,438.9,182,5582.5,508.0,P3 - Planned,Scenario-sensitive,"Combined Stress creates moderate exposure for this product. lost sales increase by 416 units, while modeled cost increases by ₹2,589. Fill rate changes by -3.10%. The product is classified as 'Scenario-sensitive'. Recommended action: Review safety-stock buffer. Stress-adjusted safety stock requires approximately 40 additional units.",Medium,0.2511727131272104,0.3422,4,Accessories,Trending,0.9,399.0,1837.0,5075.0,30.0,0.9913,0.0096,1079.0,17.53,17320.57,0.0417,0.08,Moderate,Combined stress,0.35000000000000003,416.0,182,2019,6852,40.5,10.5,Monitor supplier exposure and maintain contingency buffer,PLANNED: Monitor supplier exposure and maintain contingency buffer. Contingency buffer requirement is approximately 182 units.,Planned,Low,PLANNED CONTINGENCY DECISION: Monitor supplier exposure and maintain contingency buffer. Monitor the product as Combined Stress conditions develop.,621.1514758620689,0.4104,0,3
P01612,Low,Demand Volatility,1.0,0.0,0.0,1549.05,8147.1,26050.0,416800.0,16.0,32.7583,0.9722,0.0292,3169.0,64143.636,6389.1,-6389.096,301.0,301.0,-0.021,7.9883,High,Review safety-stock buffer,Supplier Disruption,0.025,0.1267,Low,Increase order quantity,64143.64,57754.54,2868.0,0.9932,1347.0,26050.0,24.77,0.105,0.1106,0.0,0.0,0.25,0.366,Moderate exposure,6389.095999999998,0.1,1481.7,367,28655.000000000004,2605.0,P3 - Planned,Scenario-sensitive,"Supplier Disruption creates moderate exposure for this product. lost sales increase by 301 units, while modeled cost increases by ₹6,389. Fill rate changes by -2.10%. The product is classified as 'Scenario-sensitive'. Recommended action: Review safety-stock buffer. Stress-adjusted safety stock requires approximately 135 additional units.",Medium,0.3164312758845909,0.3316,3,Office Supplies,Trending,0.9,1347.0,6267.0,26050.0,45.0,0.9932,0.0082,2868.0,24.77,57754.54,0.0,0.0,Moderate,Supplier stress,0.25,301.0,367,6634,32563,56.25,11.25,Monitor demand volatility and maintain inventory buffer,PLANNED: Monitor demand volatility and maintain inventory buffer. Contingency buffer requirement is approximately 367 units.,Planned,Low,PLANNED CONTINGENCY DECISION: Monitor demand volatility and maintain inventory buffer. Monitor the product as Supplier Disruption conditions develop.,813.6628092130519,0.4101,0,3
P00549,Low,Demand Volatility,1.2,0.325,0.1625,927.5,6250.92,11196.0,268704.0,29.0,21.0234,0.9649,0.0365,1303.0,24040.5291,3126.25,-3126.2491,363.0,363.0,-0.031,3.4734,Severe,Review safety-stock buffer,Combined Stress,0.0716,0.1195,Medium,Maintain policy,24040.53,20914.28,940.0,0.9959,742.0,9330.0,17.55,0.3862,0.1495,0.03125,0.023898416815920243,0.25,0.4124,Moderate exposure,3126.249100000001,0.1,816.2,297,10263.0,933.0,P3 - Planned,Scenario-sensitive,"Combined Stress creates moderate exposure for this product. lost sales increase by 363 units, while modeled cost increases by ₹3,126. Fill rate changes by -3.10%. The product is classified as 'Scenario-sensitive'. Recommended action: Review safety-stock buffer. Stress-adjusted safety stock requires approximately 74 additional units.",Medium,0.25060838079822,0.3438,4,Personal Care,Seasonal,0.9,742.0,4007.0,9330.0,30.0,0.9959,0.0055,940.0,17.55,20914.28,0.125,0.25,Moderate,Combined stress,0.35000000000000003,363.0,297,4304,12596,40.5,10.5,Monitor demand volatility and maintain inventory buffer,PLANNED: Monitor demand volatility and maintain inventory buffer. Contingency buffer requirement is approximately 297 units.,Planned,Low,PLANNED CONTINGENCY DECISION: Monitor demand volatility and maintain inventory buffer. Monitor the product as Combined Stress conditions develop.,665.7600385852089,0.41,0,3
P01293,Low,Demand Volatility,1.2,0.078,0.027,993.75,5770.44,6151.2,295257.6,58.0,12.8417,0.9649,0.0406,1410.0,21494.2489,2795.13,-2795.1289,393.0,393.0,-0.031,2.1217,Severe,Review safety-stock buffer,Combined Stress,0.0251,0.1232,Low,Reduce order quantity,21494.25,18699.12,1017.0,0.9959,795.0,5126.0,10.72,0.3864,0.1495,0.001248,0.0009544071739605908,0.25,0.4114,Moderate exposure,2795.1289,0.1,874.5000000000001,318,5638.6,513.0,P3 - Planned,Scenario-sensitive,"Combined Stress creates moderate exposure for this product. lost sales increase by 393 units, while modeled cost increases by ₹2,795. Fill rate changes by -3.10%. The product is classified as 'Scenario-sensitive'. Recommended action: Review safety-stock buffer. Stress-adjusted safety stock requires approximately 80 additional units.",Medium,0.2502450920495322,0.3407,4,Personal Care,Trending,0.9,795.0,3699.0,5126.0,15.0,0.9959,0.0096,1017.0,10.72,18699.12,0.0208,0.06,Moderate,Combined stress,0.35000000000000003,393.0,318,4017,6921,20.25,5.25,Monitor demand volatility and maintain inventory buffer,PLANNED: Monitor demand volatility and maintain inventory buffer. Contingency buffer requirement is approximately 318 units.,Planned,Low,PLANNED CONTINGENCY DECISION: Monitor demand volatility and maintain inventory buffer. Monitor the product as Combined Stress conditions develop.,1160.0312446351932,0.4093,0,3
P00637,Low,Supplier,1.2,0.0,0.0,548.75,3790.8,9558.0,229392.0,29.0,20.1729,0.9639,0.0392,1371.0,22338.6448,2904.93,-2904.9348,382.0,382.0,-0.031,3.3329,Severe,Review safety-stock buffer,Combined Stress,0.025,0.1231,Low,Maintain policy,22338.64,19433.71,989.0,0.9949,439.0,7965.0,16.84,0.3862,0.1495,0.0,0.0,0.25,0.4106,Moderate exposure,2904.934799999999,0.1,482.9,192,8761.5,796.0,P3 - Planned,Scenario-sensitive,"Combined Stress creates moderate exposure for this product. lost sales increase by 382 units, while modeled cost increases by ₹2,905. Fill rate changes by -3.10%. The product is classified as 'Scenario-sensitive'. Recommended action: Review safety-stock buffer. Stress-adjusted safety stock requires approximately 44 additional units.",Medium,0.2500854369696769,0.3402,4,Personal Care,Stable,0.9,439.0,2430.0,7965.0,30.0,0.9949,0.0082,989.0,16.84,19433.71,0.0,0.0,Moderate,Combined stress,0.35000000000000003,382.0,192,2622,10753,40.5,10.5,Monitor supplier exposure and maintain contingency buffer,PLANNED: Monitor supplier exposure and maintain contingency buffer. Contingency buffer requirement is approximately 192 units.,Planned,Low,PLANNED CONTINGENCY DECISION: Monitor supplier exposure and maintain contingency buffer. Monitor the product as Combined Stress conditions develop.,468.45854613935967,0.4091,0,3
P00325,Medium,Supplier,1.2,0.0,0.0,1507.5,8311.68,14838.0,237408.0,20.0,31.3495,0.965,0.0351,1114.0,26234.9768,3411.62,-3411.6168,310.0,310.0,-0.031,5.1795,Severe,Review safety-stock buffer,Combined Stress,0.05,0.2044,Low,Increase order quantity,26234.98,22823.36,804.0,0.996,1206.0,12365.0,26.17,0.3856,0.1495,0.0,0.0,0.5,0.4409,Moderate exposure,3411.6168,0.1,1326.6,514,13601.500000000002,1237.0,P3 - Planned,Scenario-sensitive,"Combined Stress creates moderate exposure for this product. lost sales increase by 310 units, while modeled cost increases by ₹3,412. Fill rate changes by -3.10%. The product is classified as 'Scenario-sensitive'. Recommended action: Review safety-stock buffer. Stress-adjusted safety stock requires approximately 121 additional units.",Medium,0.3186891683547571,0.4022,4,Accessories,Volatile,0.95,1206.0,5328.0,12365.0,45.0,0.996,0.0041,804.0,26.17,22823.36,0.0,0.0,Moderate,Combined stress,0.4,310.0,514,5842,17311,63.0,18.0,Monitor supplier exposure and maintain contingency buffer,PLANNED: Monitor supplier exposure and maintain contingency buffer. Contingency buffer requirement is approximately 514 units.,Planned,Low,PLANNED CONTINGENCY DECISION: Monitor supplier exposure and maintain contingency buffer. Monitor the product as Combined Stress conditions develop.,948.742987464618,0.4089,0,3
P01917,Low,Demand Volatility,1.2,0.117,0.0554,520.0,2995.2,3183.6,149629.2,57.0,13.1771,0.9605,0.0406,1523.0,18456.8306,2400.14,-2400.1406,424.0,424.0,-0.031,2.1771,Severe,Review safety-stock buffer,Combined Stress,0.0253,0.1376,Low,Reduce order quantity,18456.83,16056.69,1099.0,0.9915,416.0,2653.0,11.0,0.3858,0.1495,0.0038339999999999,0.0029320489623116223,0.25,0.412,Moderate exposure,2400.1406000000006,0.1,457.6,189,2918.3,265.0,P3 - Planned,Scenario-sensitive,"Combined Stress creates moderate exposure for this product. lost sales increase by 424 units, while modeled cost increases by ₹2,400. Fill rate changes by -3.10%. The product is classified as 'Scenario-sensitive'. Recommended action: Review safety-stock buffer. Stress-adjusted safety stock requires approximately 42 additional units.",Medium,0.248536451098316,0.3408,4,Accessories,Trending,0.9,416.0,1920.0,2653.0,15.0,0.9915,0.0096,1099.0,11.0,16056.69,0.0426,0.09,Moderate,Combined stress,0.35000000000000003,424.0,189,2109,3582,20.25,5.25,Monitor demand volatility and maintain inventory buffer,PLANNED: Monitor demand volatility and maintain inventory buffer. Contingency buffer requirement is approximately 189 units.,Planned,Low,PLANNED CONTINGENCY DECISION: Monitor demand volatility and maintain inventory buffer. Monitor the product as Combined Stress conditions develop.,1143.880290237467,0.4076,0,3
P00428,Low,Supplier,1.2,0.273,0.2167,450.0,3102.84,7818.0,187632.0,29.0,19.3943,0.9626,0.0433,1416.0,20522.2493,2668.73,-2668.7293,394.0,394.0,-0.031,3.2043,Severe,Review safety-stock buffer,Combined Stress,0.0277,0.1436,Low,Maintain policy,20522.25,17853.52,1022.0,0.9936,360.0,6515.0,16.19,0.3855,0.1495,0.0350069999999999,0.026771580079197436,0.25,0.4122,Moderate exposure,2668.729299999999,0.1,396.00000000000006,166,7166.500000000001,652.0,P3 - Planned,Scenario-sensitive,"Combined Stress creates moderate exposure for this product. lost sales increase by 394 units, while modeled cost increases by ₹2,669. Fill rate changes by -3.10%. The product is classified as 'Scenario-sensitive'. Recommended action: Review safety-stock buffer. Stress-adjusted safety stock requires approximately 36 additional units.",Medium,0.2473216883815422,0.343,4,Accessories,Stable,0.9,360.0,1989.0,6515.0,30.0,0.9936,0.0123,1022.0,16.19,17853.52,0.1667,0.21,Moderate,Combined stress,0.35000000000000003,394.0,166,2155,8796,40.5,10.5,Monitor supplier exposure and maintain contingency buffer,PLANNED: Monitor supplier exposure and maintain contingency buffer. Contingency buffer requirement is approximately 166 units.,Planned,Low,PLANNED CONTINGENCY DECISION: Monitor supplier exposure and maintain contingency buffer. Monitor the product as Combined Stress conditions develop.,454.90166078280896,0.4066,0,3
P01756,Low,Demand Volatility,1.2,0.494,0.2438,570.0,3282.24,10472.4,167558.4,20.0,28.8698,0.9622,0.0392,1331.0,22236.9044,2891.7,-2891.7044,371.0,371.0,-0.031,4.7698,Severe,Review safety-stock buffer,Combined Stress,0.0304,0.133,Low,Increase order quantity,22236.9,19345.2,960.0,0.9932,456.0,8727.0,24.1,0.3865,0.1495,0.07125,0.05448839034029816,0.25,0.4136,Moderate exposure,2891.7043999999987,0.1,501.6,197,9599.7,873.0,P3 - Planned,Scenario-sensitive,"Combined Stress creates moderate exposure for this product. lost sales increase by 371 units, while modeled cost increases by ₹2,892. Fill rate changes by -3.10%. The product is classified as 'Scenario-sensitive'. Recommended action: Review safety-stock buffer. Stress-adjusted safety stock requires approximately 46 additional units.",Medium,0.2468208249717888,0.3465,4,Accessories,Trending,0.9,456.0,2104.0,8727.0,45.0,0.9932,0.0082,960.0,24.1,19345.2,0.1875,0.38,Moderate,Combined stress,0.35000000000000003,371.0,197,2301,11782,60.75,15.75,Monitor demand volatility and maintain inventory buffer,PLANNED: Monitor demand volatility and maintain inventory buffer. Contingency buffer requirement is approximately 197 units.,Planned,Low,PLANNED CONTINGENCY DECISION: Monitor demand volatility and maintain inventory buffer. Monitor the product as Combined Stress conditions develop.,436.6912341010657,0.4065,0,3
P00074,Low,Demand Volatility,1.2,0.273,0.1083,910.0,5247.84,11164.8,267955.2,29.0,21.3229,0.965,0.0365,1267.0,23886.4645,3106.21,-3106.2145,353.0,353.0,-0.031,3.5229,Severe,Review safety-stock buffer,Combined Stress,0.2202,0.1803,Medium,Immediate intervention,23886.46,20780.25,914.0,0.996,728.0,9304.0,17.8,0.3862,0.1495,0.0174929999999999,0.013377760171548568,0.25,0.409,Moderate exposure,3106.214499999998,0.1,800.8000000000001,291,10234.4,930.0,P3 - Planned,Scenario-sensitive,"Combined Stress creates moderate exposure for this product. lost sales increase by 353 units, while modeled cost increases by ₹3,106. Fill rate changes by -3.10%. The product is classified as 'Scenario-sensitive'. Recommended action: Review safety-stock buffer. Stress-adjusted safety stock requires approximately 73 additional units.",Medium,0.2474384871385702,0.3398,4,Accessories,Trending,0.9,728.0,3364.0,9304.0,30.0,0.996,0.0055,914.0,17.8,20780.25,0.0833,0.21,Moderate,Combined stress,0.35000000000000003,353.0,291,3655,12561,40.5,10.5,Monitor demand volatility and maintain inventory buffer,PLANNED: Monitor demand volatility and maintain inventory buffer. Contingency buffer requirement is approximately 291 units.,Planned,Low,PLANNED CONTINGENCY DECISION: Monitor demand volatility and maintain inventory buffer. Monitor the product as Combined Stress conditions develop.,649.9411812123818,0.4064,0,3
P01231,Low,Demand Volatility,1.2,0.0,0.0,652.5,3748.68,11950.8,191212.8,20.0,30.5469,0.9633,0.0378,1268.0,23949.6743,3114.43,-3114.4343,353.0,353.0,-0.031,5.0469,Severe,Review safety-stock buffer,Combined Stress,0.025,0.1507,Low,Increase order quantity,23949.67,20835.24,915.0,0.9943,522.0,9959.0,25.5,0.3858,0.1495,0.0,0.0,0.25,0.4078,Moderate exposure,3114.434299999997,0.1,574.2,219,10954.9,996.0,P3 - Planned,Scenario-sensitive,"Combined Stress creates moderate exposure for this product. lost sales increase by 353 units, while modeled cost increases by ₹3,114. Fill rate changes by -3.10%. The product is classified as 'Scenario-sensitive'. Recommended action: Review safety-stock buffer. Stress-adjusted safety stock requires approximately 52 additional units.",Medium,0.2476459228699344,0.3378,4,Accessories,Trending,0.9,522.0,2403.0,9959.0,45.0,0.9943,0.0068,915.0,25.5,20835.24,0.0,0.0,Moderate,Combined stress,0.35000000000000003,353.0,219,2622,13445,60.75,15.75,Monitor demand volatility and maintain inventory buffer,PLANNED: Monitor demand volatility and maintain inventory buffer. Contingency buffer requirement is approximately 219 units.,Planned,Low,PLANNED CONTINGENCY DECISION: Monitor demand volatility and maintain inventory buffer. Monitor the product as Combined Stress conditions develop.,458.17025404157044,0.4064,0,3
P01005,Low,Demand Volatility,1.2,0.078,0.0812,722.5,4165.2,13292.4,212678.4,20.0,29.4807,0.964,0.0365,1236.0,24641.178,3204.36,-3204.358,344.0,344.0,-0.031,4.8707,Severe,Review safety-stock buffer,Combined Stress,0.0253,0.111,Low,Increase order quantity,24641.18,21436.82,892.0,0.995,578.0,11077.0,24.61,0.3857,0.1495,0.00375,0.002867810017910429,0.25,0.4076,Moderate exposure,3204.358,0.1,635.8000000000001,237,12184.7,1108.0,P3 - Planned,Scenario-sensitive,"Combined Stress creates moderate exposure for this product. lost sales increase by 344 units, while modeled cost increases by ₹3,204. Fill rate changes by -3.10%. The product is classified as 'Scenario-sensitive'. Recommended action: Review safety-stock buffer. Stress-adjusted safety stock requires approximately 58 additional units.",Medium,0.2475173781944528,0.3379,4,Accessories,Trending,0.9,578.0,2670.0,11077.0,45.0,0.995,0.0055,892.0,24.61,21436.82,0.0625,0.06,Moderate,Combined stress,0.35000000000000003,344.0,237,2907,14954,60.75,15.75,Monitor demand volatility and maintain inventory buffer,PLANNED: Monitor demand volatility and maintain inventory buffer. Contingency buffer requirement is approximately 237 units.,Planned,Low,PLANNED CONTINGENCY DECISION: Monitor demand volatility and maintain inventory buffer. Monitor the product as Combined Stress conditions develop.,458.6554428094249,0.4063,0,3
P00652,Low,Supplier,1.2,0.156,0.1083,572.5,3853.2,6898.8,165571.2,29.0,20.6521,0.9617,0.042,1422.0,20078.125,2610.97,-2610.975,396.0,396.0,-0.031,3.4121,Severe,Review safety-stock buffer,Combined Stress,0.0764,0.1191,Medium,Maintain policy,20078.12,17467.15,1026.0,0.9927,458.0,5749.0,17.24,0.386,0.1495,0.009996,0.007644434383742039,0.25,0.4099,Moderate exposure,2610.9749999999985,0.1,503.80000000000007,200,6323.900000000001,575.0,P3 - Planned,Scenario-sensitive,"Combined Stress creates moderate exposure for this product. lost sales increase by 396 units, while modeled cost increases by ₹2,611. Fill rate changes by -3.10%. The product is classified as 'Scenario-sensitive'. Recommended action: Review safety-stock buffer. Stress-adjusted safety stock requires approximately 46 additional units.",Medium,0.2463970545145469,0.3394,4,Personal Care,Seasonal,0.9,458.0,2470.0,5749.0,30.0,0.9927,0.011,1026.0,17.24,17467.15,0.0833,0.12,Moderate,Combined stress,0.35000000000000003,396.0,200,2670,7762,40.5,10.5,Monitor supplier exposure and maintain contingency buffer,PLANNED: Monitor supplier exposure and maintain contingency buffer. Contingency buffer requirement is approximately 200 units.,Planned,Low,PLANNED CONTINGENCY DECISION: Monitor supplier exposure and maintain contingency buffer. Monitor the product as Combined Stress conditions develop.,607.6587232562185,0.4053,0,3
P01026,Low,Demand Volatility,1.2,0.403,0.1625,492.5,3311.88,2964.0,142272.0,58.0,11.8594,0.9599,0.042,1519.0,17724.7963,2304.95,-2304.9463,423.0,423.0,-0.031,1.9594,Severe,Review safety-stock buffer,Combined Stress,0.028,0.1287,Low,Reduce order quantity,17724.8,15419.85,1096.0,0.9909,394.0,2470.0,9.9,0.3859,0.1495,0.03875,0.0296340368517411,0.25,0.413,Moderate exposure,2304.946300000001,0.1,433.4,181,2717.0,247.0,P3 - Planned,Scenario-sensitive,"Combined Stress creates moderate exposure for this product. lost sales increase by 423 units, while modeled cost increases by ₹2,305. Fill rate changes by -3.10%. The product is classified as 'Scenario-sensitive'. Recommended action: Review safety-stock buffer. Stress-adjusted safety stock requires approximately 39 additional units.",Medium,0.2458676879602586,0.3434,4,Personal Care,Seasonal,0.9,394.0,2123.0,2470.0,15.0,0.9909,0.011,1096.0,9.9,15419.85,0.125,0.31,Moderate,Combined stress,0.35000000000000003,423.0,181,2304,3335,20.25,5.25,Monitor demand volatility and maintain inventory buffer,PLANNED: Monitor demand volatility and maintain inventory buffer. Contingency buffer requirement is approximately 181 units.,Planned,Low,PLANNED CONTINGENCY DECISION: Monitor demand volatility and maintain inventory buffer. Monitor the product as Combined Stress conditions develop.,1129.9566194331983,0.4052,0,3
P00201,Low,Supplier,1.2,0.377,0.1083,468.75,3162.12,5662.8,135907.2,29.0,20.724,0.9598,0.0447,1461.0,19060.4107,2478.63,-2478.6307,407.0,407.0,-0.031,3.424,Severe,Review safety-stock buffer,Combined Stress,0.0268,0.1338,Low,Maintain policy,19060.41,16581.78,1054.0,0.9908,375.0,4719.0,17.3,0.3861,0.1495,0.0241569999999999,0.01847404976070993,0.25,0.4112,Moderate exposure,2478.630700000001,0.1,412.50000000000006,172,5190.900000000001,472.0,P3 - Planned,Scenario-sensitive,"Combined Stress creates moderate exposure for this product. lost sales increase by 407 units, while modeled cost increases by ₹2,479. Fill rate changes by -3.10%. The product is classified as 'Scenario-sensitive'. Recommended action: Review safety-stock buffer. Stress-adjusted safety stock requires approximately 38 additional units.",Medium,0.2459879281778496,0.3412,4,Personal Care,Seasonal,0.9,375.0,2027.0,4719.0,30.0,0.9908,0.0137,1054.0,17.3,16581.78,0.0833,0.29,Moderate,Combined stress,0.35000000000000003,407.0,172,2199,6371,40.5,10.5,Monitor supplier exposure and maintain contingency buffer,PLANNED: Monitor supplier exposure and maintain contingency buffer. Contingency buffer requirement is approximately 172 units.,Planned,Low,PLANNED CONTINGENCY DECISION: Monitor supplier exposure and maintain contingency buffer. Monitor the product as Combined Stress conditions develop.,604.3793515575334,0.4051,0,3
