product_id,category,demand_class,risk_class,primary_risk_driver,scenario_demand_multiplier,scenario_supplier_delay,scenario_supplier_delay_rate,scenario_safety_stock,scenario_reorder_point,scenario_order_quantity,scenario_purchase_quantity,scenario_purchase_orders,scenario_inventory_days,scenario_fill_rate,scenario_stockout_rate,scenario_lost_sales,scenario_total_cost,cost_change_vs_optimized,cost_savings_vs_optimized,lost_sales_change_vs_optimized,lost_sales_increase_vs_optimized,fill_rate_change_vs_optimized,inventory_days_change_vs_optimized,scenario_severity,scenario_recommendation,scenario,scenario_opportunity_score,opportunity_class
P00649,Office Supplies,Trending,Low,Demand Volatility,1.2,0.325,0.1625,1503.75,8689.2,27742.8,443884.8,20.0,28.9896,0.962,0.0392,3653.0,59346.4369,7717.4569,-7717.4569,1017.0,1017.0,-0.031,4.7896,Severe,Immediate contingency planning,Combined Stress,0.4974529316965505,Moderate exposure
P00748,Personal Care,Trending,Low,Demand Volatility,1.2,0.273,0.1083,998.75,5796.96,12356.4,296553.6,29.0,19.9812,0.957,0.0474,4169.0,48429.3965,6297.7965,-6297.7965,1161.0,1161.0,-0.031,3.3012,Severe,Immediate contingency planning,Combined Stress,0.49697606594278904,Moderate exposure
P01751,Personal Care,Trending,Low,Demand Volatility,1.2,0.403,0.2438,1012.5,5871.84,18769.2,300307.2,20.0,28.8339,0.9577,0.0433,3958.0,52518.7261,6829.5761,-6829.5761,1102.0,1102.0,-0.031,4.7639,Severe,Immediate contingency planning,Combined Stress,0.4959742509584279,Moderate exposure
P01408,Accessories,Volatile,Low,Supplier,1.2,0.65,0.1625,1086.25,7335.12,13797.6,220761.6,20.0,30.1635,0.9532,0.0488,4090.0,49171.6152,6394.3152,-6394.3152,1139.0,1139.0,-0.031,4.9835,Severe,Immediate contingency planning,Combined Stress,0.4941601554060885,Moderate exposure
P01529,Accessories,Volatile,Low,Supplier,1.2,0.572,0.1625,1075.0,7230.6,13588.8,217420.8,20.0,30.1635,0.953,0.0488,4069.0,48774.3322,6342.6522,-6342.6522,1133.0,1133.0,-0.031,4.9835,Severe,Immediate contingency planning,Combined Stress,0.4915206435645643,Moderate exposure
P00316,Office Supplies,Trending,Low,Supplier,1.2,0.247,0.1625,1328.75,7697.04,24590.4,393446.4,20.0,29.6604,0.9614,0.0392,3497.0,55379.4464,7201.5864,-7201.5864,974.0,974.0,-0.031,4.9004,Severe,Immediate contingency planning,Combined Stress,0.4750418253522299,Moderate exposure
P00419,Office Supplies,Trending,Low,Supplier,1.2,0.273,0.1355,1748.75,10143.12,10806.0,518688.0,58.0,11.9672,0.9627,0.0406,3836.0,46978.6618,6109.1418,-6109.1418,1068.0,1068.0,-0.031,1.9772,Severe,Immediate contingency planning,Combined Stress,0.47075349971500535,Moderate exposure
P01385,Office Supplies,Trending,Low,Demand Volatility,1.2,0.104,0.1083,1498.75,8704.8,18554.4,445305.6,29.0,21.275,0.9622,0.0392,3547.0,51149.9608,6651.5808,-6651.5808,988.0,988.0,-0.031,3.515,Severe,Immediate contingency planning,Combined Stress,0.4651085805905984,Moderate exposure
P01595,Office Supplies,Trending,Low,Demand Volatility,1.2,0.21,0.0833,1460.8,7402.8,20502.0,492048.0,29.0,15.3817,0.978,0.0251,6297.0,73117.9148,3426.4948,-3426.4948,1299.0,1299.0,-0.01,-1.3983,Severe,Immediate contingency planning,Demand Surge,0.4602626240507297,Moderate exposure
P01987,Office Supplies,Trending,Low,Demand Volatility,1.2,0.078,0.0812,1581.25,9172.8,29319.6,469113.6,20.0,29.2292,0.9633,0.0392,3146.0,57006.4652,7413.1652,-7413.1652,876.0,876.0,-0.031,4.8292,Severe,Immediate contingency planning,Combined Stress,0.45725776527361567,Moderate exposure
P00433,Personal Care,Seasonal,Low,Supplier,1.2,0.364,0.166,623.75,4207.32,3766.8,177039.6,57.0,12.4344,0.9502,0.0529,3985.0,39391.9499,5122.5599,-5122.5599,1110.0,1110.0,-0.031,2.0544,Severe,Immediate contingency planning,Combined Stress,0.45687505863302974,Moderate exposure
P00325,Accessories,Volatile,Medium,Supplier,1.2,0.871,0.2708,1507.5,8311.68,9891.6,237398.4,29.0,21.8141,0.9584,0.0433,2944.0,36604.8767,4760.1267,-4760.1267,820.0,820.0,-0.031,3.6041,Severe,Immediate contingency planning,Combined Stress,0.4555256540444862,Moderate exposure
P01061,Accessories,Trending,Low,Demand Volatility,1.2,0.117,0.0554,765.0,4405.44,4683.6,220129.2,57.0,11.6677,0.9541,0.0529,3933.0,39800.2908,5175.6608,-5175.6608,1095.0,1095.0,-0.031,1.9277,Severe,Immediate contingency planning,Combined Stress,0.4546501662412047,Moderate exposure
P01286,Personal Care,Trending,Low,Demand Volatility,1.2,0.0,0.0,1061.25,6160.44,13130.4,315129.6,29.0,20.6042,0.9592,0.042,3624.0,45170.2897,5873.9797,-5873.9797,1009.0,1009.0,-0.031,3.4042,Severe,Immediate contingency planning,Combined Stress,0.4513464068725682,Moderate exposure
P01612,Office Supplies,Trending,Low,Demand Volatility,1.2,0.156,0.0812,1683.75,9776.52,31260.0,500160.0,20.0,29.4448,0.9639,0.0392,2972.0,57821.6758,7519.1758,-7519.1758,828.0,828.0,-0.031,4.8648,Severe,Immediate contingency planning,Combined Stress,0.4486043251457495,Moderate exposure
P01600,Accessories,Volatile,Low,Demand Volatility,1.2,1.625,0.4875,1218.75,8210.28,15435.6,246969.6,20.0,30.6068,0.9569,0.0447,3508.0,46344.8735,6026.7235,-6026.7235,977.0,977.0,-0.031,5.0568,Severe,Immediate contingency planning,Combined Stress,0.4475469868199379,Moderate exposure
P00858,Personal Care,Seasonal,Low,Supplier,1.2,0.078,0.0812,798.75,5375.76,14437.2,230995.2,20.0,29.4208,0.956,0.0447,3526.0,44795.6514,5825.2614,-5825.2614,982.0,982.0,-0.031,4.8608,Severe,Immediate contingency planning,Combined Stress,0.4438786513985287,Moderate exposure
P01371,Accessories,Volatile,Medium,Supplier,1.2,0.897,0.2438,1445.0,7965.36,14220.0,227520.0,20.0,32.2719,0.9591,0.0406,2638.0,38643.386,5025.216,-5025.216,735.0,735.0,-0.031,5.3319,Severe,Immediate contingency planning,Combined Stress,0.4420584130715479,Moderate exposure
P01743,Office Supplies,Trending,Low,Demand Volatility,1.2,0.0,0.0,1733.75,10046.4,21402.0,513648.0,29.0,20.8797,0.9637,0.0365,3166.0,50765.8738,6601.6338,-6601.6338,882.0,882.0,-0.031,3.4497,Severe,Immediate contingency planning,Combined Stress,0.43918210048889145,Moderate exposure
P00720,Office Supplies,Trending,Low,Demand Volatility,1.2,0.221,0.1625,1508.75,8753.16,18652.8,447667.2,29.0,20.5443,0.9628,0.042,3270.0,48232.5482,6272.1982,-6272.1982,911.0,911.0,-0.031,3.3943,Severe,Immediate contingency planning,Combined Stress,0.4380413776483827,Moderate exposure
P00004,Personal Care,Seasonal,Low,Supplier,1.2,0.221,0.1083,855.0,5762.64,10321.2,247708.8,29.0,21.0953,0.9567,0.0461,3569.0,41893.0211,5447.8011,-5447.8011,994.0,994.0,-0.031,3.4853,Severe,Immediate contingency planning,Combined Stress,0.43761963321756536,Moderate exposure
P01574,Accessories,Trending,Low,Supplier,1.2,0.169,0.1106,768.75,4427.28,4707.6,221257.2,57.0,11.9312,0.955,0.0488,3714.0,38145.7075,4960.4975,-4960.4975,1034.0,1034.0,-0.031,1.9712,Severe,Immediate contingency planning,Combined Stress,0.4352564471156822,Moderate exposure
P01153,Office Supplies,Intermittent,High,Demand Volatility,1.2,1.82,0.468,2330.0,7043.4,5158.8,128970.0,30.0,31.649,0.9553,0.0392,1981.0,25848.5794,3361.3694,-3361.3694,552.0,552.0,-0.031,5.229,Severe,Immediate contingency planning,Combined Stress,0.43443845151712246,Moderate exposure
P00339,Personal Care,Seasonal,Low,Demand Volatility,1.2,0.0,0.0,850.0,5723.64,10248.0,245952.0,29.0,20.3286,0.9567,0.0474,3550.0,41236.4041,5362.4141,-5362.4141,989.0,989.0,-0.031,3.3586,Severe,Immediate contingency planning,Combined Stress,0.4344040850415133,Moderate exposure
P01025,Accessories,Trending,Low,Demand Volatility,1.2,0.494,0.1625,830.0,4776.72,15234.0,243744.0,20.0,29.1693,0.9573,0.0433,3329.0,43864.0101,5704.1101,-5704.1101,927.0,927.0,-0.031,4.8193,Severe,Immediate contingency planning,Combined Stress,0.42814074706430044,Moderate exposure
P01187,Office Supplies,Trending,Low,Demand Volatility,1.2,0.0,0.0,1526.8,7736.4,21426.0,514224.0,29.0,15.6933,0.9796,0.0237,5703.0,69500.2203,3256.9603,-3256.9603,1177.0,1177.0,-0.01,-1.4267,Severe,Immediate contingency planning,Demand Surge,0.4277337463443664,Moderate exposure
P00384,Accessories,Volatile,Low,Supplier,1.2,1.794,0.4875,955.0,6436.56,12103.2,193651.2,20.0,29.6604,0.9539,0.0488,3416.0,41550.2579,5403.2279,-5403.2279,951.0,951.0,-0.031,4.9004,Severe,Immediate contingency planning,Combined Stress,0.42651884910537924,Moderate exposure
P00187,Accessories,Trending,Low,Demand Volatility,1.2,0.156,0.1625,938.75,5411.64,11514.0,276336.0,29.0,21.1552,0.9586,0.0433,3362.0,41558.856,5404.346,-5404.346,936.0,936.0,-0.031,3.4952,Severe,Immediate contingency planning,Combined Stress,0.42304645918168077,Moderate exposure
P01927,Personal Care,Seasonal,Low,Demand Volatility,1.2,0.325,0.1083,816.25,5494.32,9836.4,236073.6,29.0,20.113,0.9567,0.0488,3401.0,39441.2855,5128.9755,-5128.9755,947.0,947.0,-0.031,3.323,Severe,Immediate contingency planning,Combined Stress,0.41900413860713814,Moderate exposure
P00613,Personal Care,Seasonal,Low,Demand Volatility,1.2,0.273,0.1083,810.0,5456.88,9770.4,234489.6,29.0,20.2328,0.9567,0.0447,3383.0,39284.6575,5108.6075,-5108.6075,942.0,942.0,-0.031,3.3428,Severe,Immediate contingency planning,Combined Stress,0.41734893427606706,Moderate exposure
P00898,Accessories,Trending,Low,Demand Volatility,1.2,0.0,0.0,901.25,5197.92,11060.4,265449.6,29.0,20.113,0.9584,0.0447,3295.0,39869.1331,5184.6131,-5184.6131,918.0,918.0,-0.031,3.323,Severe,Immediate contingency planning,Combined Stress,0.41357418173759136,Moderate exposure
P01027,Accessories,Trending,Low,Supplier,1.2,0.325,0.1083,943.75,5425.68,11533.2,276796.8,29.0,21.1552,0.9591,0.0392,3195.0,40191.8839,5226.5839,-5226.5839,890.0,890.0,-0.031,3.4952,Severe,Immediate contingency planning,Combined Stress,0.4080495267356969,Moderate exposure
P00229,Accessories,Volatile,Low,Supplier,1.2,0.702,0.1625,1053.75,7105.8,8908.8,213811.2,29.0,22.0896,0.9559,0.0433,3268.0,38286.1394,4978.7594,-4978.7594,910.0,910.0,-0.031,3.6496,Severe,Immediate contingency planning,Combined Stress,0.4067677960824859,Moderate exposure
P00250,Accessories,Trending,Low,Demand Volatility,1.2,0.25,0.125,775.5,3900.0,10779.6,258710.4,29.0,15.3725,0.97,0.0319,5496.0,56933.3439,2668.0439,-2668.0439,1134.0,1134.0,-0.01,-1.3975,Severe,Immediate contingency planning,Demand Surge,0.40356966440112707,Moderate exposure
P01782,Accessories,Trending,Low,Demand Volatility,1.2,0.078,0.0812,797.5,4591.08,14640.0,234240.0,20.0,29.1693,0.9578,0.0447,3067.0,41072.9942,5341.1642,-5341.1642,854.0,854.0,-0.031,4.8193,Severe,Immediate contingency planning,Combined Stress,0.40240112254148014,Moderate exposure
P01877,Personal Care,Seasonal,Low,Supplier,1.2,0.546,0.2167,762.5,5143.32,9212.4,221097.6,29.0,20.5323,0.9566,0.0461,3200.0,37313.0248,4852.2148,-4852.2148,891.0,891.0,-0.031,3.3923,Severe,Immediate contingency planning,Combined Stress,0.39929859559952746,Moderate exposure
P00338,Office Supplies,Trending,Low,Supplier,1.2,0.403,0.1625,1786.25,10349.04,33068.4,529094.4,20.0,28.9896,0.9652,0.0351,2345.0,53975.0702,7018.9602,-7018.9602,653.0,653.0,-0.031,4.7896,Severe,Immediate contingency planning,Combined Stress,0.3957757523211846,Moderate exposure
P00241,Accessories,Trending,Low,Demand Volatility,1.2,0.0,0.0,796.25,4580.16,9735.6,233654.4,29.0,21.3229,0.9576,0.0433,3119.0,37620.7404,4892.2304,-4892.2304,869.0,869.0,-0.031,3.5229,Severe,Immediate contingency planning,Combined Stress,0.39512670812827944,Moderate exposure
P00597,Office Supplies,Trending,Low,Supplier,1.2,0.156,0.0542,1621.25,9400.56,20026.8,480643.2,29.0,21.251,0.9642,0.0378,2701.0,45778.8929,5953.1229,-5953.1229,752.0,752.0,-0.031,3.511,Severe,Immediate contingency planning,Combined Stress,0.39329236345250324,Moderate exposure
P00616,Accessories,Volatile,Medium,Supplier,1.2,0.273,0.0542,1247.5,6879.6,8188.8,196531.2,29.0,22.8323,0.959,0.0433,2310.0,29817.1218,3877.4417,-3877.4417,643.0,643.0,-0.031,3.7723,Severe,Immediate contingency planning,Combined Stress,0.3930519123774213,Moderate exposure
P00012,Accessories,Trending,Low,Supplier,1.2,0.247,0.0812,946.25,5439.72,17343.6,277497.6,20.0,29.6005,0.9603,0.0406,2829.0,42168.2524,5483.5924,-5483.5924,788.0,788.0,-0.031,4.8905,Severe,Immediate contingency planning,Combined Stress,0.3904225751207696,Moderate exposure
P01432,Personal Care,Seasonal,Low,Demand Volatility,1.2,0.052,0.0277,761.25,5130.84,4593.6,215899.2,57.0,12.7219,0.9566,0.0474,3202.0,34136.9679,4439.1979,-4439.1979,892.0,892.0,-0.031,2.1019,Severe,Immediate contingency planning,Combined Stress,0.3896201839291749,Moderate exposure
P01440,Office Supplies,Trending,Low,Demand Volatility,1.2,0.117,0.0554,1006.25,5837.52,6220.8,292377.6,57.0,11.6677,0.96,0.042,3134.0,35081.6099,4562.0399,-4562.0399,873.0,873.0,-0.031,1.9277,Severe,Immediate contingency planning,Combined Stress,0.38813583166490223,Moderate exposure
P00531,Accessories,Trending,Low,Supplier,1.2,0.325,0.2167,620.0,3573.96,7600.8,182419.2,29.0,20.6042,0.9545,0.0474,3103.0,34775.7105,4522.2605,-4522.2605,864.0,864.0,-0.031,3.4042,Severe,Immediate contingency planning,Combined Stress,0.3850816612456672,Moderate exposure
P00273,Accessories,Volatile,Low,Supplier,1.2,0.377,0.1355,1073.75,7239.96,4538.4,217843.2,58.0,14.1714,0.9568,0.0447,3112.0,34045.0326,4427.2426,-4427.2426,867.0,867.0,-0.031,2.3414,Severe,Immediate contingency planning,Combined Stress,0.38350124002652175,Moderate exposure
P01192,Personal Care,Seasonal,Low,Supplier,1.2,0.299,0.1355,887.5,5976.36,5349.6,256780.8,58.0,12.8057,0.9587,0.0447,3095.0,34351.909,4467.149,-4467.149,862.0,862.0,-0.031,2.1157,Severe,Immediate contingency planning,Combined Stress,0.3832925173246655,Moderate exposure
P01595,Office Supplies,Trending,Low,Demand Volatility,1.0,0.273,0.1083,1527.2,8019.7,17085.0,410040.0,24.0,22.1916,0.967,0.0361,5523.0,77401.0333,7709.6133,-7709.6133,525.0,525.0,-0.021,5.4115,High,Increase inventory protection,Supplier Disruption,0.38249020426966285,Moderate exposure
P01903,Office Supplies,Trending,Low,Demand Volatility,1.2,0.156,0.1083,1461.25,8456.76,18006.0,432144.0,29.0,21.0714,0.9638,0.0392,2653.0,42912.0114,5580.3114,-5580.3114,739.0,739.0,-0.031,3.4814,Severe,Immediate contingency planning,Combined Stress,0.38131287112751805,Moderate exposure
P01545,Accessories,Trending,Low,Demand Volatility,1.2,0.0,0.0,722.5,4157.4,8838.0,212112.0,29.0,20.9036,0.9571,0.0461,2949.0,35001.3877,4551.6077,-4551.6077,821.0,821.0,-0.031,3.4536,Severe,Immediate contingency planning,Combined Stress,0.3757548392239242,Moderate exposure
P00569,Accessories,Volatile,Low,Demand Volatility,1.2,0.546,0.1625,812.5,5445.96,6817.2,163612.8,29.0,20.8438,0.9533,0.0474,3015.0,33265.4098,4325.8598,-4325.8598,840.0,840.0,-0.031,3.4438,Severe,Immediate contingency planning,Combined Stress,0.3747696273965125,Moderate exposure
P00971,Office Supplies,Trending,Low,Supplier,1.2,0.156,0.1083,951.25,5523.96,11774.4,282585.6,29.0,21.1911,0.9606,0.0447,2784.0,37088.2097,4822.9797,-4822.9797,775.0,775.0,-0.031,3.5011,Severe,Immediate contingency planning,Combined Stress,0.37153635044065536,Moderate exposure
P00793,Personal Care,Seasonal,Medium,Supplier,1.2,0.325,0.0812,953.75,5274.36,13461.6,215385.6,20.0,29.9719,0.9614,0.0392,1927.0,30774.7184,4001.9684,-4001.9684,537.0,537.0,-0.031,4.9519,Severe,Immediate contingency planning,Combined Stress,0.3713125001159774,Moderate exposure
P01302,Accessories,Trending,Low,Demand Volatility,1.2,0.338,0.166,788.75,4534.92,4819.2,226502.4,57.0,12.5901,0.958,0.0488,2991.0,32625.8856,4242.6956,-4242.6956,833.0,833.0,-0.031,2.0801,Severe,Immediate contingency planning,Combined Stress,0.3711408596002214,Moderate exposure
P01788,Personal Care,Trending,Low,Supplier,1.2,0.403,0.2438,1063.75,6166.68,19705.2,315283.2,20.0,29.4328,0.9621,0.0406,2529.0,42053.8562,5468.7162,-5468.7162,704.0,704.0,-0.031,4.8628,Severe,Immediate contingency planning,Combined Stress,0.3704699265694534,Moderate exposure
P01108,Office Supplies,Stable,Low,Demand Volatility,1.2,0.156,0.0812,1025.0,7101.12,8956.8,429926.4,58.0,11.3323,0.9634,0.0447,2833.0,35699.225,4642.355,-4642.355,789.0,789.0,-0.031,1.8723,Severe,Immediate contingency planning,Combined Stress,0.37046761011262846,Moderate exposure
P01943,Office Supplies,Intermittent,Critical,Demand Volatility,1.2,0.936,0.208,2891.25,7968.48,5439.6,135990.0,30.0,34.512,0.9664,0.0337,401.0,14046.5779,1826.6279,-1826.6279,112.0,112.0,-0.031,5.702,Severe,Immediate contingency planning,Combined Stress,0.3699634459604723,Moderate exposure
P01860,Office Supplies,Intermittent,Critical,Demand Volatility,1.2,1.196,0.2918,3088.75,8277.36,2758.8,135181.2,59.0,26.7495,0.9662,0.0324,437.0,12896.7769,1677.1069,-1677.1069,122.0,122.0,-0.031,4.4195,Severe,Immediate contingency planning,Combined Stress,0.3687080148078751,Moderate exposure
P00877,Office Supplies,Trending,Low,Demand Volatility,1.2,0.0,0.0,1093.4,5534.4,15324.0,367776.0,29.0,15.5375,0.9777,0.0264,4798.0,55725.7321,2611.4521,-2611.4521,990.0,990.0,-0.01,-1.4125,Severe,Immediate contingency planning,Demand Surge,0.36861902382735934,Moderate exposure
P01729,Accessories,Volatile,Low,Supplier,1.2,0.975,0.2708,826.25,5566.08,6975.6,167414.4,29.0,22.3891,0.9542,0.0474,2909.0,33143.5995,4310.0195,-4310.0195,810.0,810.0,-0.031,3.6991,Severe,Immediate contingency planning,Combined Stress,0.36739104273031187,Moderate exposure
P00710,Office Supplies,Trending,Low,Supplier,1.2,0.0,0.0,1515.0,8796.84,28128.0,450048.0,20.0,29.6964,0.9649,0.0406,2144.0,47929.5569,6232.7969,-6232.7969,597.0,597.0,-0.031,4.9064,Severe,Immediate contingency planning,Combined Stress,0.36384542561146677,Moderate exposure
P01389,Accessories,Volatile,Low,Supplier,1.2,1.079,0.2708,730.0,4909.32,3075.6,147628.8,58.0,13.4646,0.9518,0.0515,2967.0,30406.4022,3954.0722,-3954.0722,826.0,826.0,-0.031,2.2246,Severe,Immediate contingency planning,Combined Stress,0.3625814254123416,Moderate exposure
P01215,Office Supplies,Trending,Low,Supplier,1.2,0.29,0.1667,1458.6,7396.8,20490.0,491760.0,29.0,16.0692,0.9813,0.0223,4578.0,59680.9331,2796.8031,-2796.8031,945.0,945.0,-0.01,-1.4608,Severe,Immediate contingency planning,Demand Surge,0.36256946091967085,Moderate exposure
P01187,Office Supplies,Trending,Low,Demand Volatility,1.0,0.0,0.0,1596.2,8381.1,17855.0,428520.0,24.0,22.6412,0.9686,0.0347,5001.0,73571.4206,7328.1606,-7328.1606,475.0,475.0,-0.021,5.5212,High,Increase inventory protection,Supplier Disruption,0.3616719228093239,Moderate exposure
P01921,Office Supplies,Intermittent,High,Demand Volatility,1.2,0.312,0.0764,2230.0,6728.28,7381.2,125480.4,21.0,40.3099,0.9609,0.0351,1114.0,20304.1701,2640.3701,-2640.3701,310.0,310.0,-0.031,6.6599,Severe,Immediate contingency planning,Combined Stress,0.3606815907039775,Moderate exposure
P01794,Office Supplies,Trending,Low,Demand Volatility,1.2,0.15,0.1064,975.7,4945.2,6849.6,321931.2,57.0,9.0842,0.9763,0.0319,4787.0,49000.4479,2296.2879,-2296.2879,988.0,988.0,-0.01,-0.8258,Severe,Immediate contingency planning,Demand Surge,0.3605890636862423,Moderate exposure
P00412,Accessories,Volatile,Low,Supplier,1.2,0.923,0.2167,870.0,5850.0,7329.6,175910.4,29.0,21.0234,0.9552,0.0488,2833.0,32399.2773,4213.2273,-4213.2273,789.0,789.0,-0.031,3.4734,Severe,Immediate contingency planning,Combined Stress,0.36016928553972144,Moderate exposure
P01300,Office Supplies,Trending,Low,Demand Volatility,1.2,0.0,0.0,1148.75,6647.16,21234.0,339744.0,20.0,30.1995,0.9631,0.0378,2333.0,42593.5137,5538.8937,-5538.8937,650.0,650.0,-0.031,4.9895,Severe,Immediate contingency planning,Combined Stress,0.35955686489415656,Moderate exposure
P00382,Office Supplies,Trending,Low,Demand Volatility,1.2,0.052,0.0542,1676.25,9700.08,20654.4,495705.6,29.0,21.5146,0.9651,0.0365,2279.0,43280.8678,5628.2778,-5628.2778,635.0,635.0,-0.031,3.5546,Severe,Immediate contingency planning,Combined Stress,0.35820270671534943,Moderate exposure
P01008,Accessories,Trending,Low,Demand Volatility,1.2,0.325,0.1083,771.25,4441.32,9446.4,226713.6,29.0,21.4547,0.9589,0.0447,2689.0,33793.6415,4394.5515,-4394.5515,749.0,749.0,-0.031,3.5447,Severe,Immediate contingency planning,Combined Stress,0.35518949384310006,Moderate exposure
P00648,Office Supplies,Intermittent,Critical,Demand Volatility,1.2,0.624,0.208,3166.25,8436.48,5593.2,139830.0,30.0,37.2672,0.9678,0.0324,193.0,13429.2731,1746.3531,-1746.3531,54.0,54.0,-0.031,6.1572,Severe,Immediate contingency planning,Combined Stress,0.3545066626370095,Moderate exposure
P01584,Personal Care,Trending,Low,Demand Volatility,1.2,0.221,0.1083,1027.5,5957.64,12693.6,304646.4,29.0,20.8318,0.9618,0.0392,2556.0,35986.1236,4679.6636,-4679.6636,712.0,712.0,-0.031,3.4418,Severe,Immediate contingency planning,Combined Stress,0.3534002771957551,Moderate exposure
P01551,Accessories,Trending,Low,Supplier,1.2,0.195,0.1106,811.25,4665.96,4959.6,233101.2,57.0,12.6979,0.959,0.0447,2778.0,31098.9749,4044.1349,-4044.1349,774.0,774.0,-0.031,2.0979,Severe,Immediate contingency planning,Combined Stress,0.3526121372219208,Moderate exposure
P00750,Personal Care,Seasonal,Low,Supplier,1.2,0.17,0.0851,689.7,4069.2,4738.8,222723.6,57.0,9.24,0.9707,0.0305,4668.0,45675.6702,2140.4802,-2140.4802,963.0,963.0,-0.01,-0.84,Severe,Immediate contingency planning,Demand Surge,0.3510179103228816,Moderate exposure
