product_id,category,demand_class,risk_class,primary_risk_driver,scenario_demand_multiplier,scenario_supplier_delay,scenario_supplier_delay_rate,scenario_safety_stock,scenario_reorder_point,scenario_order_quantity,scenario_purchase_quantity,scenario_purchase_orders,scenario_inventory_days,scenario_fill_rate,scenario_stockout_rate,scenario_lost_sales,scenario_total_cost,cost_change_vs_optimized,cost_savings_vs_optimized,lost_sales_change_vs_optimized,lost_sales_increase_vs_optimized,fill_rate_change_vs_optimized,inventory_days_change_vs_optimized,scenario_severity,scenario_recommendation,scenario
P00042,Personal Care,Stable,Low,Demand Volatility,1.0,0.1,0.0833,259.0,1434.0,2350.0,112800.0,48.0,9.44,0.9962,0.0096,436.0,8517.95,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00043,Electronics,Volatile,Medium,Supplier,1.0,0.21,0.0833,30.0,131.0,203.0,4872.0,24.0,18.46,0.987,0.0137,64.0,1489.74,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00044,Accessories,Trending,Low,Demand Volatility,1.0,0.31,0.125,697.0,3214.0,13326.0,213216.0,16.0,24.83,0.9924,0.0068,1653.0,31634.99,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00045,Home Appliances,Seasonal,Low,Supplier,1.0,0.31,0.125,36.0,194.0,677.0,10832.0,16.0,25.08,0.9944,0.0068,62.0,1774.3,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00046,Office Supplies,Stable,Low,Supplier,1.0,0.04,0.0417,604.0,3353.0,10997.0,263928.0,24.0,17.21,0.9995,0.0014,126.0,14480.88,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00047,Home Appliances,Volatile,Low,Supplier,1.0,0.25,0.0625,102.0,549.0,1340.0,21440.0,16.0,25.62,0.996,0.0055,86.0,2786.38,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00048,Personal Care,Trending,Low,Demand Volatility,1.0,0.12,0.0625,97.0,450.0,1870.0,29920.0,16.0,24.56,0.9964,0.0055,109.0,3530.88,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00049,Personal Care,Seasonal,Low,Supplier,1.0,0.12,0.125,117.0,631.0,2203.0,35248.0,16.0,25.59,1.0,0.0,0.0,2906.16,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00050,Electronics,Stable,Low,Demand Volatility,1.0,0.0,0.0,39.0,208.0,1016.0,16256.0,16.0,23.93,0.9922,0.0096,128.0,2760.94,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00051,Accessories,Trending,Low,Supplier,1.0,0.12,0.0625,245.0,1125.0,4659.0,74544.0,16.0,24.15,0.9949,0.0082,385.0,9250.08,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00052,Office Supplies,Trending,Low,Supplier,1.0,0.21,0.1667,346.0,1604.0,4439.0,106536.0,24.0,17.38,0.9967,0.0055,358.0,9324.37,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00053,Accessories,Stable,Low,Supplier,1.0,0.06,0.0625,34.0,186.0,912.0,14592.0,16.0,24.36,0.9971,0.0041,43.0,1817.79,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00054,Accessories,Trending,Low,Supplier,1.0,0.31,0.125,47.0,217.0,902.0,14432.0,16.0,24.69,0.9973,0.0041,39.0,1780.15,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00055,Personal Care,Stable,Low,Demand Volatility,1.0,0.25,0.125,397.0,2202.0,10827.0,173232.0,16.0,24.1,0.9994,0.0014,106.0,13055.37,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00056,Accessories,Trending,Low,Demand Volatility,1.0,0.06,0.0625,131.0,605.0,2509.0,40144.0,16.0,25.43,0.9952,0.0068,195.0,5185.71,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00057,Electronics,Stable,Low,Supplier,1.0,0.0,0.0,26.0,142.0,694.0,11104.0,16.0,24.13,0.9977,0.0027,26.0,1404.63,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00058,Electronics,Trending,Low,Demand Volatility,1.0,0.06,0.0625,53.0,244.0,1010.0,16160.0,16.0,26.15,1.0,0.0,0.0,1573.74,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00059,Electronics,Seasonal,Medium,Supplier,1.0,0.25,0.125,44.0,190.0,627.0,10032.0,16.0,24.89,0.9962,0.0055,39.0,1483.64,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00060,Home Appliances,Volatile,Low,Demand Volatility,1.0,1.0,0.25,10.0,52.0,127.0,2032.0,16.0,24.68,0.9898,0.0123,21.0,749.36,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00061,Home Appliances,Volatile,Low,Demand Volatility,1.0,0.58,0.125,86.0,460.0,749.0,17976.0,24.0,17.98,0.984,0.0192,292.0,4417.47,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00062,Home Appliances,Seasonal,Low,Demand Volatility,1.0,0.19,0.125,6.0,30.0,105.0,1680.0,16.0,25.64,0.9924,0.0082,13.0,649.49,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00063,Accessories,Trending,Low,Demand Volatility,1.0,0.08,0.0833,585.0,2701.0,7470.0,179280.0,24.0,17.34,0.9926,0.0096,1345.0,22683.35,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00064,Home Appliances,Volatile,Low,Supplier,1.0,0.69,0.1875,96.0,515.0,1257.0,20112.0,16.0,25.58,0.9923,0.0082,158.0,3409.6,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00065,Home Appliances,Volatile,Medium,Supplier,1.0,0.44,0.1875,63.0,277.0,643.0,10288.0,16.0,26.7,0.9941,0.0068,62.0,1782.67,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00066,Personal Care,Stable,Low,Supplier,1.0,0.06,0.0625,285.0,1578.0,7757.0,124112.0,16.0,23.95,0.9977,0.0041,287.0,11526.59,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00067,Electronics,Stable,Low,Demand Volatility,1.0,0.06,0.0625,27.0,145.0,706.0,11296.0,16.0,24.36,0.9964,0.0055,41.0,1574.11,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00068,Accessories,Stable,Low,Supplier,1.0,0.08,0.0417,178.0,979.0,3205.0,76920.0,24.0,17.61,0.9997,0.0014,25.0,4613.21,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00069,Electronics,Seasonal,Low,Supplier,1.0,0.0,0.0,65.0,346.0,1205.0,19280.0,16.0,24.89,0.9941,0.0055,115.0,2883.54,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00070,Accessories,Volatile,Low,Supplier,1.0,0.46,0.125,913.0,4942.0,8057.0,193368.0,24.0,17.99,0.9937,0.0082,1233.0,22594.28,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00071,Office Supplies,Intermittent,Critical,Demand Volatility,1.0,0.8,0.24,1070.0,2326.0,2037.0,50925.0,25.0,29.9,1.0,0.0,0.0,4685.68,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00072,Electronics,Stable,Low,Supplier,1.0,0.0,0.0,34.0,181.0,884.0,14144.0,16.0,24.03,0.9967,0.0041,47.0,1813.62,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00073,Electronics,Volatile,Low,Demand Volatility,1.0,0.44,0.125,94.0,499.0,1214.0,19424.0,16.0,25.93,0.9878,0.0137,241.0,4208.64,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00074,Accessories,Trending,Low,Demand Volatility,1.0,0.19,0.0625,728.0,3364.0,13957.0,223312.0,16.0,25.22,0.9981,0.0041,431.0,20351.9,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00075,Office Supplies,Intermittent,High,Demand Volatility,1.0,1.41,0.2653,1280.0,3063.0,1445.0,70805.0,49.0,20.58,0.9958,0.0027,296.0,8150.55,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00076,Office Supplies,Trending,Low,Supplier,1.0,0.04,0.0417,711.0,3299.0,9132.0,219168.0,24.0,17.07,0.9972,0.0055,631.0,17302.36,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00077,Office Supplies,Trending,Low,Supplier,1.0,0.19,0.0625,477.0,2211.0,9181.0,146896.0,16.0,25.47,0.9988,0.0027,181.0,12603.47,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00078,Electronics,Trending,Low,Supplier,1.0,0.12,0.0625,79.0,363.0,1505.0,24080.0,16.0,24.17,0.9972,0.0055,68.0,2696.8,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00079,Home Appliances,Stable,Low,Supplier,1.0,0.12,0.0833,10.0,56.0,182.0,4368.0,24.0,17.69,0.9964,0.0041,16.0,975.12,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00080,Electronics,Volatile,Low,Demand Volatility,1.0,0.5,0.125,63.0,335.0,816.0,13056.0,16.0,26.47,1.0,0.0,0.0,1360.38,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00081,Accessories,Trending,Low,Demand Volatility,1.0,0.33,0.1667,240.0,1107.0,3059.0,73416.0,24.0,17.28,0.9925,0.0096,561.0,9734.64,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00082,Personal Care,Seasonal,Low,Supplier,1.0,0.04,0.0213,247.0,1334.0,1552.0,72944.0,47.0,10.02,0.9869,0.0151,992.0,13168.8,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00083,Home Appliances,Stable,Low,Demand Volatility,1.0,0.0,0.0,23.0,125.0,407.0,9768.0,24.0,16.82,0.9995,0.0014,5.0,1106.53,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00084,Electronics,Seasonal,Low,Supplier,1.0,0.12,0.0625,73.0,387.0,1344.0,21504.0,16.0,25.37,0.9991,0.0014,20.0,2115.23,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00085,Home Appliances,Volatile,Low,Demand Volatility,1.0,0.44,0.125,12.0,66.0,162.0,2592.0,16.0,24.83,0.9916,0.0096,22.0,799.21,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00086,Home Appliances,Stable,Low,Supplier,1.0,0.0,0.0,31.0,170.0,557.0,13368.0,24.0,17.5,0.9993,0.0014,9.0,1340.42,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00087,Office Supplies,Intermittent,High,Demand Volatility,1.0,0.61,0.1429,329.0,787.0,371.0,18179.0,49.0,20.47,0.9926,0.0027,134.0,3578.19,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00088,Personal Care,Seasonal,Low,Demand Volatility,1.0,0.0,0.0,159.0,860.0,2002.0,48048.0,24.0,18.42,0.9943,0.0068,276.0,5818.6,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00089,Accessories,Stable,Low,Demand Volatility,1.0,0.09,0.0638,199.0,1098.0,1797.0,84459.0,47.0,9.39,0.9939,0.0096,536.0,8785.96,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00090,Personal Care,Seasonal,Low,Supplier,1.0,0.0,0.0,401.0,2163.0,7551.0,120816.0,16.0,24.36,0.9943,0.0055,696.0,15535.54,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00091,Electronics,Trending,Low,Demand Volatility,1.0,0.19,0.125,26.0,118.0,486.0,7776.0,16.0,24.93,0.9967,0.0041,26.0,1198.37,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00092,Office Supplies,Intermittent,High,Demand Volatility,1.0,0.4,0.12,838.0,1995.0,1877.0,46925.0,25.0,28.46,1.0,0.0,0.0,4185.08,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00093,Office Supplies,Trending,Low,Supplier,1.0,0.08,0.0833,209.0,971.0,2690.0,64560.0,24.0,17.77,0.998,0.0055,128.0,5065.96,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00094,Personal Care,Seasonal,Low,Demand Volatility,1.0,0.08,0.0417,261.0,1409.0,3279.0,78696.0,24.0,17.13,0.9891,0.0151,868.0,13023.95,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00095,Office Supplies,Stable,Low,Demand Volatility,1.0,0.0,0.0,809.0,4492.0,14733.0,353592.0,24.0,17.2,0.9987,0.0041,468.0,22178.34,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00096,Personal Care,Stable,Low,Demand Volatility,1.0,0.09,0.0638,474.0,2627.0,4305.0,202335.0,47.0,9.47,0.9942,0.0096,1212.0,18731.24,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00097,Personal Care,Seasonal,Low,Demand Volatility,1.0,0.25,0.125,283.0,1524.0,3546.0,85104.0,24.0,17.67,0.9966,0.0068,290.0,7677.38,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00098,Home Appliances,Stable,Low,Demand Volatility,1.0,0.0,0.0,31.0,169.0,551.0,13224.0,24.0,16.86,0.9993,0.0027,10.0,1319.71,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00099,Electronics,Seasonal,Low,Demand Volatility,1.0,0.33,0.1667,67.0,352.0,815.0,19560.0,24.0,17.96,0.997,0.0055,60.0,2176.19,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00100,Electronics,Volatile,Low,Supplier,1.0,0.38,0.125,8.0,41.0,98.0,1568.0,16.0,26.08,0.9943,0.0068,9.0,603.52,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00101,Electronics,Stable,Low,Demand Volatility,1.0,0.06,0.0625,43.0,231.0,1126.0,18016.0,16.0,24.17,0.9992,0.0014,15.0,1759.93,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00102,Personal Care,Trending,Low,Demand Volatility,1.0,0.0,0.0,830.0,3856.0,16018.0,256288.0,16.0,25.1,0.9969,0.0027,808.0,26350.38,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00103,Home Appliances,Volatile,Low,Supplier,1.0,0.56,0.125,16.0,86.0,211.0,3376.0,16.0,25.24,0.9851,0.0151,51.0,1146.46,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00104,Personal Care,Trending,Low,Supplier,1.0,0.08,0.0833,184.0,857.0,2374.0,56976.0,24.0,17.11,0.9971,0.0041,167.0,4977.62,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
P00105,Accessories,Trending,Low,Supplier,1.0,0.25,0.125,746.0,3436.0,9495.0,227880.0,24.0,17.47,0.999,0.0055,229.0,13951.67,0.0,-0.0,0.0,0.0,0.0,0.0,Low,Current policy remains resilient,Optimized Policy
