product_id,category,demand_class,risk_class,primary_risk_driver,scenario_demand_multiplier,scenario_supplier_delay,scenario_supplier_delay_rate,scenario_safety_stock,scenario_reorder_point,scenario_order_quantity,scenario_purchase_quantity,scenario_purchase_orders,scenario_inventory_days,scenario_fill_rate,scenario_stockout_rate,scenario_lost_sales,scenario_total_cost,cost_change_vs_optimized,cost_savings_vs_optimized,lost_sales_change_vs_optimized,lost_sales_increase_vs_optimized,fill_rate_change_vs_optimized,inventory_days_change_vs_optimized,scenario_severity,scenario_recommendation,scenario,optimized_safety_stock,optimized_reorder_point,optimized_order_quantity,optimized_order_coverage_days,optimized_fill_rate,optimized_stockout_rate,optimized_lost_sales,optimized_inventory_days,optimized_total_cost,optimized_supplier_delay_rate,optimized_average_supplier_delay,decision_impact_score,urgency_score,recommendation_confidence,management_decision,scenario_cost,optimized_total_cost_base,optimized_lost_sales_base,optimized_fill_rate_base,optimized_safety_stock_base,optimized_order_quantity_base,optimized_inventory_days_base,lost_sales_increase_pct,cost_increase_pct,supplier_exposure,supplier_exposure_score,baseline_risk_score,scenario_exposure_score,exposure_class,economic_exposure,recommended_buffer_rate,stress_adjusted_safety_stock,additional_safety_stock_required,stress_adjusted_order_quantity,additional_order_quantity_required,action_priority,risk_scenario_relationship,scenario_rationale,decision_confidence,scenario_opportunity_score,final_decision_score,scenario_rank
P00595,Accessories,Volatile,Low,Demand Volatility,1.2,0.923,0.2167,1001.25,6750.12,8462.4,203097.6,29.0,22.0057,0.9509,0.0529,4315.0,46400.0025,6033.89,-6033.8925,1202.0,1202.0,-0.031,3.6357,Severe,Increase safety stock for demand stress,Combined Stress,801.0,4327.0,7052.0,30.0,0.9819,0.0219,3113.0,18.37,40366.11,0.1667,0.71,0.0341,0.2531,Low,Maintain policy,46400.0,40366.11,3113.0,0.9819,801.0,7052.0,18.37,0.3861,0.1495,0.11835699999999999,0.0905,0.25,0.637,High exposure,6033.892500000002,0.2,961.1999999999999,160.0,8462.4,1410.0,P2 - High,Hidden scenario vulnerability,"Combined Stress creates high exposure for this product. lost sales increase by 1,202 units, while modeled cost increases by ₹6,034. Fill rate changes by -3.10%. The product is classified as 'Hidden scenario vulnerability'. Recommended action: Increase safety stock for demand stress. Stress-adjusted safety stock requires approximately 160 additional units.",High,0.5475206092253501,0.5668,4
P00419,Office Supplies,Trending,Low,Supplier,1.2,0.494,0.1625,1748.75,10143.12,32416.8,518668.8,20.0,29.6005,0.963,0.0406,3674.0,65038.083,8457.6,-8457.603,1023.0,1023.0,-0.031,4.8905,Severe,Increase inventory buffer and monitor service,Combined Stress,1399.0,6502.0,27014.0,45.0,0.994,0.0096,2651.0,24.71,56580.48,0.125,0.38,0.0286,0.1205,Low,Increase order quantity,65038.08,56580.48,2651.0,0.994,1399.0,27014.0,24.71,0.3859,0.1495,0.0475,0.0363,0.25,0.6312,High exposure,8457.602999999996,0.2,1678.8,280.0,32416.8,5403.0,P2 - High,Hidden scenario vulnerability,"Combined Stress creates high exposure for this product. lost sales increase by 1,023 units, while modeled cost increases by ₹8,458. Fill rate changes by -3.10%. The product is classified as 'Hidden scenario vulnerability'. Recommended action: Increase inventory buffer and monitor service. Stress-adjusted safety stock requires approximately 280 additional units.",High,0.5609946791762759,0.5616,4
P01207,Office Supplies,Trending,Low,Demand Volatility,1.2,0.052,0.0542,1768.75,10246.08,21825.6,523814.4,29.0,20.6641,0.9625,0.0392,4015.0,58038.4446,7547.36,-7547.3646,1118.0,1118.0,-0.031,3.4141,Severe,Increase safety stock for demand stress,Combined Stress,1415.0,6568.0,18188.0,30.0,0.9935,0.0082,2897.0,17.25,50491.08,0.0417,0.04,0.0251,0.1579,Low,Maintain policy,58038.44,50491.08,2897.0,0.9935,1415.0,18188.0,17.25,0.3859,0.1495,0.001668,0.0013,0.25,0.6336,High exposure,7547.364600000001,0.2,1698.0,283.0,21825.6,3638.0,P2 - High,Hidden scenario vulnerability,"Combined Stress creates high exposure for this product. lost sales increase by 1,118 units, while modeled cost increases by ₹7,547. Fill rate changes by -3.10%. The product is classified as 'Hidden scenario vulnerability'. Recommended action: Increase safety stock for demand stress. Stress-adjusted safety stock requires approximately 283 additional units.",High,0.5633346426522984,0.5602,4
P00572,Office Supplies,Trending,Low,Supplier,1.2,0.247,0.0812,1835.0,10612.68,33891.6,542265.6,20.0,29.6604,0.9633,0.0378,3651.0,66456.6437,8642.07,-8642.0737,1017.0,1017.0,-0.031,4.9004,Severe,Increase inventory buffer and monitor service,Combined Stress,1468.0,6803.0,28243.0,45.0,0.9943,0.0068,2634.0,24.76,57814.57,0.0625,0.19,0.4925,0.3289,Medium,Immediate intervention,66456.64,57814.57,2634.0,0.9943,1468.0,28243.0,24.76,0.3861,0.1495,0.011875,0.0091,0.25,0.63,High exposure,8642.0737,0.2,1761.6,294.0,33891.6,5649.0,P2 - High,Hidden scenario vulnerability,"Combined Stress creates high exposure for this product. lost sales increase by 1,017 units, while modeled cost increases by ₹8,642. Fill rate changes by -3.10%. The product is classified as 'Hidden scenario vulnerability'. Recommended action: Increase inventory buffer and monitor service. Stress-adjusted safety stock requires approximately 294 additional units.",High,0.5640514219887249,0.559,4
P00183,Accessories,Trending,Low,Demand Volatility,1.2,0.572,0.2438,955.0,5484.96,17482.8,279724.8,20.0,29.4089,0.9567,0.0447,4017.0,52046.4051,6768.16,-6768.1551,1119.0,1119.0,-0.031,4.8589,Severe,Increase safety stock for demand stress,Combined Stress,764.0,3516.0,14569.0,45.0,0.9877,0.0137,2898.0,24.55,45278.25,0.1875,0.44,0.0313,0.1401,Low,Increase order quantity,52046.41,45278.25,2898.0,0.9877,764.0,14569.0,24.55,0.3861,0.1495,0.0825,0.0631,0.25,0.6282,High exposure,6768.155100000004,0.2,916.8,153.0,17482.8,2914.0,P2 - High,Hidden scenario vulnerability,"Combined Stress creates high exposure for this product. lost sales increase by 1,119 units, while modeled cost increases by ₹6,768. Fill rate changes by -3.10%. The product is classified as 'Hidden scenario vulnerability'. Recommended action: Increase safety stock for demand stress. Stress-adjusted safety stock requires approximately 153 additional units.",High,0.5439368601614297,0.5578,4
P00465,Accessories,Trending,Low,Demand Volatility,1.2,0.156,0.0542,902.5,5177.64,10998.0,263952.0,29.0,20.4844,0.9551,0.0488,4281.0,48209.3632,6269.18,-6269.1832,1192.0,1192.0,-0.031,3.3844,Severe,Increase safety stock for demand stress,Combined Stress,722.0,3319.0,9165.0,30.0,0.9861,0.0178,3089.0,17.1,41940.18,0.0417,0.12,0.0254,0.1759,Low,Maintain policy,48209.36,41940.18,3089.0,0.9861,722.0,9165.0,17.1,0.3859,0.1495,0.005004,0.0038,0.25,0.6298,High exposure,6269.1831999999995,0.2,866.4,144.0,10998.0,1833.0,P2 - High,Hidden scenario vulnerability,"Combined Stress creates high exposure for this product. lost sales increase by 1,192 units, while modeled cost increases by ₹6,269. Fill rate changes by -3.10%. The product is classified as 'Hidden scenario vulnerability'. Recommended action: Increase safety stock for demand stress. Stress-adjusted safety stock requires approximately 144 additional units.",High,0.5507941315054175,0.5548,4
P01153,Office Supplies,Intermittent,High,Demand Volatility,1.2,1.833,0.3449,2330.0,7043.4,2578.8,126361.2,59.0,22.976,0.9559,0.0392,1897.0,23463.4906,3051.21,-3051.2106,528.0,528.0,-0.031,3.796,Severe,Increase safety stock for demand stress,Combined Stress,1864.0,4515.0,2149.0,15.0,0.9869,0.0082,1369.0,19.18,20412.28,0.2653,1.41,0.2961,0.3941,High,Immediate intervention,23463.49,20412.28,1369.0,0.9869,1864.0,2149.0,19.18,0.3857,0.1495,0.37407299999999993,0.2861,0.75,0.5467,High exposure,3051.210600000002,0.2,2236.7999999999997,373.0,2578.7999999999997,430.0,P2 - High,Persistent high risk,"Combined Stress creates high exposure for this product. lost sales increase by 528 units, while modeled cost increases by ₹3,051. Fill rate changes by -3.10%. The product is classified as 'Persistent high risk'. Recommended action: Increase safety stock for demand stress. Stress-adjusted safety stock requires approximately 373 additional units.",High,0.4426756249978388,0.5534,4
P01772,Office Supplies,Trending,Low,Supplier,1.2,0.156,0.0812,1513.75,8767.2,28011.6,448185.6,20.0,29.2172,0.9619,0.0378,3716.0,60368.1745,7850.32,-7850.3245,1035.0,1035.0,-0.031,4.8272,Severe,Increase inventory buffer and monitor service,Combined Stress,1211.0,5620.0,23343.0,45.0,0.9929,0.0068,2681.0,24.39,52517.85,0.0625,0.12,0.0256,0.1041,Low,Increase order quantity,60368.17,52517.85,2681.0,0.9929,1211.0,23343.0,24.39,0.386,0.1495,0.0075,0.0057,0.25,0.6214,High exposure,7850.324500000002,0.2,1453.2,242.0,28011.6,4669.0,P2 - High,Hidden scenario vulnerability,"Combined Stress creates high exposure for this product. lost sales increase by 1,035 units, while modeled cost increases by ₹7,850. Fill rate changes by -3.10%. The product is classified as 'Hidden scenario vulnerability'. Recommended action: Increase inventory buffer and monitor service. Stress-adjusted safety stock requires approximately 242 additional units.",High,0.5488664936012909,0.5494,4
P00736,Accessories,Trending,Low,Demand Volatility,1.2,0.104,0.0542,922.5,5300.88,11264.4,270345.6,29.0,20.9635,0.9566,0.0447,3927.0,45839.5279,5961.01,-5961.0079,1094.0,1094.0,-0.031,3.4635,Severe,Increase safety stock for demand stress,Combined Stress,738.0,3398.0,9387.0,30.0,0.9876,0.0137,2833.0,17.5,39878.52,0.0417,0.08,0.0253,0.1874,Low,Maintain policy,45839.53,39878.52,2833.0,0.9876,738.0,9387.0,17.5,0.3862,0.1495,0.003336,0.0026,0.25,0.6047,High exposure,5961.007900000004,0.2,885.6,148.0,11264.4,1877.0,P2 - High,Hidden scenario vulnerability,"Combined Stress creates high exposure for this product. lost sales increase by 1,094 units, while modeled cost increases by ₹5,961. Fill rate changes by -3.10%. The product is classified as 'Hidden scenario vulnerability'. Recommended action: Increase safety stock for demand stress. Stress-adjusted safety stock requires approximately 148 additional units.",High,0.5169068631115532,0.5303,4
P01061,Accessories,Trending,Low,Demand Volatility,1.2,0.364,0.1383,765.0,4405.44,4683.6,220129.2,57.0,12.1589,0.9538,0.0543,3999.0,40582.6264,5277.4,-5277.3964,1114.0,1114.0,-0.031,2.0089,Severe,Increase safety stock for demand stress,Combined Stress,612.0,2824.0,3903.0,15.0,0.9848,0.0233,2885.0,10.15,35305.23,0.1064,0.28,0.0273,0.1912,Low,Reduce order quantity,40582.63,35305.23,2885.0,0.9848,612.0,3903.0,10.15,0.3861,0.1495,0.029792000000000003,0.0228,0.25,0.6005,High exposure,5277.396399999998,0.2,734.4,122.0,4683.599999999999,781.0,P2 - High,Hidden scenario vulnerability,"Combined Stress creates high exposure for this product. lost sales increase by 1,114 units, while modeled cost increases by ₹5,277. Fill rate changes by -3.10%. The product is classified as 'Hidden scenario vulnerability'. Recommended action: Increase safety stock for demand stress. Stress-adjusted safety stock requires approximately 122 additional units.",High,0.5049837686966665,0.5265,4
P01108,Office Supplies,Stable,Low,Demand Volatility,1.2,0.195,0.1106,1025.0,7101.12,8956.8,420969.6,57.0,11.1646,0.9614,0.0447,3850.0,43947.2323,5714.93,-5714.9323,1072.0,1072.0,-0.031,1.8446,Severe,Increase safety stock for demand stress,Combined Stress,820.0,4552.0,7464.0,15.0,0.9924,0.0137,2778.0,9.32,38232.3,0.0851,0.15,0.026,0.1472,Low,Reduce order quantity,43947.23,38232.3,2778.0,0.9924,820.0,7464.0,9.32,0.3859,0.1495,0.012764999999999999,0.0098,0.25,0.5972,High exposure,5714.9323,0.2,984.0,164.0,8956.8,1493.0,P2 - High,Hidden scenario vulnerability,"Combined Stress creates high exposure for this product. lost sales increase by 1,072 units, while modeled cost increases by ₹5,715. Fill rate changes by -3.10%. The product is classified as 'Hidden scenario vulnerability'. Recommended action: Increase safety stock for demand stress. Stress-adjusted safety stock requires approximately 164 additional units.",High,0.504835417084048,0.5231,4
P01036,Office Supplies,Trending,Low,Supplier,1.2,0.104,0.0542,1228.75,7129.2,15190.8,364579.2,29.0,20.8318,0.9604,0.0392,3672.0,48011.3539,6243.43,-6243.4339,1023.0,1023.0,-0.031,3.4418,Severe,Increase inventory buffer and monitor service,Combined Stress,983.0,4570.0,12659.0,30.0,0.9914,0.0082,2649.0,17.39,41767.92,0.0417,0.08,0.0253,0.1527,Low,Maintain policy,48011.35,41767.92,2649.0,0.9914,983.0,12659.0,17.39,0.3862,0.1495,0.003336,0.0026,0.25,0.5943,High exposure,6243.433900000004,0.2,1179.6,197.0,15190.8,2532.0,P2 - High,Hidden scenario vulnerability,"Combined Stress creates high exposure for this product. lost sales increase by 1,023 units, while modeled cost increases by ₹6,243. Fill rate changes by -3.10%. The product is classified as 'Hidden scenario vulnerability'. Recommended action: Increase inventory buffer and monitor service. Stress-adjusted safety stock requires approximately 197 additional units.",High,0.5051176764970697,0.5208,4
P00759,Accessories,Volatile,Low,Supplier,1.2,1.027,0.2167,641.25,4314.96,5406.0,129744.0,29.0,20.9276,0.9447,0.0598,3691.0,37333.4051,4854.87,-4854.8651,1028.0,1028.0,-0.031,3.4576,Severe,Increase inventory buffer and monitor service,Combined Stress,513.0,2766.0,4505.0,30.0,0.9757,0.0288,2663.0,17.47,32478.54,0.1667,0.79,0.0351,0.2576,Low,Maintain policy,37333.41,32478.54,2663.0,0.9757,513.0,4505.0,17.47,0.386,0.1495,0.131693,0.1007,0.25,0.5841,High exposure,4854.865100000003,0.2,615.6,103.0,5406.0,901.0,P2 - High,Hidden scenario vulnerability,"Combined Stress creates high exposure for this product. lost sales increase by 1,028 units, while modeled cost increases by ₹4,855. Fill rate changes by -3.10%. The product is classified as 'Hidden scenario vulnerability'. Recommended action: Increase inventory buffer and monitor service. Stress-adjusted safety stock requires approximately 103 additional units.",High,0.4714077584239383,0.5152,4
P00992,Office Supplies,Intermittent,High,Demand Volatility,1.2,1.482,0.3184,2702.5,7980.96,2874.0,140826.0,59.0,24.9047,0.9599,0.0351,1471.0,21237.3173,2761.72,-2761.7173,410.0,410.0,-0.031,4.1147,Severe,Increase safety stock for demand stress,Combined Stress,2162.0,5116.0,2395.0,15.0,0.9909,0.0041,1061.0,20.79,18475.6,0.2449,1.14,0.7821,0.5672,High,Immediate intervention,21237.32,18475.6,1061.0,0.9909,2162.0,2395.0,20.79,0.3864,0.1495,0.279186,0.2135,0.75,0.5106,High exposure,2761.7173000000003,0.2,2594.4,432.0,2874.0,479.0,P2 - High,Persistent high risk,"Combined Stress creates high exposure for this product. lost sales increase by 410 units, while modeled cost increases by ₹2,762. Fill rate changes by -3.10%. The product is classified as 'Persistent high risk'. Recommended action: Increase safety stock for demand stress. Stress-adjusted safety stock requires approximately 432 additional units.",High,0.4039312207044814,0.5138,4
P01147,Office Supplies,Trending,Low,Supplier,1.2,0.338,0.1383,1093.75,6322.68,6729.6,316291.2,57.0,12.2667,0.9592,0.0461,3710.0,40921.4813,5321.46,-5321.4613,1033.0,1033.0,-0.031,2.0267,Severe,Increase inventory buffer and monitor service,Combined Stress,875.0,4053.0,5608.0,15.0,0.9902,0.0151,2677.0,10.24,35600.02,0.1064,0.26,0.0271,0.1563,Low,Reduce order quantity,40921.48,35600.02,2677.0,0.9902,875.0,5608.0,10.24,0.3859,0.1495,0.027664,0.0212,0.25,0.5843,High exposure,5321.461300000003,0.2,1050.0,175.0,6729.599999999999,1122.0,P2 - High,Hidden scenario vulnerability,"Combined Stress creates high exposure for this product. lost sales increase by 1,033 units, while modeled cost increases by ₹5,321. Fill rate changes by -3.10%. The product is classified as 'Hidden scenario vulnerability'. Recommended action: Increase inventory buffer and monitor service. Stress-adjusted safety stock requires approximately 175 additional units.",High,0.4845149780641681,0.5109,4
P01812,Office Supplies,Trending,Low,Demand Volatility,1.2,0.156,0.0542,1031.25,5962.32,12693.6,304646.4,29.0,21.7781,0.959,0.0447,3562.0,44966.8319,5847.52,-5847.5219,992.0,992.0,-0.031,3.5981,Severe,Increase safety stock for demand stress,Combined Stress,825.0,3822.0,10578.0,30.0,0.99,0.0137,2570.0,18.18,39119.31,0.0417,0.12,0.0254,0.1759,Low,Maintain policy,44966.83,39119.31,2570.0,0.99,825.0,10578.0,18.18,0.386,0.1495,0.005004,0.0038,0.25,0.582,High exposure,5847.5219,0.2,990.0,165.0,12693.6,2116.0,P2 - High,Hidden scenario vulnerability,"Combined Stress creates high exposure for this product. lost sales increase by 992 units, while modeled cost increases by ₹5,848. Fill rate changes by -3.10%. The product is classified as 'Hidden scenario vulnerability'. Recommended action: Increase safety stock for demand stress. Stress-adjusted safety stock requires approximately 165 additional units.",High,0.4868670748673624,0.5085,4
