product_id,category,demand_class,risk_class,primary_risk_driver,baseline_service_level,baseline_order_coverage_days,baseline_safety_stock,baseline_reorder_point,baseline_order_quantity,baseline_fill_rate,baseline_stockout_rate,baseline_lost_sales,baseline_inventory_days,baseline_total_cost,optimized_service_level,optimized_safety_stock,optimized_reorder_point,optimized_order_quantity,optimized_order_coverage_days,optimized_fill_rate,optimized_stockout_rate,optimized_lost_sales,optimized_inventory_days,optimized_total_cost,optimized_purchase_orders,optimized_purchase_quantity,optimized_supplier_delay_rate,optimized_average_supplier_delay,lost_sales_reduction,cost_change,cost_savings,inventory_days_change,fill_rate_change,safety_stock_change,recommended_action,service_level_improvement,lost_sales_reduction_pct,inventory_days_change_pct,order_quantity_change,order_quantity_change_pct,safety_stock_change_pct,inventory_efficiency,service_risk,financial_exposure,supplier_risk_score,risk_explanation,decision_impact_score,priority,management_decision,business_impact,policy_change_flag,urgency_score,recommendation_confidence,decision_rationale,expected_outcome,executive_recommendation,priority_rank
P00648,Office Supplies,Intermittent,Critical,Demand Volatility,0.95,30,1791,4666,4661,0.9862,0.0068,1563,24.86,23980.2,0.99,2533.0,5408.0,4661.0,30.0,0.9988,0.0014,139.0,31.11,11682.92,25.0,116525.0,0.16,0.48,1424.0,-12297.28,12297.28,6.25,0.0126,742.0,Increase service level and adjust safety stock,0.0126,0.9111,0.2514,0.0,0.0,0.4143,Inventory increase,Moderate service improvement,Positive economic + service impact,0.1264,Critical risk driven primarily by demand variability and forecast uncertainty.,0.3165,P1 - Critical,Immediate intervention,Cost saving + service improvement,1,0.492,High,"Increase service level and adjust safety stock. The optimization is expected to reduce lost sales by 1,424 units while reducing modeled cost by $12,297. Fill rate changes by +1.26%.",Lower cost with improved service,URGENT: Immediate intervention. Review immediately due to Critical risk and material service exposure.,1
P00973,Office Supplies,Intermittent,Critical,Demand Volatility,0.95,30,897,2408,2450,0.9846,0.0068,916,23.47,13592.07,0.99,1269.0,2780.0,1225.0,15.0,0.9998,0.0014,9.0,21.23,4781.93,49.0,60025.0,0.2449,0.92,907.0,-8810.13,8810.13,-2.24,0.0152,372.0,Increase service level and adjust safety stock,0.0152,0.9902,-0.0954,-1225.0,-0.5,0.4147,Inventory reduction,Moderate service improvement,Positive economic + service impact,0.3709,Critical risk driven primarily by demand variability and forecast uncertainty.,0.3009,P1 - Critical,Immediate intervention,Cost saving + service improvement,1,0.4876,High,"Increase service level and adjust safety stock. The optimization is expected to reduce lost sales by 907 units while reducing modeled cost by $8,810. Fill rate changes by +1.52%.",Lower cost with improved service,URGENT: Immediate intervention. Review immediately due to Critical risk and material service exposure.,1
P01038,Office Supplies,Intermittent,Critical,Demand Volatility,0.95,30,802,2129,2151,0.9819,0.0068,946,26.48,13857.24,0.99,1135.0,2462.0,2151.0,30.0,1.0,0.0,0.0,30.72,5031.13,25.0,53775.0,0.16,0.56,946.0,-8826.1,8826.1,4.25,0.0181,333.0,Increase service level and adjust safety stock,0.0181,1.0,0.1605,0.0,0.0,0.4152,Inventory increase,Moderate service improvement,Positive economic + service impact,0.1475,Critical risk driven primarily by demand variability and forecast uncertainty.,0.2929,P1 - Critical,Immediate intervention,Cost saving + service improvement,1,0.4675,High,"Increase service level and adjust safety stock. The optimization is expected to reduce lost sales by 946 units while reducing modeled cost by $8,826. Fill rate changes by +1.81%.",Lower cost with improved service,URGENT: Immediate intervention. Review immediately due to Critical risk and material service exposure.,1
P00215,Office Supplies,Intermittent,Critical,Demand Volatility,0.95,30,1471,3960,4037,0.9894,0.0055,1038,24.35,17558.59,0.99,2081.0,4570.0,4037.0,30.0,1.0,0.0,0.0,28.39,8266.65,25.0,100925.0,0.16,0.64,1038.0,-9291.94,9291.94,4.04,0.0106,610.0,Increase service level and adjust safety stock,0.0106,1.0,0.1659,0.0,0.0,0.4147,Inventory increase,Moderate service improvement,Positive economic + service impact,0.1686,Critical risk driven primarily by demand variability and forecast uncertainty.,0.2728,P1 - Critical,Immediate intervention,Cost saving + service improvement,1,0.4747,High,"Increase service level and adjust safety stock. The optimization is expected to reduce lost sales by 1,038 units while reducing modeled cost by $9,292. Fill rate changes by +1.06%.",Lower cost with improved service,URGENT: Immediate intervention. Review immediately due to Critical risk and material service exposure.,1
P00071,Office Supplies,Intermittent,Critical,Demand Volatility,0.95,30,757,2013,2037,0.9882,0.0041,583,25.66,9939.83,0.99,1070.0,2326.0,2037.0,30.0,1.0,0.0,0.0,29.9,4685.68,25.0,50925.0,0.24,0.8,583.0,-5254.15,5254.15,4.24,0.0118,313.0,Increase service level and adjust safety stock,0.0118,1.0,0.1652,0.0,0.0,0.4135,Inventory increase,Moderate service improvement,Positive economic + service impact,0.316,Critical risk driven primarily by demand variability and forecast uncertainty.,0.2431,P1 - Critical,Immediate intervention,Cost saving + service improvement,1,0.4641,High,"Increase service level and adjust safety stock. The optimization is expected to reduce lost sales by 583 units while reducing modeled cost by $5,254. Fill rate changes by +1.18%.",Lower cost with improved service,URGENT: Immediate intervention. Review immediately due to Critical risk and material service exposure.,1
P01338,Office Supplies,Intermittent,Critical,Demand Volatility,0.95,30,588,1511,1497,0.9792,0.0096,759,27.29,10913.07,0.99,832.0,1755.0,2245.0,45.0,0.9956,0.0027,160.0,40.95,6111.2,17.0,38165.0,0.1176,0.29,599.0,-4801.87,4801.87,13.66,0.0164,244.0,Increase service level and adjust safety stock,0.0164,0.7892,0.5005,748.0,0.4997,0.415,Inventory increase,Moderate service improvement,Positive economic + service impact,0.0561,Critical risk driven primarily by demand variability and forecast uncertainty.,0.2347,P1 - Critical,Immediate intervention,Cost saving + service improvement,1,0.439,High,"Increase service level and adjust safety stock. The optimization is expected to reduce lost sales by 599 units while reducing modeled cost by $4,802. Fill rate changes by +1.64%.",Lower cost with improved service,URGENT: Immediate intervention. Review immediately due to Critical risk and material service exposure.,1
P01533,Office Supplies,Intermittent,Critical,Demand Volatility,0.95,30,1334,3585,3651,0.9902,0.0055,872,25.52,15556.38,0.99,1886.0,4137.0,1825.0,15.0,0.9981,0.0014,170.0,22.78,8469.07,49.0,89425.0,0.102,0.49,702.0,-7087.3,7087.3,-2.74,0.0079,552.0,Increase service level and adjust safety stock,0.0079,0.805,-0.1074,-1826.0,-0.5001,0.4138,Inventory reduction,Moderate service improvement,Positive economic + service impact,0.0823,Critical risk driven primarily by demand variability and forecast uncertainty.,0.2206,P1 - Critical,Immediate intervention,Cost saving + service improvement,1,0.4474,High,"Increase service level and adjust safety stock. The optimization is expected to reduce lost sales by 702 units while reducing modeled cost by $7,087. Fill rate changes by +0.79%.",Lower cost with improved service,URGENT: Immediate intervention. Review immediately due to Critical risk and material service exposure.,1
P01860,Office Supplies,Intermittent,Critical,Demand Volatility,0.95,30,1747,4582,4597,0.9927,0.0027,822,26.76,17046.05,0.99,2471.0,5306.0,2299.0,15.0,0.9972,0.0014,315.0,22.33,11219.67,49.0,112651.0,0.2245,0.92,507.0,-5826.38,5826.38,-4.43,0.0045,724.0,Increase service level and adjust safety stock,0.0045,0.6168,-0.1655,-2298.0,-0.4999,0.4144,Inventory reduction,Moderate service improvement,Positive economic + service impact,0.34,Critical risk driven primarily by demand variability and forecast uncertainty.,0.2137,P1 - Critical,Immediate intervention,Cost saving + service improvement,1,0.4623,High,"Increase service level and adjust safety stock. The optimization is expected to reduce lost sales by 507 units while reducing modeled cost by $5,826. Fill rate changes by +0.45%.",Lower cost with improved service,URGENT: Immediate intervention. Review immediately due to Critical risk and material service exposure.,1
P01344,Office Supplies,Intermittent,Critical,Demand Volatility,0.95,30,287,766,776,0.9976,0.0027,45,24.56,2346.21,0.99,406.0,885.0,776.0,30.0,0.998,0.0014,38.0,28.2,2464.62,25.0,19400.0,0.36,1.68,7.0,118.41,-118.41,3.64,0.0004,119.0,Increase service level and adjust safety stock,0.0004,0.1556,0.1482,0.0,0.0,0.4146,Inventory increase,Moderate service improvement,Service improvement with additional cost,0.9956,Critical risk driven primarily by demand variability and forecast uncertainty.,0.2016,P1 - Critical,Immediate intervention,Service improvement,1,0.4999,High,"Increase service level and adjust safety stock. The primary benefit is improved service, with expected lost-sales reduction of 7 units. Modeled cost impact is $-118.",Improved service at additional cost,URGENT: Immediate intervention. Review immediately due to Critical risk and material service exposure.,1
P01884,Office Supplies,Intermittent,Critical,Demand Volatility,0.95,30,1730,4451,4413,0.9965,0.0014,378,25.65,11951.07,0.99,2447.0,5168.0,2206.0,15.0,1.0,0.0,0.0,23.59,8189.77,50.0,110300.0,0.26,1.02,378.0,-3761.3,3761.3,-2.06,0.0035,717.0,Increase service level and adjust safety stock,0.0035,1.0,-0.0803,-2207.0,-0.5001,0.4145,Inventory reduction,Moderate service improvement,Positive economic + service impact,0.4365,Critical risk driven primarily by demand variability and forecast uncertainty.,0.2008,P1 - Critical,Immediate intervention,Cost saving + service improvement,1,0.4647,High,"Increase service level and adjust safety stock. The optimization is expected to reduce lost sales by 378 units while reducing modeled cost by $3,761. Fill rate changes by +0.35%.",Lower cost with improved service,URGENT: Immediate intervention. Review immediately due to Critical risk and material service exposure.,1
P01219,Office Supplies,Intermittent,Critical,Demand Volatility,0.95,30,201,547,560,0.9896,0.0055,142,24.19,2948.95,0.99,285.0,631.0,560.0,30.0,1.0,0.0,0.0,28.83,1702.25,25.0,14000.0,0.24,1.0,142.0,-1246.7,1246.7,4.64,0.0104,84.0,Increase service level and adjust safety stock,0.0104,1.0,0.1918,0.0,0.0,0.4179,Inventory increase,Moderate service improvement,Positive economic + service impact,0.3951,Critical risk driven primarily by demand variability and forecast uncertainty.,0.1971,P1 - Critical,Immediate intervention,Cost saving + service improvement,1,0.4474,High,"Increase service level and adjust safety stock. The optimization is expected to reduce lost sales by 142 units while reducing modeled cost by $1,247. Fill rate changes by +1.04%.",Lower cost with improved service,URGENT: Immediate intervention. Review immediately due to Critical risk and material service exposure.,1
P01620,Office Supplies,Intermittent,Critical,Demand Volatility,0.95,30,1297,3389,3392,0.9924,0.0027,626,25.1,12561.54,0.99,1835.0,3927.0,5088.0,45.0,1.0,0.0,0.0,38.72,9181.47,17.0,86496.0,0.0588,0.35,626.0,-3380.08,3380.08,13.62,0.0076,538.0,Increase service level and adjust safety stock,0.0076,1.0,0.5426,1696.0,0.5,0.4148,Inventory increase,Moderate service improvement,Positive economic + service impact,0.0339,Critical risk driven primarily by demand variability and forecast uncertainty.,0.1915,P1 - Critical,Immediate intervention,Cost saving + service improvement,1,0.4383,High,"Increase service level and adjust safety stock. The optimization is expected to reduce lost sales by 626 units while reducing modeled cost by $3,380. Fill rate changes by +0.76%.",Lower cost with improved service,URGENT: Immediate intervention. Review immediately due to Critical risk and material service exposure.,1
P01054,Office Supplies,Intermittent,Critical,Demand Volatility,0.95,30,739,1994,2036,0.9939,0.0041,304,25.91,7181.57,0.99,1045.0,2300.0,1018.0,15.0,1.0,0.0,0.0,21.69,4168.86,49.0,49882.0,0.2041,0.84,304.0,-3012.71,3012.71,-4.22,0.0061,306.0,Increase service level and adjust safety stock,0.0061,1.0,-0.1629,-1018.0,-0.5,0.4141,Inventory reduction,Moderate service improvement,Positive economic + service impact,0.2822,Critical risk driven primarily by demand variability and forecast uncertainty.,0.1875,P1 - Critical,Immediate intervention,Cost saving + service improvement,1,0.4452,High,"Increase service level and adjust safety stock. The optimization is expected to reduce lost sales by 304 units while reducing modeled cost by $3,013. Fill rate changes by +0.61%.",Lower cost with improved service,URGENT: Immediate intervention. Review immediately due to Critical risk and material service exposure.,1
P01305,Office Supplies,Intermittent,Critical,Demand Volatility,0.95,30,1057,2804,2834,0.9961,0.0014,268,25.81,8181.63,0.99,1495.0,3242.0,1417.0,15.0,1.0,0.0,0.0,23.22,5612.33,49.0,69433.0,0.2245,0.92,268.0,-2569.29,2569.29,-2.59,0.0039,438.0,Increase service level and adjust safety stock,0.0039,1.0,-0.1003,-1417.0,-0.5,0.4144,Inventory reduction,Moderate service improvement,Positive economic + service impact,0.34,Critical risk driven primarily by demand variability and forecast uncertainty.,0.1798,P1 - Critical,Immediate intervention,Cost saving + service improvement,1,0.4489,High,"Increase service level and adjust safety stock. The optimization is expected to reduce lost sales by 268 units while reducing modeled cost by $2,569. Fill rate changes by +0.39%.",Lower cost with improved service,URGENT: Immediate intervention. Review immediately due to Critical risk and material service exposure.,1
P01905,Office Supplies,Intermittent,Critical,Demand Volatility,0.95,30,1915,5199,5325,0.9965,0.0014,453,26.07,14410.43,0.99,2709.0,5993.0,2663.0,15.0,0.9993,0.0014,85.0,21.25,9618.7,49.0,130487.0,0.1429,0.59,368.0,-4791.73,4791.73,-4.82,0.0028,794.0,Increase service level and adjust safety stock,0.0028,0.8124,-0.1849,-2662.0,-0.4999,0.4146,Inventory reduction,Moderate service improvement,Positive economic + service impact,0.1388,Critical risk driven primarily by demand variability and forecast uncertainty.,0.1726,P1 - Critical,Immediate intervention,Cost saving + service improvement,1,0.4344,High,"Increase service level and adjust safety stock. The optimization is expected to reduce lost sales by 368 units while reducing modeled cost by $4,792. Fill rate changes by +0.28%.",Lower cost with improved service,URGENT: Immediate intervention. Review immediately due to Critical risk and material service exposure.,1
P01434,Office Supplies,Intermittent,Critical,Demand Volatility,0.95,30,235,621,626,0.9842,0.0082,241,25.28,4064.76,0.99,332.0,718.0,939.0,45.0,0.9952,0.0027,73.0,38.51,2762.08,17.0,15963.0,0.0588,0.18,168.0,-1302.68,1302.68,13.24,0.011,97.0,Increase service level and adjust safety stock,0.011,0.6971,0.5237,313.0,0.5,0.4128,Inventory increase,Moderate service improvement,Positive economic + service impact,0.0174,Critical risk driven primarily by demand variability and forecast uncertainty.,0.1637,P1 - Critical,Immediate intervention,Cost saving + service improvement,1,0.4111,High,"Increase service level and adjust safety stock. The optimization is expected to reduce lost sales by 168 units while reducing modeled cost by $1,303. Fill rate changes by +1.10%.",Lower cost with improved service,URGENT: Immediate intervention. Review immediately due to Critical risk and material service exposure.,1
P01443,Office Supplies,Intermittent,High,Demand Volatility,0.95,30,1706,4476,4492,0.9508,0.0192,5383,26.22,62282.7,0.975,2032.0,4802.0,6739.0,45.0,1.0,0.0,0.0,35.64,11099.16,17.0,114563.0,0.1176,0.35,5383.0,-51183.54,51183.54,9.42,0.0492,326.0,Increase service level and adjust safety stock,0.0492,1.0,0.3593,2247.0,0.5002,0.1911,Inventory increase,Strong service improvement,Positive economic + service impact,0.0678,High risk driven primarily by demand variability and forecast uncertainty.,0.8818,P1 - High Impact,Immediate intervention,Cost saving + service improvement,1,0.6068,High,"Increase service level and adjust safety stock. The optimization is expected to reduce lost sales by 5,383 units while reducing modeled cost by $51,184. Fill rate changes by +4.92%.",Lower cost with improved service,HIGH PRIORITY: Immediate intervention. Intervention is expected to materially improve portfolio performance.,2
P01345,Office Supplies,Intermittent,High,Demand Volatility,0.95,30,1381,3672,3714,0.9559,0.0192,3987,25.51,46786.08,0.975,1646.0,3937.0,1857.0,15.0,0.9934,0.0055,593.0,20.13,12140.57,49.0,90993.0,0.1633,0.53,3394.0,-34645.52,34645.52,-5.37,0.0376,265.0,Increase service level and adjust safety stock,0.0376,0.8513,-0.2105,-1857.0,-0.5,0.1919,Inventory reduction,Strong service improvement,Positive economic + service impact,0.1425,High risk driven primarily by demand variability and forecast uncertainty.,0.632,P1 - High Impact,Immediate intervention,Cost saving + service improvement,1,0.5034,High,"Increase service level and adjust safety stock. The optimization is expected to reduce lost sales by 3,394 units while reducing modeled cost by $34,646. Fill rate changes by +3.76%.",Lower cost with improved service,HIGH PRIORITY: Immediate intervention. Intervention is expected to materially improve portfolio performance.,2
P01235,Office Supplies,Intermittent,High,Demand Volatility,0.95,30,1473,3989,4080,0.9697,0.0151,3005,24.97,37440.29,0.975,1755.0,4271.0,6120.0,45.0,1.0,0.0,0.0,34.76,9879.96,17.0,104040.0,0.1176,0.71,3005.0,-27560.33,27560.33,9.8,0.0303,282.0,Increase service level and adjust safety stock,0.0303,1.0,0.3925,2040.0,0.5,0.1914,Inventory increase,Strong service improvement,Positive economic + service impact,0.1374,High risk driven primarily by demand variability and forecast uncertainty.,0.5419,P1 - High Impact,Immediate intervention,Cost saving + service improvement,1,0.4812,High,"Increase service level and adjust safety stock. The optimization is expected to reduce lost sales by 3,005 units while reducing modeled cost by $27,560. Fill rate changes by +3.03%.",Lower cost with improved service,HIGH PRIORITY: Immediate intervention. Intervention is expected to materially improve portfolio performance.,2
P00954,Accessories,Volatile,Medium,Supplier,0.95,30,1217,5371,8308,0.9826,0.0219,3526,18.88,46314.38,0.95,1217.0,5371.0,8308.0,30.0,0.9997,0.0014,58.0,19.25,11842.96,24.0,199392.0,0.2083,0.71,3468.0,-34471.42,34471.42,0.38,0.0172,0.0,Maintain current inventory policy,0.0172,0.9836,0.0201,0.0,0.0,0.0,Inventory increase,Moderate service improvement,Positive economic + service impact,0.2434,Medium risk driven primarily by supplier reliability and lead-time uncertainty.,0.5381,P1 - High Impact,Immediate intervention,Cost saving + service improvement,0,0.4176,Medium,"Maintain current inventory policy. The optimization is expected to reduce lost sales by 3,468 units while reducing modeled cost by $34,471. Fill rate changes by +1.72%.",Lower cost with improved service,HIGH PRIORITY: Immediate intervention. Intervention is expected to materially improve portfolio performance.,2
P01802,Office Supplies,Intermittent,High,Demand Volatility,0.95,30,824,2101,2071,0.9607,0.0151,1981,28.92,24401.69,0.975,982.0,2259.0,2071.0,30.0,1.0,0.0,0.0,29.68,4722.12,25.0,51775.0,0.28,1.04,1981.0,-19679.57,19679.57,0.76,0.0393,158.0,Increase service level and adjust safety stock,0.0393,1.0,0.0263,0.0,0.0,0.1917,Inventory increase,Strong service improvement,Positive economic + service impact,0.4793,High risk driven primarily by demand variability and forecast uncertainty.,0.5076,P1 - High Impact,Immediate intervention,Cost saving + service improvement,1,0.4583,High,"Increase service level and adjust safety stock. The optimization is expected to reduce lost sales by 1,981 units while reducing modeled cost by $19,680. Fill rate changes by +3.93%.",Lower cost with improved service,HIGH PRIORITY: Immediate intervention. Intervention is expected to materially improve portfolio performance.,2
