action_rank,priority_rank,management_priority,product_id,product_name,category,demand_class,risk_score,risk_class,confidence_score,confidence_class,business_impact_score,business_impact_class,primary_risk_driver,primary_risk_driver_score,anomaly_severity_score,max_anomaly_deviation,max_anomaly_z,forecast_change_pct,wape,inventory_risk_score,stockout_risk,service_risk,supplier_risk,volatility_risk,excess_inventory_risk,inventory_days,fill_rate,estimated_financial_exposure,at_risk_value,lost_sales_exposure,supplier_delay_exposure,inventory_obsolescence_exposure,optimization_opportunity,compound_risk_count,compound_risk_score,recommended_action
16,2,P2 - High,P01057,PaperWorks Desk Accessories 01057,Office Supplies,Intermittent,51.0,High,100.0,High,62.66,High,Forecast Accuracy,100.0,3,2.8908,166.4286,0.0,131.4996,15.47,3.4595,0.0,20.4167,75.8235,0.0,26.4043,0.975,1884642.1265,643605.2862,1011448.69,873193.4365,0.0,11074.12,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
17,2,P2 - High,P00075,OfficePro Writing 00075,Office Supplies,Intermittent,50.93,High,100.0,High,44.87,Medium,Forecast Accuracy,100.0,3,1.0,75.6071,0.0,213.0816,15.09,0.3792,0.0,30.7,69.1362,0.0,25.6551,0.9989,607289.4489,210668.7098,43400.26,563889.1889,0.0,4772.4,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
18,2,P2 - High,P01007,PaperWorks Paper 01007,Office Supplies,Intermittent,50.83,High,100.0,High,50.71,Medium,Forecast Accuracy,100.0,3,2.6659,8.1283,0.0,126.2,15.01,0.5604,0.0,25.1,73.8593,0.0,26.3852,0.9971,868080.0015,298532.7125,114352.2,753727.8015,0.0,0.0,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
19,2,P2 - High,P01404,PaperWorks Storage 01404,Office Supplies,Intermittent,50.25,High,100.0,High,53.97,Medium,Forecast Accuracy,100.0,3,2.0054,9.6847,0.0,138.2358,14.24,0.0,0.0,25.1,69.8265,0.0,24.6772,1.0,941860.8979,317407.1226,0.0,941860.8979,0.0,17122.38,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
20,2,P2 - High,P01164,PaperWorks Desk Accessories 01164,Office Supplies,Intermittent,50.07,High,100.0,High,53.29,Medium,Forecast Accuracy,100.0,3,1.0,118.3214,0.0,129.7201,14.6,1.0681,0.0,20.0,75.1776,0.0,26.9608,0.9921,973236.9733,326521.0045,343797.22,629439.7533,0.0,4709.01,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
21,2,P2 - High,P01995,PaperWorks Storage 01995,Office Supplies,Intermittent,50.01,High,100.0,High,46.21,Medium,Forecast Accuracy,100.0,3,1.0,12.1569,0.0,141.743,15.29,4.648,0.0,21.4583,71.1552,0.0,26.4292,0.9658,1032299.4637,348091.3792,741042.56,291256.9037,0.0,11395.87,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
22,2,P2 - High,P00326,WriteWell Paper 00326,Office Supplies,Intermittent,49.98,Moderate,100.0,High,23.42,Low,Forecast Accuracy,100.0,3,1.0,18.0357,0.0,125.3698,15.31,2.3972,0.0,28.75,68.5436,0.0,23.7706,0.9842,297912.4482,102720.2122,131713.55,166198.8982,0.0,3555.29,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
23,2,P2 - High,P00087,WriteWell Paper 00087,Office Supplies,Intermittent,49.82,Moderate,100.0,High,36.7,Low,Forecast Accuracy,100.0,3,4.6477,58.4286,0.0,147.9138,14.62,2.0853,0.0,24.1667,69.1548,0.0,25.6095,0.986,559575.1658,189472.1511,282740.15,276835.0158,0.0,0.0,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
24,2,P2 - High,P00943,PaperWorks Storage 00943,Office Supplies,Intermittent,49.81,Moderate,100.0,High,28.53,Low,Forecast Accuracy,100.0,3,2.0856,63.5357,0.0,147.1401,15.11,2.8988,0.0,26.0417,68.8662,0.0,25.3083,0.9806,374650.6427,127868.2644,229822.1,144828.5427,0.0,0.0,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
25,2,P2 - High,P01777,OfficePro Storage 01777,Office Supplies,Intermittent,49.74,Moderate,100.0,High,64.0,High,Forecast Accuracy,100.0,3,1.0,14.9914,0.0,114.386,13.75,0.7853,0.0,21.9,68.1669,0.0,26.158,0.9949,1496356.2812,492001.9453,365923.35,1130432.9312,0.0,773.56,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
26,2,P2 - High,P00322,WriteWell Desk Accessories 00322,Office Supplies,Intermittent,49.48,Moderate,100.0,High,62.36,High,Forecast Accuracy,100.0,3,1.0,16.9898,0.0,116.2661,13.63,0.7354,0.0,20.0,69.3969,0.0,26.6494,0.9968,1384718.3022,452525.9412,214642.64,1170075.6622,0.0,5909.95,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
27,2,P2 - High,P00305,PaperWorks Paper 00305,Office Supplies,Intermittent,49.32,Moderate,100.0,High,68.06,High,Forecast Accuracy,100.0,3,1.0,129.3571,0.0,122.5271,13.86,3.2064,0.0,16.6667,69.3072,0.0,27.2588,0.9789,2059236.77,666163.0951,1298299.84,760936.93,0.0,19894.87,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
28,2,P2 - High,P00775,OfficePro Paper 00775,Office Supplies,Intermittent,49.25,Moderate,100.0,High,78.35,High,Forecast Accuracy,100.0,3,1.0,105.6429,0.0,118.2344,13.54,3.4,0.0,15.8333,67.6177,0.0,23.938,0.977,3271123.328,1045451.0156,2005255.5,1265867.828,0.0,10072.55,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
29,2,P2 - High,P00891,PaperWorks Writing 00891,Office Supplies,Intermittent,49.2,Moderate,100.0,High,48.16,Medium,Forecast Accuracy,100.0,3,1.6747,8.7419,0.0,142.0984,14.33,4.0008,0.0,19.5833,67.9529,0.0,25.0238,0.9723,1138425.3155,374086.5587,667100.16,471325.1555,0.0,7775.07,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
30,2,P2 - High,P01921,OfficePro Paper 01921,Office Supplies,Intermittent,48.65,Moderate,100.0,High,84.64,Very High,Forecast Accuracy,100.0,3,1.0,144.1071,0.0,112.0424,12.77,2.5491,0.0,12.5,67.5592,0.0,25.2993,0.9814,4343487.6105,1355602.4832,2032961.4,2310526.2105,0.0,16077.69,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
31,2,P2 - High,P00882,PaperWorks Paper 00882,Office Supplies,Intermittent,48.24,Moderate,100.0,High,26.59,Low,Forecast Accuracy,100.0,3,6.5349,6.3177,0.0,162.4977,13.94,3.3527,0.0,14.1667,72.0441,0.0,27.2389,0.9761,371428.8835,121085.816,207182.36,164246.5235,0.0,5294.81,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
32,2,P2 - High,P01797,WriteWell Desk Accessories 01797,Office Supplies,Intermittent,48.2,Moderate,100.0,High,48.46,Medium,Forecast Accuracy,100.0,3,1.0,4.983,0.0,147.1657,12.88,0.0,0.0,16.0,69.8364,0.0,26.47,1.0,779163.4395,248319.3882,0.0,779163.4395,0.0,12332.83,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
33,2,P2 - High,P01190,WriteWell Desk Accessories 01190,Office Supplies,Intermittent,48.0,Moderate,100.0,High,45.35,Medium,Forecast Accuracy,100.0,3,1.0,113.0357,0.0,140.0677,13.02,1.7912,0.0,16.7,66.5331,0.0,25.6819,0.9889,829154.294,263422.3192,315928.67,513225.624,0.0,6183.25,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
34,2,P2 - High,P01767,OfficePro Paper 01767,Office Supplies,Intermittent,48.0,Moderate,100.0,High,30.29,Low,Forecast Accuracy,100.0,3,1.0,114.1429,0.0,122.7085,13.77,3.4582,0.0,17.0833,67.7884,0.0,24.5194,0.975,477141.6966,153830.483,251520.54,225621.1566,0.0,8609.04,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
35,2,P2 - High,P01806,WriteWell Paper 01806,Office Supplies,Intermittent,47.85,Moderate,100.0,High,51.23,Medium,Forecast Accuracy,100.0,3,1.0,75.2143,0.0,129.7357,12.61,0.8005,0.0,14.7,67.7938,0.0,26.1929,0.9947,1010935.5637,317838.1412,211293.68,799641.8837,0.0,8809.07,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
36,2,P2 - High,P01458,PaperWorks Writing 01458,Office Supplies,Intermittent,47.79,Moderate,100.0,High,32.85,Low,Forecast Accuracy,100.0,3,2.4118,4.3379,0.0,132.1052,12.84,0.7275,0.0,18.7,65.4333,0.0,25.7988,0.9955,393110.318,125598.7466,93778.49,299331.828,0.0,16693.03,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
37,2,P2 - High,P01443,PaperWorks Paper 01443,Office Supplies,Intermittent,47.08,Moderate,100.0,High,52.78,Medium,Forecast Accuracy,100.0,3,1.0,170.3929,0.0,132.403,12.17,1.0083,0.0,8.0,71.0846,0.0,26.2242,0.994,973356.6912,298333.8259,265046.17,708310.5212,0.0,56566.54,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
38,2,P2 - High,P00760,PaperWorks Storage 00760,Office Supplies,Intermittent,46.86,Moderate,100.0,High,27.79,Low,Forecast Accuracy,100.0,2,1.0,3.335,0.0,115.8269,15.72,2.3956,0.0,30.8333,69.1748,0.0,25.0071,0.9843,355201.4944,110787.3461,192506.05,162695.4444,0.0,4220.68,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
39,2,P2 - High,P00505,OfficePro Storage 00505,Office Supplies,Intermittent,46.55,Moderate,100.0,High,32.44,Low,Forecast Accuracy,100.0,2,1.0,3.0633,0.0,139.1767,15.78,2.3424,0.0,26.25,74.268,0.0,25.6577,0.9834,476529.018,146485.0201,198287.56,278241.458,0.0,1117.36,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
40,2,P2 - High,P01618,DeskMate Writing 01618,Office Supplies,Intermittent,45.91,Moderate,100.0,High,40.12,Medium,Forecast Accuracy,100.0,3,1.0,5.3774,0.0,144.3949,11.18,0.0,0.0,8.0,66.5658,0.0,27.1819,1.0,464594.8083,138913.8477,0.0,464594.8083,0.0,641.81,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
41,2,P2 - High,P00039,DeskMate Storage 00039,Office Supplies,Intermittent,45.46,Moderate,100.0,High,76.55,High,Forecast Accuracy,100.0,2,2.9637,3.3204,0.0,121.6801,13.3,1.257,0.0,15.5,70.6833,0.0,24.9519,0.9915,2831190.7968,806040.0198,697807.16,2133383.6368,0.0,22082.6,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
42,2,P2 - High,P01305,WriteWell Storage 01305,Office Supplies,Intermittent,45.32,Moderate,100.0,High,58.67,Medium,Forecast Accuracy,100.0,1,1.4153,2.1308,0.0,138.0021,17.39,1.3696,0.0,43.7,69.4771,0.0,24.2361,0.9904,1402538.856,404211.6983,469680.16,932858.696,0.0,2837.29,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
43,2,P2 - High,P01591,WriteWell Desk Accessories 01591,Office Supplies,Intermittent,45.14,Moderate,100.0,High,67.7,High,Forecast Accuracy,100.0,2,2.841,3.725,0.0,148.6113,12.92,0.7493,0.0,12.0,72.6119,0.0,27.7256,0.9952,1690055.3636,480144.7288,359116.44,1330938.9236,0.0,129.56,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
44,2,P2 - High,P01916,WriteWell Paper 01916,Office Supplies,Intermittent,45.03,Moderate,100.0,High,81.92,Very High,Forecast Accuracy,100.0,1,2.0315,2.082,0.0,139.2567,17.15,4.7534,0.0,40.625,64.2067,0.0,24.414,0.9675,4449937.5498,1243312.5514,3068559.34,1381378.2098,0.0,11851.83,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
45,2,P2 - High,P01081,OfficePro Storage 01081,Office Supplies,Intermittent,45.01,Moderate,100.0,High,65.73,High,Forecast Accuracy,100.0,1,1.0,2.8096,0.0,127.3304,16.45,1.5228,0.0,38.5,68.121,0.0,24.137,0.9903,1882425.9326,533479.5093,594305.4,1288120.5326,0.0,17007.81,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
46,2,P2 - High,P00724,WriteWell Storage 00724,Office Supplies,Intermittent,44.51,Moderate,100.0,High,46.39,Medium,Forecast Accuracy,100.0,2,1.5713,3.6821,0.0,154.1141,13.03,1.8527,0.0,15.1,68.0343,0.0,23.6456,0.987,902286.0,256068.7668,372060.0,530226.0,0.0,0.0,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
47,2,P2 - High,P00463,PaperWorks Storage 00463,Office Supplies,Intermittent,44.43,Moderate,100.0,High,58.66,Medium,Forecast Accuracy,100.0,1,1.0,2.2505,0.0,129.618,16.67,1.9986,0.0,40.0,67.1461,0.0,23.8258,0.9869,1521863.8673,425969.6965,602580.34,919283.5273,0.0,18983.99,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
48,2,P2 - High,P01099,PaperWorks Writing 01099,Office Supplies,Intermittent,44.36,Moderate,100.0,High,38.02,Low,Forecast Accuracy,100.0,2,2.3524,3.597,0.0,145.689,12.65,0.7612,0.0,21.1,61.7285,0.0,25.6304,0.9951,447249.9184,127332.0518,162841.57,284408.3484,0.0,0.0,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
49,2,P2 - High,P01021,PaperWorks Desk Accessories 01021,Office Supplies,Intermittent,44.33,Moderate,100.0,High,37.7,Low,Forecast Accuracy,100.0,2,1.0,3.8012,0.0,130.6648,12.75,0.603,0.0,16.1,67.6948,0.0,24.8135,0.9967,475842.024,135377.0558,85591.2,390250.824,0.0,3444.07,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
50,2,P2 - High,P01345,OfficePro Storage 01345,Office Supplies,Intermittent,44.12,Moderate,100.0,High,63.45,High,Forecast Accuracy,100.0,2,1.0,3.6571,0.0,109.6308,12.5,2.0657,0.0,10.0,69.2006,0.0,24.9151,0.9862,1782715.87,491673.0369,748974.72,1033741.15,0.0,38039.52,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
51,2,P2 - High,P01273,WriteWell Paper 01273,Office Supplies,Intermittent,42.93,Moderate,88.0,High,79.42,High,Forecast Accuracy,100.0,0,1.0,1.7867,0.0,164.6104,18.64,3.2518,0.0,48.3333,69.4103,0.0,23.6208,0.9771,3484875.8052,910249.5603,1972479.36,1512396.4452,0.0,15782.63,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
52,2,P2 - High,P01943,WriteWell Desk Accessories 01943,Office Supplies,Intermittent,41.58,Moderate,88.0,High,85.65,Very High,Forecast Accuracy,100.0,0,1.8227,0.5331,0.0,116.9251,18.88,5.8345,0.0,47.7083,66.5171,0.0,23.3049,0.9595,5979154.5968,1482232.4245,4079250.98,1899903.6168,0.0,39334.1,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
53,2,P2 - High,P00266,DeskMate Desk Accessories 00266,Office Supplies,Intermittent,40.69,Moderate,88.0,High,28.91,Low,Forecast Accuracy,100.0,0,1.43,1.3987,0.0,145.6666,18.73,5.6155,0.0,42.9167,70.7039,0.0,24.0881,0.9589,473776.8896,119676.0423,331055.28,142721.6096,0.0,10350.14,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
54,2,P2 - High,P00973,PaperWorks Storage 00973,Office Supplies,Intermittent,40.65,Moderate,88.0,High,58.64,Medium,Forecast Accuracy,100.0,0,1.0,1.0648,0.0,121.4087,17.7,2.5701,0.0,45.0,67.8405,0.0,22.8658,0.9825,1546179.1134,379586.9723,785001.12,761177.9934,0.0,9717.13,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
55,2,P2 - High,P01954,DeskMate Desk Accessories 01954,Office Supplies,Intermittent,40.5,Moderate,88.0,High,51.8,Medium,Forecast Accuracy,100.0,0,1.0,1.4313,0.0,108.5196,17.7,2.8446,0.0,38.75,73.5642,0.0,25.9253,0.9811,1166149.1464,286522.8453,584674.26,581474.8864,0.0,7150.47,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
56,2,P2 - High,P00548,PaperWorks Storage 00548,Office Supplies,Intermittent,40.49,Moderate,100.0,High,69.03,High,Forecast Accuracy,100.0,1,1.0,2.2459,0.0,125.5474,14.11,4.8384,0.0,16.0417,68.3537,0.0,24.7291,0.9667,2767336.495,669418.6981,1646136.58,1121199.915,0.0,15530.58,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
57,2,P2 - High,P01054,OfficePro Writing 01054,Office Supplies,Intermittent,40.31,Moderate,88.0,High,69.94,High,Forecast Accuracy,100.0,0,1.0,1.837,0.0,120.4829,16.43,1.8074,0.0,38.9,67.0009,0.0,23.584,0.9888,2063112.4775,495353.3058,831169.96,1231942.5175,0.0,3316.71,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
58,2,P2 - High,P01716,CarryPro Bags 01716,Accessories,Volatile,40.24,Moderate,93.0,High,79.7,High,Supplier,51.46,0,0.1729,0.2195,0.0,21.6809,11.54,6.8893,0.0,51.4583,11.6941,0.0,17.9272,0.9654,6983546.4984,1658592.2934,6245386.5,738159.9984,0.0,0.0,2,22.0,Review supplier reliability and establish contingency replenishment coverage
59,2,P2 - High,P01447,PaperWorks Storage 01447,Office Supplies,Intermittent,40.21,Moderate,100.0,High,75.1,High,Forecast Accuracy,100.0,1,1.0,2.5832,0.0,151.3554,12.88,1.347,0.0,13.5,69.6822,0.0,25.3053,0.9906,2605794.153,620439.5878,749510.79,1856283.363,0.0,15291.08,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
60,2,P2 - High,P00781,WriteWell Desk Accessories 00781,Office Supplies,Intermittent,40.13,Moderate,100.0,High,62.95,High,Forecast Accuracy,100.0,1,1.0,2.5177,0.0,164.6385,13.85,5.0262,0.0,12.0833,70.1685,0.0,25.6723,0.9648,2179336.59,523040.7816,1256734.0,922602.59,0.0,7209.91,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
61,2,P2 - High,P00267,OfficePro Paper 00267,Office Supplies,Intermittent,40.13,Moderate,100.0,High,78.4,High,Forecast Accuracy,100.0,1,1.5667,2.5099,0.0,122.5119,12.46,0.3301,0.0,16.0,66.3888,0.0,26.0125,0.9981,2160238.5158,511328.4567,271674.72,1888563.7958,0.0,1018.64,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
62,3,P3 - Monitor,P00960,OfficePro Storage 00960,Office Supplies,Intermittent,47.27,Moderate,100.0,High,23.44,Low,Forecast Accuracy,100.0,3,1.0,24.0714,0.0,172.6532,12.85,1.0632,0.0,17.1,66.435,0.0,23.8849,0.9935,246875.4675,78358.2734,69939.0,176936.4675,0.0,1740.17,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
63,3,P3 - Monitor,P00353,OfficePro Desk Accessories 00353,Office Supplies,Intermittent,46.89,Moderate,100.0,High,18.72,Low,Forecast Accuracy,100.0,3,1.0,13.1365,0.0,124.5263,12.48,0.0,0.0,16.0,67.1867,0.0,26.4585,1.0,177907.3312,56040.8093,0.0,177907.3312,0.0,203.02,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
64,3,P3 - Monitor,P00400,WriteWell Desk Accessories 00400,Office Supplies,Intermittent,45.78,Moderate,100.0,High,18.46,Low,Forecast Accuracy,100.0,2,1.535,3.5941,0.0,106.5465,14.81,2.9524,0.0,27.9167,64.9438,0.0,24.2379,0.9801,206276.449,62728.6681,127026.72,79249.729,0.0,0.0,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
65,3,P3 - Monitor,P01038,DeskMate Writing 01038,Office Supplies,Intermittent,39.72,Moderate,88.0,High,55.52,Medium,Forecast Accuracy,100.0,0,1.0,0.3497,0.0,140.3022,17.93,3.7741,0.0,42.5,69.4833,0.0,25.1535,0.9732,1544401.1479,367567.4732,882516.94,661884.2079,0.0,9772.1,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
66,3,P3 - Monitor,P01271,WriteWell Paper 01271,Office Supplies,Intermittent,39.25,Moderate,100.0,High,8.56,Low,Forecast Accuracy,100.0,1,2.1468,2.5053,0.0,120.5561,13.33,0.863,0.0,16.3,70.8593,0.0,25.7392,0.9955,63176.6425,15408.7831,13320.7,49855.9425,0.0,3067.64,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
67,3,P3 - Monitor,P01510,WriteWell Writing 01510,Office Supplies,Intermittent,39.15,Moderate,100.0,High,34.96,Low,Forecast Accuracy,100.0,1,1.0,2.4628,0.0,118.027,13.15,2.1924,0.0,11.4583,71.8321,0.0,26.9165,0.9863,472673.3481,112118.1182,251604.09,221069.2581,0.0,5675.66,1,10.0,Review forecast model performance; recalibrate demand assumptions before next planning cycle
