product_id,product_name,category,subcategory,brand,demand_class,selling_price,unit_cost,base_daily_demand,gross_profit,gross_margin_pct,daily_gross_profit,annual_gross_profit,inventory_risk_score,stockout_risk,service_risk,volatility_risk,supplier_risk,excess_inventory_risk,total_lost_sales,average_daily_demand,inventory_days,fill_rate,supplier_delay_rate,average_supplier_delay,risk_class,primary_risk_driver,baseline_total_cost,optimized_total_cost,cost_savings,lost_sales_reduction,baseline_lost_sales,optimized_lost_sales,baseline_fill_rate,optimized_fill_rate,baseline_stockout_rate,optimized_stockout_rate,baseline_inventory_days,optimized_inventory_days,safety_stock_change,inventory_days_change,optimization_opportunity,anomaly_severity_score,max_anomaly_deviation,max_anomaly_z,anomaly_event_count,anomaly_count_demand_drop,anomaly_count_demand_spike,anomaly_count_normal,demand_anomaly_flag,forecast_change_pct,max_forecast_increase_pct,max_forecast_decrease_pct,forecast_change_volatility,forecast_increase_flag,forecast_decrease_flag,wape,max_wape,forecast_observations,forecast_accuracy_risk,inventory_component,stockout_component,service_component,supplier_component,volatility_component,excess_inventory_component,forecast_accuracy_component,anomaly_component,forecast_increase_component,forecast_decrease_component,forecast_change_component,demand_supply_mismatch,demand_supplier_collision,forecast_inventory_gap,uncertainty_supplier_exposure,inventory_service_collision,supplier_inventory_collision,forecast_uncertainty_collision,obsolescence_exposure,compound_risk_count,compound_risk_flag,compound_risk_score,risk_score_base,risk_score_pre_compound,risk_score,primary_risk_driver_score,secondary_risk_driver_score,lost_sales_exposure,daily_profit_exposure,thirty_day_profit_exposure,supplier_delay_exposure,forecast_increase_exposure,excess_inventory,inventory_obsolescence_exposure,estimated_financial_exposure,risk_probability,at_risk_value,service_risk_value,business_value_percentile,exposure_percentile,business_impact_score,business_impact_class,evidence_count,confidence_score,confidence_class,business_impact_adjustment,risk_score_before_business,management_priority,priority_rank,recommended_action,risk_label
P01620,OfficePro Storage 01620,Office Supplies,Storage,OfficePro,Intermittent,1900.38,1401.47,327.93,498.91,0.2625,163607.55630000003,59716758.04950001,21.2,5.5328,0.0,71.7511,58.5417,0.0,3210,113.07123287671232,24.5188,0.9611,0.5,3.583333333333333,Critical,Forecast Accuracy,11435.24,6594.11,4841.13,499.0,499.0,0.0,0.994,1.0,0.0027,0.0,25.74,23.74,538.0,-1.99,5340.13,3,1.0,120.6786,1,1,0,0,1,0.0,0,0,0.0,0,0,189.5952,456.96873343932174,12,100,21.2,5.532764888808786,0.0,58.54166666666666,71.75114006050165,0.0,100,70.3,0.0,0.0,0.0,0,1,0,1,0,0,1,0,3,1,35.0,45.593,45.593,85.29,100.0,71.75114006050165,1601501.1,163607.55630000003,4908226.689000001,586260.4101,0.0,0.0,0.0,2187761.5101,0.7235,1582845.4525,190877.4645,51.5,73.85000000000001,64.91,High,5,100.0,High,4.7,80.59,P1 - Immediate,1,Validate demand signal and supplier capacity; prepare alternate sourcing if demand persists,Critical | P1 - Immediate
P00648,WriteWell Paper 00648,Office Supplies,Paper,WriteWell,Intermittent,999.28,800.51,460.88,198.77,0.1989,91609.1176,33437327.924,16.49,2.3168,0.0,72.1567,33.125,0.0,1851,155.3794520547945,25.1464,0.9837,0.2083333333333333,4.0,High,Forecast Accuracy,20316.72,11108.27,9208.44,1015.0,1154.0,139.0,0.9898,0.9988,0.0055,0.0014,26.23,29.26,742.0,3.03,10223.44,3,0.837,186.3571,1,0,1,0,1,0.0,0,0,0.0,0,0,121.7718,215.94836995049346,12,100,16.49,2.316818094698769,0.0,33.125,72.15668559153661,0.0,100,70.25110683349374,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,1,10.0,40.473,40.473,51.98,100.0,72.15668559153661,367923.27,91609.1176,2748273.528,366436.4704,0.0,0.0,0.0,734359.7404,0.3586,263341.4029,44848.7071,36.55,45.75,42.07,Medium,5,100.0,High,1.51,50.47,P2 - High,2,Review forecast model performance; recalibrate demand assumptions before next planning cycle,High | P2 - High
P00071,WriteWell Paper 00071,Office Supplies,Paper,WriteWell,Intermittent,1205.29,881.16,187.83,324.13,0.2689,60881.337900000006,22221688.3335,16.47,3.059,0.0,69.09,34.5833,0.0,1041,67.9041095890411,24.5126,0.979,0.2916666666666667,4.857142857142857,High,Forecast Accuracy,6190.32,5311.54,878.77,210.0,210.0,0.0,0.9958,1.0,0.0027,0.0,25.52,35.98,313.0,10.46,1088.77,3,1.0,70.5357,1,1,0,0,1,0.0,0,0,0.0,0,0,122.8262,155.93065693430657,12,100,16.47,3.058964630065136,0.0,34.58333333333333,69.09001575630303,0.0,100,70.3,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,1,10.0,40.4269,40.4269,51.74,100.0,70.3,337419.33,60881.337900000006,1826440.137,295709.3555,0.0,0.0,0.0,633128.6855,0.3581,226723.3823,38356.3482,28.1,42.15,36.53,Low,5,100.0,High,1.31,50.43,P2 - High,2,Review forecast model performance; recalibrate demand assumptions before next planning cycle,High | P2 - High
P01153,DeskMate Paper 01153,Office Supplies,Paper,DeskMate,Intermittent,5000.0,3197.29,382.58,1802.71,0.3605,689680.7918,251733489.007,14.39,0.3282,0.0,67.2649,28.0,0.0,200,143.2945205479452,26.097,0.9981,0.28,4.0,High,Forecast Accuracy,31893.46,20412.28,11481.19,1046.0,2415.0,1369.0,0.9769,0.9869,0.0096,0.0082,24.93,19.18,300.0,-5.74,12527.19,3,1.0,4.2416,1,1,0,0,1,0.0,0,0,0.0,0,0,123.2781,241.26182965299682,12,100,14.39,0.3281817509181637,0.0,28.000000000000004,67.26485001042236,0.0,100,70.3,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,1,10.0,38.6004,38.6004,51.5,100.0,70.3,360542.0,689680.7918,20690423.754,2758723.1672,0.0,0.0,0.0,3119265.1672,0.3388,1056807.0386,39559.1487,91.45,81.5,85.48,Very High,5,100.0,High,2.9,48.6,P2 - High,2,Review forecast model performance; recalibrate demand assumptions before next planning cycle,High | P2 - High
P01718,WriteWell Paper 01718,Office Supplies,Paper,WriteWell,Intermittent,1250.68,927.67,348.33,323.01,0.2583,112514.07329999999,41067636.754499994,16.16,5.3282,0.0,72.695,24.375,0.0,3142,116.82054794520548,26.8813,0.9632,0.2083333333333333,3.4,High,Forecast Accuracy,14927.34,7508.61,7418.73,772.0,795.0,23.0,0.9907,0.9997,0.0041,0.0014,27.19,28.48,561.0,1.29,8190.73,3,1.0,106.2857,1,1,0,0,1,0.0,0,0,0.0,0,0,138.6203,221.79450072358898,12,100,16.16,5.328212778459486,0.0,24.375,72.69496983424072,0.0,100,70.3,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,1,10.0,39.2922,39.2922,51.13,100.0,72.69496983424072,1014897.42,112514.07329999999,3375422.1989999996,382547.8492,0.0,0.0,0.0,1397445.2692,0.346,483516.0632,124363.2846,41.199999999999996,60.95,53.05,Medium,5,100.0,High,1.84,49.29,P2 - High,2,Review forecast model performance; recalibrate demand assumptions before next planning cycle,High | P2 - High
P01057,PaperWorks Desk Accessories 01057,Office Supplies,Desk Accessories,PaperWorks,Intermittent,5000.0,4102.53,194.59,897.47,0.1795,174638.68730000002,63743120.86450001,15.47,3.4595,0.0,75.8235,20.4167,0.0,1127,61.73972602739726,26.4043,0.975,0.125,5.0,High,Forecast Accuracy,11485.72,10694.27,791.45,59.0,743.0,684.0,0.9835,0.9848,0.0068,0.0082,27.99,21.29,142.0,-6.69,850.45,3,2.8908,166.4286,1,0,1,0,1,0.0,0,0,0.0,0,0,131.4996,197.58999077017745,12,100,15.47,3.4594588022892854,0.0,20.41666666666666,75.82346230005795,0.0,100,70.86724565756825,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,1,10.0,38.8588,38.8588,51.0,100.0,75.82346230005795,1011448.69,174638.68730000002,5239160.619000001,873193.4365,0.0,0.0,0.0,1884642.1265,0.3415,643605.2862,131008.0767,53.300000000000004,68.89999999999999,62.66,High,5,100.0,High,2.14,48.86,P2 - High,2,Review forecast model performance; recalibrate demand assumptions before next planning cycle,High | P2 - High
P00075,OfficePro Writing 00075,Office Supplies,Writing,OfficePro,Intermittent,2324.24,1737.75,269.21,586.49,0.2523,157888.9729,57629475.1085,15.09,0.3792,0.0,69.1362,30.7,0.0,74,96.36164383561643,25.6551,0.9989,0.28,3.571428571428572,High,Forecast Accuracy,8780.88,6681.64,2099.23,255.0,329.0,74.0,0.9953,0.9989,0.0027,0.0014,25.25,27.59,206.0,2.34,2354.23,3,1.0,75.6071,1,1,0,0,1,0.0,0,0,0.0,0,0,213.0816,582.4372759856631,12,100,15.09,0.3791699187865814,0.0,30.7,69.13616684326578,0.0,100,70.3,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,1,10.0,39.3701,39.3701,50.93,100.0,70.3,43400.26,157888.9729,4736669.187,563889.1889,0.0,0.0,0.0,607289.4489,0.3469,210668.7098,4982.8489,50.3,41.25,44.87,Medium,5,100.0,High,1.56,49.37,P2 - High,2,Review forecast model performance; recalibrate demand assumptions before next planning cycle,High | P2 - High
P01007,PaperWorks Paper 01007,Office Supplies,Paper,PaperWorks,Intermittent,4736.42,3191.12,108.39,1545.3,0.3263,167495.067,61135699.455000006,15.01,0.5604,0.0,73.8593,25.1,0.0,74,35.39041095890411,26.3852,0.9971,0.24,4.5,High,Forecast Accuracy,13443.68,7601.34,5842.34,599.0,1088.0,489.0,0.9579,0.9811,0.0178,0.0068,27.74,29.83,80.0,2.09,6441.34,3,2.6659,8.1283,1,0,1,0,1,0.0,0,0,0.0,0,0,126.2,155.22664199814986,12,100,15.01,0.5604057360859618,0.0,25.099999999999994,73.85933348254528,0.0,100,70.79977426636569,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,1,10.0,39.0914,39.0914,50.83,100.0,73.85933348254528,114352.2,167495.067,5024852.010000001,753727.8015,0.0,0.0,0.0,868080.0015,0.3439,298532.7125,14392.8411,52.0,49.85,50.71,Medium,5,100.0,High,1.74,49.09,P2 - High,2,Review forecast model performance; recalibrate demand assumptions before next planning cycle,High | P2 - High
P01404,PaperWorks Storage 01404,Office Supplies,Storage,PaperWorks,Intermittent,1429.02,974.55,450.53,454.47,0.318,204752.3691,74734614.72150001,14.24,0.0,0.0,69.8265,25.1,0.0,0,161.26986301369865,24.6772,1.0,0.2,4.6,High,Forecast Accuracy,20066.06,13629.4,6436.67,573.0,1160.0,587.0,0.9901,0.995,0.0041,0.0027,24.31,20.26,347.0,-4.05,7009.67,3,2.0054,9.6847,1,0,1,0,1,0.0,0,0,0.0,0,0,138.2358,196.85140540336158,12,100,14.24,0.0,0.0,25.1,69.82650663677768,0.0,100,70.60160724182523,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,1,10.0,38.428,38.428,50.25,100.0,70.60160724182523,0.0,204752.3691,6142571.073000001,941860.8979,0.0,0.0,0.0,941860.8979,0.337,317407.1226,0.0,57.75,51.449999999999996,53.97,Medium,5,100.0,High,1.82,48.43,P2 - High,2,Review forecast model performance; recalibrate demand assumptions before next planning cycle,High | P2 - High
P01164,PaperWorks Desk Accessories 01164,Office Supplies,Desk Accessories,PaperWorks,Intermittent,1921.53,1501.24,440.48,420.29,0.2187,185129.33920000002,67572208.80800001,14.6,1.0681,0.0,75.1776,20.0,0.0,818,141.1041095890411,26.9608,0.9921,0.2,3.4,High,Forecast Accuracy,37749.76,8466.71,29283.05,2982.0,2982.0,0.0,0.9711,1.0,0.0096,0.0,25.97,27.79,322.0,1.81,32265.05,3,1.0,118.3214,1,1,0,0,1,0.0,0,0,0.0,0,0,129.7201,155.43624161073825,12,100,14.6,1.0681011001088114,0.0,20.0,75.17760776409575,0.0,100,70.3,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,1,10.0,38.2812,38.2812,50.07,100.0,75.17760776409575,343797.22,185129.33920000002,5553880.176000001,629439.7533,0.0,0.0,0.0,973236.9733,0.3355,326521.0045,44104.9452,54.85,52.25,53.29,Medium,5,100.0,High,1.79,48.28,P2 - High,2,Review forecast model performance; recalibrate demand assumptions before next planning cycle,High | P2 - High
P01995,PaperWorks Storage 01995,Office Supplies,Storage,PaperWorks,Intermittent,1598.69,1145.73,189.12,452.96,0.2833,85663.7952,31267285.247999996,15.29,4.648,0.0,71.1552,21.4583,0.0,1636,65.62191780821918,26.4292,0.9658,0.2083333333333333,3.4,High,Forecast Accuracy,24791.03,5733.01,19058.02,2003.0,2086.0,83.0,0.9565,0.9983,0.0164,0.0014,25.38,34.12,143.0,8.74,21061.02,3,1.0,12.1569,1,1,0,0,1,0.0,0,0,0.0,0,0,141.743,210.39461020211743,12,100,15.29,4.648040372983409,0.0,21.458333333333336,71.15524450596841,0.0,100,70.3,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,1,10.0,38.4492,38.4492,50.01,100.0,71.15524450596841,741042.56,85663.7952,2569913.8559999997,291256.9037,0.0,0.0,0.0,1032299.4637,0.3372,348091.3792,87766.7641,34.75,53.849999999999994,46.21,Medium,5,100.0,High,1.56,48.45,P2 - High,2,Review forecast model performance; recalibrate demand assumptions before next planning cycle,High | P2 - High
P00326,WriteWell Paper 00326,Office Supplies,Paper,WriteWell,Intermittent,2632.26,1870.91,41.58,761.35,0.2892,31656.933,11554780.545,15.31,2.3972,0.0,68.5436,28.75,0.0,173,15.043835616438356,23.7706,0.9842,0.1666666666666666,5.25,Moderate,Forecast Accuracy,4445.74,3004.8,1440.93,153.0,311.0,158.0,0.9717,0.9856,0.0137,0.0068,24.45,26.58,32.0,2.13,1593.93,3,1.0,18.0357,1,1,0,0,1,0.0,0,0,0.0,0,0,125.3698,157.83132530120486,12,100,15.31,2.3972228528376447,0.0,28.750000000000004,68.54357444427681,0.0,100,70.3,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,1,10.0,39.1742,39.1742,49.98,100.0,70.3,131713.55,31656.933,949707.99,166198.8982,0.0,0.0,0.0,297912.4482,0.3448,102720.2122,14960.7979,16.7,27.900000000000002,23.42,Low,5,100.0,High,0.81,49.17,P2 - High,2,Review forecast model performance; recalibrate demand assumptions before next planning cycle,Moderate | P2 - High
